year,split,n,spearman_30m,shallow_n,shallow_median_30m,mid_n,mid_median_30m,deep_n,deep_median_30m
2011,IS,3,,3,0.04081632653061224,0,,0,
2012,IS,16,,16,-0.006407278358497871,0,,0,
2013,IS,45,,45,-0.009259259259259259,0,,0,
2014,IS,45,,44,0.0,1,-0.08178438661710037,0,
2015,IS,49,,49,0.0,0,,0,
2016,IS,47,,46,0.01912568306010929,1,-0.4523809523809524,0,
2017,IS,43,,42,-0.01382825040128411,1,-0.0375,0,
2018,IS,50,0.20308295709827667,49,-0.009111617312072893,1,0.006382978723404255,0,
2019,IS,42,,42,0.0011574074074074073,0,,0,
2020,IS,56,-0.02802939709370459,56,-0.005282977932060501,0,,0,
2021,IS,35,,35,0.0029585798816568047,0,,0,
2022,Validation,64,0.10733618590739896,64,-0.002819228154453759,0,,0,
2023,Validation,47,,47,-0.0009285051067780873,0,,0,
2024,Validation,43,,42,0.002277835688854613,1,0.13388324873096447,0,
2025,OOS,52,0.18024248699579734,51,0.011385944248135061,1,0.30179558011049723,0,
2026,OOS,36,,35,0.005171042163882259,1,-0.5426187885382663,0,
