table,step1_label,n,median_P,median_b,median_D,median_B,shape,top_score,median_top10,median_all_96,session_date,matching_shape,matching_score,rank_on_matching_score,P_score,b_score,D_score,B_score
step1_medians,P-like,1.0,1.0,0.0,0.25,0.33634035543987034,,,,,,,,,,,,
step1_medians,b-like,2.0,0.0,1.0,0.09375,0.6286668296340749,,,,,,,,,,,,
step1_medians,D-like,0.0,,,,,,,,,,,,,,,,
step1_medians,B-like,7.0,0.6388849655062522,0.0,0.3901475851153527,0.7058746952376167,,,,,,,,,,,,
step1_medians,UNCLASSIFIED,86.0,0.1606085019003886,0.026593638155877217,0.43310238629234077,0.7060139850192726,,,,,,,,,,,,
top10_vs_all,,,,,,,P,1.0,0.89267566659667,0.16610899085287184,,,,,,,,
top10_vs_all,,,,,,,b,1.0,0.7290132640413676,0.023264324359931674,,,,,,,,
top10_vs_all,,,,,,,D,0.7693763095731315,0.7082589289675596,0.4286285289275603,,,,,,,,
top10_vs_all,,,,,,,B,0.9994796869796869,0.939402714928153,0.7050220833741339,,,,,,,,
step1_named_sessions,P-like,,,,,,,,,,2026-04-07,P,1.0,1.0,1.0,0.0,0.25,0.33634035543987034
step1_named_sessions,b-like,,,,,,,,,,2026-06-22,b,1.0,1.0,0.0,1.0,0.0625,0.6992447254145446
step1_named_sessions,b-like,,,,,,,,,,2026-08-17,b,1.0,2.0,0.0,1.0,0.125,0.5580889338536054
step1_named_sessions,B-like,,,,,,,,,,2026-03-26,B,0.7229829438154425,43.0,0.0,0.41027796458193233,0.5044147324272082,0.7229829438154425
step1_named_sessions,B-like,,,,,,,,,,2026-04-01,B,0.6696219471395115,58.0,0.6057580762910091,0.0,0.48983928453701653,0.6696219471395115
step1_named_sessions,B-like,,,,,,,,,,2026-06-29,B,0.7864571181634721,27.0,0.6388849655062522,0.0,0.3901475851153527,0.7864571181634721
step1_named_sessions,B-like,,,,,,,,,,2026-07-08,B,0.6624563449456485,59.0,0.8348831794112093,0.0,0.23158590921748817,0.6624563449456485
step1_named_sessions,B-like,,,,,,,,,,2026-07-21,B,0.7058746952376167,47.0,0.791484844903247,0.0,0.2457025411061285,0.7058746952376167
step1_named_sessions,B-like,,,,,,,,,,2026-07-22,B,0.6840017380620951,54.0,0.0,0.606698299697641,0.40637254901960784,0.6840017380620951
step1_named_sessions,B-like,,,,,,,,,,2026-08-03,B,0.7986694677871149,26.0,0.748578061682431,0.0,0.27892187564390997,0.7986694677871149
