shape,rank,session_date,score,step1_label,component_1,component_2,component_3,component_4,component_1_name,component_2_name,component_3_name,component_4_name,poc_location,volume_above_share,volume_below_share,lower_tail_width_10,upper_tail_width_10,upper_body_share,lower_body_share,n_major_peaks,n_local_maxima,normalized_separation,valley_depth,peak_balance,B_score_reason
P,1,2026-04-07,1.0,P-like,1.0,1.0,1.0,1.0,P1,P2,P3,P4,0.8037694013303769,0.9583917718560074,0.041608228143992565,0.6809866962305987,0.07289356984478935,0.8657620141681026,0.020184759716637947,1,2,0.1164079822616408,0.7513812154696132,0.36236236236236236,
P,2,2026-07-20,1.0,UNCLASSIFIED,1.0,1.0,1.0,1.0,P1,P2,P3,P4,0.95969868173258,0.9065697750590701,0.0934302249409299,0.5310734463276836,0.04218455743879473,0.6379666315784718,0.06995577080330884,2,2,0.26817325800376646,0.9680170575692963,0.8257042253521126,
P,3,2026-09-01,0.9549974634493759,UNCLASSIFIED,1.0,1.0,1.0,0.8199898537975032,P1,P2,P3,P4,0.8145231846019247,0.7637707685391609,0.23622923146083907,0.40507436570428695,0.09798775153105861,0.5513972605253259,0.0520234130588354,2,3,0.36132983377077865,0.7584330794341676,0.620945945945946,
P,4,2026-05-07,0.9247476067253984,UNCLASSIFIED,1.0,1.0,0.858212631786383,0.84077779511521,P1,P2,P3,P4,0.8796925805498078,0.7462366365774477,0.25376336342255235,0.348507242092817,0.09104345255690216,0.5570100046811067,0.07398422827123129,2,5,0.21874076263671297,0.9516853932584269,0.768566493955095,
P,5,2026-09-10,0.9004440819285844,UNCLASSIFIED,1.0,1.0,0.6017763277143375,1.0,P1,P2,P3,P4,0.8145731375747689,0.8525304180207293,0.14746958197927074,0.26481783578031537,0.08428493746601413,0.7508392376089619,0.10320587774030186,2,2,0.11092985318107668,0.4599514563106796,0.5049019607843137,
P,6,2026-04-16,0.8849072512647554,UNCLASSIFIED,1.0,1.0,0.5396290050590219,1.0,P1,P2,P3,P4,0.8768971332209107,0.8501758910008018,0.14982410899919818,0.24957841483979765,0.08768971332209106,0.6404080602544711,0.10603591987817251,2,4,0.11242270938729623,0.537037037037037,0.6328125,
P,7,2026-05-04,0.8688063269416935,UNCLASSIFIED,0.9097525473071326,1.0,0.6145883875141518,0.9508843729454894,P1,P2,P3,P4,0.7729257641921398,0.8036201422875671,0.19637985771243294,0.3372149442018438,0.15283842794759825,0.5867387806952822,0.08697457281012304,1,2,0.269771955361475,0.918854415274463,0.24822274881516587,
P,8,2026-07-13,0.8541296343299246,UNCLASSIFIED,0.9293705351125489,1.0,0.48793637956597935,0.9992116226411699,P1,P2,P3,P4,0.7788111605337646,0.7872833447495513,0.2127166552504487,0.2591993530125354,0.1128184391427416,0.5997871381131159,0.11576695308367943,3,5,0.10513546300040437,0.639599555061179,0.8113718411552346,
P,9,2026-07-08,0.8348831794112093,B-like,1.0,1.0,0.5736563631300473,0.7658763545147896,P1,P2,P3,P4,0.8437761069340016,0.7601020562493013,0.23989794375069873,0.24018379281537175,0.06808688387635756,0.5367866157189932,0.12334580733366052,2,6,0.3341687552213868,0.8693759071117562,0.512267657992565,
P,10,2026-08-12,0.8304130692398849,UNCLASSIFIED,1.0,1.0,0.3216522769595396,1.0,P1,P2,P3,P4,0.8725241239207719,0.7543297355927381,0.24567026440726192,0.17267648552564754,0.07618080243778567,0.6962117036220417,0.20746279272391047,2,3,0.12188928390045708,0.8717171717171717,0.6378865979381443,
P,11,2026-04-30,0.8214598380389582,UNCLASSIFIED,0.9050120376449988,1.0,0.38082731451083396,1.0,P1,P2,P3,P4,0.7715036112934996,0.7949220939356575,0.2050779060643425,0.20157583716349312,0.08732764281024294,0.6296499431517927,0.1747361762774833,2,4,0.1313197636244255,0.656140350877193,0.9193548387096774,
P,12,2026-05-19,0.8015227747666429,UNCLASSIFIED,1.0,1.0,0.6205747605164514,0.5855163385501201,P1,P2,P3,P4,0.8733860891295293,0.7400509624845473,0.25994903751545273,0.27905039566847145,0.09287796751353602,0.48808941140853246,0.1095895249388198,3,5,0.3690129112869638,0.8982035928143712,0.7131672597864769,
P,13,2026-08-11,0.8013800048421835,UNCLASSIFIED,0.829467638612768,1.0,0.9145129224652087,0.4615394582907577,P1,P2,P3,P4,0.7488402915838304,0.8906312475009996,0.10936875249900035,0.4804506295559973,0.20609675281643472,0.4546156537385046,0.07530487804878049,2,3,0.13253810470510272,0.4397649363369246,0.6852348993288591,
