check,value
max_abs_poc_location,0.0
max_abs_volume_above_share,0.0
max_abs_volume_below_share,0.0
max_abs_lower_tail_width_10,0.0
max_abs_upper_tail_width_10,0.0
max_abs_upper_body_share,0.0
max_abs_lower_body_share,0.0
max_abs_n_major_peaks,0.0
max_abs_n_local_maxima,0.0
max_abs_normalized_separation,0.0
max_abs_valley_depth,0.0
max_abs_peak_balance,0.0
max_abs_peak1_volume,0.0
max_abs_peak2_volume,0.0
max_abs_poc_volume,0.0
max_abs_P_score,0.0
top10_overlap_P,10.0
max_abs_b_score,0.0
top10_overlap_b,10.0
max_abs_D_score,0.0
top10_overlap_D,10.0
max_abs_B_score,0.0
top10_overlap_B,10.0
