session_date,setting,prominence_frac,separation_frac,n_major_peaks,n_regions,n_material_gaps,n_clean_gaps,structure,clean_two
2026-03-25,baseline,0.2,0.1,5,1,0,0,one_region,False
2026-03-25,looser,0.12,0.06,5,1,0,0,one_region,False
2026-03-25,stricter,0.3,0.15,4,1,0,0,one_region,False
2026-03-26,baseline,0.2,0.1,2,2,1,1,two_regions,True
2026-03-26,looser,0.12,0.06,2,2,1,0,two_regions,False
2026-03-26,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-03-30,baseline,0.2,0.1,4,2,1,1,two_regions,True
2026-03-30,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-03-30,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-03-31,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-03-31,looser,0.12,0.06,5,1,0,0,one_region,False
2026-03-31,stricter,0.3,0.15,4,1,0,0,one_region,False
2026-04-01,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-04-01,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-04-01,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-04-06,baseline,0.2,0.1,3,2,1,1,two_regions,True
2026-04-06,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-04-06,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-04-07,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-04-07,looser,0.12,0.06,1,1,0,0,one_region,False
2026-04-07,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-04-08,baseline,0.2,0.1,4,2,1,1,two_regions,True
2026-04-08,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-04-08,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-04-09,baseline,0.2,0.1,5,1,0,0,one_region,False
2026-04-09,looser,0.12,0.06,7,1,0,0,one_region,False
2026-04-09,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-04-13,baseline,0.2,0.1,5,2,1,0,two_regions,False
2026-04-13,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-04-13,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-04-14,baseline,0.2,0.1,4,3,2,0,many_regions,False
2026-04-14,looser,0.12,0.06,6,3,2,0,many_regions,False
2026-04-14,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-04-15,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-04-15,looser,0.12,0.06,4,1,0,0,one_region,False
2026-04-15,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-04-16,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-04-16,looser,0.12,0.06,3,1,0,0,one_region,False
2026-04-16,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-04-20,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-04-20,looser,0.12,0.06,5,1,0,0,one_region,False
2026-04-20,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-04-21,baseline,0.2,0.1,3,3,2,1,many_regions,False
2026-04-21,looser,0.12,0.06,3,3,2,0,many_regions,False
2026-04-21,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-04-22,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-04-22,looser,0.12,0.06,6,1,0,0,one_region,False
2026-04-22,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-04-23,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-04-23,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-04-23,stricter,0.3,0.15,2,2,1,0,two_regions,False
2026-04-27,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-04-27,looser,0.12,0.06,3,1,0,0,one_region,False
2026-04-27,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-04-28,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-04-28,looser,0.12,0.06,4,1,0,0,one_region,False
2026-04-28,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-04-29,baseline,0.2,0.1,5,2,1,1,two_regions,True
2026-04-29,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-04-29,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-04-30,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-04-30,looser,0.12,0.06,4,1,0,0,one_region,False
2026-04-30,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-05-04,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-05-04,looser,0.12,0.06,2,1,0,0,one_region,False
2026-05-04,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-05-05,baseline,0.2,0.1,5,2,1,0,two_regions,False
2026-05-05,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-05-05,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-05-06,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-05-06,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-05-06,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-05-07,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-05-07,looser,0.12,0.06,2,2,1,0,two_regions,False
2026-05-07,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-05-11,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-05-11,looser,0.12,0.06,8,1,0,0,one_region,False
2026-05-11,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-05-12,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-05-12,looser,0.12,0.06,7,2,1,0,two_regions,False
2026-05-12,stricter,0.3,0.15,4,2,1,1,two_regions,True
2026-05-13,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-05-13,looser,0.12,0.06,6,1,0,0,one_region,False
2026-05-13,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-05-14,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-05-14,looser,0.12,0.06,4,1,0,0,one_region,False
2026-05-14,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-05-18,baseline,0.2,0.1,6,1,0,0,one_region,False
2026-05-18,looser,0.12,0.06,8,1,0,0,one_region,False
2026-05-18,stricter,0.3,0.15,5,2,1,1,two_regions,True
2026-05-19,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-05-19,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-05-19,stricter,0.3,0.15,2,2,1,0,two_regions,False
2026-05-20,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-05-20,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-05-20,stricter,0.3,0.15,2,2,1,0,two_regions,False
2026-05-21,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-05-21,looser,0.12,0.06,8,1,0,0,one_region,False
2026-05-21,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-05-25,baseline,0.2,0.1,3,2,1,1,two_regions,True
2026-05-25,looser,0.12,0.06,5,1,0,0,one_region,False
2026-05-25,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-05-26,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-05-26,looser,0.12,0.06,2,1,0,0,one_region,False
2026-05-26,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-05-27,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-05-27,looser,0.12,0.06,1,1,0,0,one_region,False
2026-05-27,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-05-28,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-05-28,looser,0.12,0.06,5,1,0,0,one_region,False
2026-05-28,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-06-01,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-06-01,looser,0.12,0.06,5,1,0,0,one_region,False
2026-06-01,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-06-02,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-06-02,looser,0.12,0.06,5,1,0,0,one_region,False
2026-06-02,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-06-03,baseline,0.2,0.1,6,2,1,0,two_regions,False
2026-06-03,looser,0.12,0.06,8,1,0,0,one_region,False
2026-06-03,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-06-04,baseline,0.2,0.1,4,3,2,1,many_regions,False
2026-06-04,looser,0.12,0.06,4,3,2,0,many_regions,False
2026-06-04,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-06-08,baseline,0.2,0.1,5,3,2,1,many_regions,False
2026-06-08,looser,0.12,0.06,6,3,2,0,many_regions,False
2026-06-08,stricter,0.3,0.15,5,3,2,2,many_regions,False
2026-06-09,baseline,0.2,0.1,6,1,0,0,one_region,False
2026-06-09,looser,0.12,0.06,6,1,0,0,one_region,False
2026-06-09,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-06-10,baseline,0.2,0.1,4,2,1,1,two_regions,True
2026-06-10,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-06-10,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-06-11,baseline,0.2,0.1,3,2,1,1,two_regions,True
2026-06-11,looser,0.12,0.06,6,1,0,0,one_region,False
2026-06-11,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-06-15,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-06-15,looser,0.12,0.06,1,1,0,0,one_region,False
2026-06-15,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-06-16,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-06-16,looser,0.12,0.06,4,1,0,0,one_region,False
2026-06-16,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-06-22,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-06-22,looser,0.12,0.06,3,1,0,0,one_region,False
2026-06-22,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-06-23,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-06-23,looser,0.12,0.06,5,1,0,0,one_region,False
2026-06-23,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-06-24,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-06-24,looser,0.12,0.06,3,1,0,0,one_region,False
2026-06-24,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-06-25,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-06-25,looser,0.12,0.06,7,1,0,0,one_region,False
2026-06-25,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-06-29,baseline,0.2,0.1,2,2,1,1,two_regions,True
2026-06-29,looser,0.12,0.06,4,1,0,0,one_region,False
2026-06-29,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-06-30,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-06-30,looser,0.12,0.06,4,1,0,0,one_region,False
2026-06-30,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-07-01,baseline,0.2,0.1,4,3,2,0,many_regions,False
2026-07-01,looser,0.12,0.06,5,3,2,0,many_regions,False
2026-07-01,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-07-06,baseline,0.2,0.1,3,2,1,1,two_regions,True
2026-07-06,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-07-06,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-07-07,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-07-07,looser,0.12,0.06,3,1,0,0,one_region,False
2026-07-07,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-07-08,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-07-08,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-07-08,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-09,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-07-09,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-07-09,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-07-13,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-07-13,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-07-13,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-14,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-07-14,looser,0.12,0.06,3,1,0,0,one_region,False
2026-07-14,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-07-15,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-07-15,looser,0.12,0.06,6,1,0,0,one_region,False
2026-07-15,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-07-16,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-07-16,looser,0.12,0.06,3,1,0,0,one_region,False
2026-07-16,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-07-20,baseline,0.2,0.1,2,2,1,1,two_regions,True
2026-07-20,looser,0.12,0.06,4,1,0,0,one_region,False
2026-07-20,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-21,baseline,0.2,0.1,2,2,1,1,two_regions,True
2026-07-21,looser,0.12,0.06,5,1,0,0,one_region,False
2026-07-21,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-22,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-07-22,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-07-22,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-23,baseline,0.2,0.1,4,3,2,0,many_regions,False
2026-07-23,looser,0.12,0.06,7,2,1,0,two_regions,False
2026-07-23,stricter,0.3,0.15,3,3,2,1,many_regions,False
2026-07-27,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-07-27,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-07-27,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-07-28,baseline,0.2,0.1,5,2,1,1,two_regions,True
2026-07-28,looser,0.12,0.06,8,2,1,0,two_regions,False
2026-07-28,stricter,0.3,0.15,4,2,1,1,two_regions,True
2026-07-29,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-07-29,looser,0.12,0.06,3,1,0,0,one_region,False
2026-07-29,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-07-30,baseline,0.2,0.1,6,1,0,0,one_region,False
2026-07-30,looser,0.12,0.06,8,1,0,0,one_region,False
2026-07-30,stricter,0.3,0.15,4,2,1,1,two_regions,True
2026-08-03,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-08-03,looser,0.12,0.06,3,2,1,0,two_regions,False
2026-08-03,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-08-04,baseline,0.2,0.1,5,2,1,1,two_regions,True
2026-08-04,looser,0.12,0.06,8,2,1,0,two_regions,False
2026-08-04,stricter,0.3,0.15,4,3,2,2,many_regions,False
2026-08-05,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-08-05,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-05,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-06,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-08-06,looser,0.12,0.06,6,2,1,0,two_regions,False
2026-08-06,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-08-10,baseline,0.2,0.1,4,3,2,1,many_regions,False
2026-08-10,looser,0.12,0.06,6,1,0,0,one_region,False
2026-08-10,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-08-11,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-11,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-11,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-12,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-12,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-12,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-13,baseline,0.2,0.1,6,1,0,0,one_region,False
2026-08-13,looser,0.12,0.06,8,1,0,0,one_region,False
2026-08-13,stricter,0.3,0.15,3,3,2,2,many_regions,False
2026-08-17,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-17,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-17,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-18,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-18,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-18,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-19,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-19,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-19,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-20,baseline,0.2,0.1,4,1,0,0,one_region,False
2026-08-20,looser,0.12,0.06,6,1,0,0,one_region,False
2026-08-20,stricter,0.3,0.15,3,2,1,1,two_regions,True
2026-08-24,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-24,looser,0.12,0.06,2,1,0,0,one_region,False
2026-08-24,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-25,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-08-25,looser,0.12,0.06,4,1,0,0,one_region,False
2026-08-25,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-08-26,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-26,looser,0.12,0.06,6,1,0,0,one_region,False
2026-08-26,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-08-27,baseline,0.2,0.1,3,2,1,0,two_regions,False
2026-08-27,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-08-27,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-08-31,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-08-31,looser,0.12,0.06,3,1,0,0,one_region,False
2026-08-31,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-09-01,baseline,0.2,0.1,2,2,1,0,two_regions,False
2026-09-01,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-09-01,stricter,0.3,0.15,2,2,1,0,two_regions,False
2026-09-02,baseline,0.2,0.1,1,1,0,0,one_region,False
2026-09-02,looser,0.12,0.06,1,1,0,0,one_region,False
2026-09-02,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-09-03,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-09-03,looser,0.12,0.06,5,1,0,0,one_region,False
2026-09-03,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-09-07,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-09-07,looser,0.12,0.06,4,1,0,0,one_region,False
2026-09-07,stricter,0.3,0.15,2,2,1,1,two_regions,True
2026-09-08,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-09-08,looser,0.12,0.06,3,1,0,0,one_region,False
2026-09-08,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-09-09,baseline,0.2,0.1,3,1,0,0,one_region,False
2026-09-09,looser,0.12,0.06,4,1,0,0,one_region,False
2026-09-09,stricter,0.3,0.15,2,1,0,0,one_region,False
2026-09-10,baseline,0.2,0.1,2,1,0,0,one_region,False
2026-09-10,looser,0.12,0.06,3,1,0,0,one_region,False
2026-09-10,stricter,0.3,0.15,1,1,0,0,one_region,False
2026-09-14,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-09-14,looser,0.12,0.06,5,2,1,0,two_regions,False
2026-09-14,stricter,0.3,0.15,4,2,1,0,two_regions,False
2026-09-15,baseline,0.2,0.1,4,2,1,0,two_regions,False
2026-09-15,looser,0.12,0.06,4,2,1,0,two_regions,False
2026-09-15,stricter,0.3,0.15,3,3,2,2,many_regions,False
