prior_session,gap_index,next_session,approach,clean,both_regions_sized,horizon,measurement_price,touch_bar,horizon_end_bar,bars_in_horizon,outcome,null_traverse_prob,dist_to_approach,dist_to_opposite,null_defined
2026-04-21,1,2026-04-22,open_in_band,False,False,H30,27075.0,0,30,31,upper_hvn_first,,,,False
2026-04-21,1,2026-04-22,open_in_band,False,False,H60,27075.0,0,60,61,upper_hvn_first,,,,False
2026-04-21,1,2026-04-22,open_in_band,False,False,H120,27075.0,0,120,121,upper_hvn_first,,,,False
2026-04-21,1,2026-04-22,open_in_band,False,False,session_end,27075.0,0,1379,1380,upper_hvn_first,,,,False
2026-05-05,3,2026-05-06,open_in_band,False,False,H30,28662.75,0,30,31,upper_hvn_first,,,,False
2026-05-05,3,2026-05-06,open_in_band,False,False,H60,28662.75,0,60,61,upper_hvn_first,,,,False
2026-05-05,3,2026-05-06,open_in_band,False,False,H120,28662.75,0,120,121,upper_hvn_first,,,,False
2026-05-05,3,2026-05-06,open_in_band,False,False,session_end,28662.75,0,1379,1380,upper_hvn_first,,,,False
2026-07-06,0,2026-07-07,open_in_band,True,True,H30,29373.75,0,30,31,lower_hvn_first,,,,False
2026-07-06,0,2026-07-07,open_in_band,True,True,H60,29373.75,0,60,61,lower_hvn_first,,,,False
2026-07-06,0,2026-07-07,open_in_band,True,True,H120,29373.75,0,120,121,lower_hvn_first,,,,False
2026-07-06,0,2026-07-07,open_in_band,True,True,session_end,29373.75,0,1379,1380,lower_hvn_first,,,,False
2026-08-03,0,2026-08-04,open_in_band,False,True,H30,29777.25,0,30,31,neither,,,,False
2026-08-03,0,2026-08-04,open_in_band,False,True,H60,29777.25,0,60,61,neither,,,,False
2026-08-03,0,2026-08-04,open_in_band,False,True,H120,29777.25,0,120,121,neither,,,,False
2026-08-03,0,2026-08-04,open_in_band,False,True,session_end,29777.25,0,1379,1380,upper_hvn_first,,,,False
2026-08-27,0,2026-08-31,open_in_band,False,True,H30,29518.25,0,30,31,neither,,,,False
2026-08-27,0,2026-08-31,open_in_band,False,True,H60,29518.25,0,60,61,neither,,,,False
2026-08-27,0,2026-08-31,open_in_band,False,True,H120,29518.25,0,120,121,lower_hvn_first,,,,False
2026-08-27,0,2026-08-31,open_in_band,False,True,session_end,29518.25,0,1379,1380,lower_hvn_first,,,,False
