prior_session,gap_index,next_session,approach,clean,both_regions_sized,horizon,measurement_price,touch_bar,horizon_end_bar,bars_in_horizon,dist_to_approach,dist_to_opposite,null_traverse_prob,null_defined,outcome,event_bar,minutes_to_event,traverse_bar,reject_bar,max_lvn_penetration,max_opposite_excursion,max_opposite_points,max_adverse_points
2026-03-26,0,2026-03-30,lower_region,True,True,H30,23336.75,212,242,31,1.75,163.25,0.010606060606060607,True,reject,212,0.0,-1,212,0.3693516699410609,0.36666666666666664,60.5,12.75
2026-03-26,0,2026-03-30,lower_region,True,True,H60,23336.75,212,272,61,1.75,163.25,0.010606060606060607,True,reject,212,0.0,-1,212,0.3693516699410609,0.36666666666666664,60.5,14.0
2026-03-26,0,2026-03-30,lower_region,True,True,H120,23336.75,212,332,121,1.75,163.25,0.010606060606060607,True,reject,212,0.0,-1,212,0.4302554027504912,0.41363636363636364,68.25,14.0
2026-03-26,0,2026-03-30,lower_region,True,True,session_end,23336.75,212,1379,1168,1.75,163.25,0.010606060606060607,True,reject,212,0.0,949,212,1.0,3.8696969696969696,638.5,101.75
2026-03-31,2,2026-04-01,lower_region,False,False,H30,24225.25,178,208,31,25.25,94.75,0.21041666666666667,True,reject,180,2.0,-1,180,0.1782178217821782,0.17083333333333334,20.5,263.25
2026-03-31,2,2026-04-01,lower_region,False,False,H60,24225.25,178,238,61,25.25,94.75,0.21041666666666667,True,reject,180,2.0,-1,180,0.1782178217821782,0.17083333333333334,20.5,312.75
2026-03-31,2,2026-04-01,lower_region,False,False,H120,24225.25,178,298,121,25.25,94.75,0.21041666666666667,True,reject,180,2.0,-1,180,0.1782178217821782,0.17083333333333334,20.5,369.25
2026-03-31,2,2026-04-01,lower_region,False,False,session_end,24225.25,178,1379,1202,25.25,94.75,0.21041666666666667,True,reject,180,2.0,-1,180,1.0,0.3458333333333333,41.5,559.25
2026-04-01,0,2026-04-06,upper_region,False,True,H30,24121.25,960,990,31,28.75,321.25,0.08214285714285714,True,remain,-1,,-1,-1,0.35308848080133554,0.36357142857142855,127.25,10.75
2026-04-01,0,2026-04-06,upper_region,False,True,H60,24121.25,960,1020,61,28.75,321.25,0.08214285714285714,True,remain,-1,,-1,-1,0.39315525876460766,0.39785714285714285,139.25,23.25
2026-04-01,0,2026-04-06,upper_region,False,True,H120,24121.25,960,1080,121,28.75,321.25,0.08214285714285714,True,remain,-1,,-1,-1,0.5283806343906511,0.5135714285714286,179.75,23.25
2026-04-01,0,2026-04-06,upper_region,False,True,session_end,24121.25,960,1379,420,28.75,321.25,0.08214285714285714,True,reject,1082,122.0,-1,1082,0.5283806343906511,0.5135714285714286,179.75,330.25
2026-04-14,2,2026-04-15,upper_region,False,False,H30,26318.0,953,983,31,27.0,118.0,0.18620689655172415,True,reject,966,13.0,-1,966,0.36127167630057805,0.29310344827586204,42.5,68.5
2026-04-14,2,2026-04-15,upper_region,False,False,H60,26318.0,953,1013,61,27.0,118.0,0.18620689655172415,True,reject,966,13.0,-1,966,0.36127167630057805,0.29310344827586204,42.5,104.75
2026-04-14,2,2026-04-15,upper_region,False,False,H120,26318.0,953,1073,121,27.0,118.0,0.18620689655172415,True,reject,966,13.0,-1,966,0.36127167630057805,0.29310344827586204,42.5,225.0
2026-04-14,2,2026-04-15,upper_region,False,False,session_end,26318.0,953,1379,427,27.0,118.0,0.18620689655172415,True,reject,966,13.0,-1,966,0.36127167630057805,0.29310344827586204,42.5,246.0
2026-04-20,2,2026-04-21,lower_region,False,True,H30,26774.75,120,150,31,9.75,66.25,0.12828947368421054,True,remain,-1,,-1,-1,1.0,0.5625,42.75,3.0
2026-04-20,2,2026-04-21,lower_region,False,True,H60,26774.75,120,180,61,9.75,66.25,0.12828947368421054,True,remain,-1,,-1,-1,1.0,0.569078947368421,43.25,3.0
2026-04-20,2,2026-04-21,lower_region,False,True,H120,26774.75,120,240,121,9.75,66.25,0.12828947368421054,True,remain,-1,,-1,-1,1.0,0.7631578947368421,58.0,3.0
2026-04-20,2,2026-04-21,lower_region,False,True,session_end,26774.75,120,1379,1260,9.75,66.25,0.12828947368421054,True,traverse,436,316.0,436,-1,1.0,4.753289473684211,361.25,9.25
2026-04-21,0,2026-04-22,upper_region,True,True,H30,26984.5,133,163,31,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5
2026-04-21,0,2026-04-22,upper_region,True,True,H60,26984.5,133,193,61,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5
2026-04-21,0,2026-04-22,upper_region,True,True,H120,26984.5,133,253,121,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5
2026-04-21,0,2026-04-22,upper_region,True,True,session_end,26984.5,133,1379,1247,5.5,154.5,0.034375,True,reject,138,5.0,1180,138,1.0,1.8921875,302.75,171.25
2026-04-23,1,2026-04-27,upper_region,False,True,H30,27396.5,431,461,31,18.5,146.5,0.11212121212121212,True,remain,-1,,-1,-1,0.45918367346938777,0.2818181818181818,46.5,1.5
2026-04-23,1,2026-04-27,upper_region,False,True,H60,27396.5,431,491,61,18.5,146.5,0.11212121212121212,True,remain,-1,,-1,-1,0.45918367346938777,0.2818181818181818,46.5,1.5
2026-04-23,1,2026-04-27,upper_region,False,True,H120,27396.5,431,551,121,18.5,146.5,0.11212121212121212,True,remain,-1,,-1,-1,0.8673469387755102,0.4636363636363636,76.5,1.5
2026-04-23,1,2026-04-27,upper_region,False,True,session_end,27396.5,431,1379,949,18.5,146.5,0.11212121212121212,True,traverse,765,334.0,765,-1,1.0,2.3454545454545452,387.0,1.5
2026-05-06,2,2026-05-07,lower_region,False,False,H30,28778.25,202,232,31,48.25,91.75,0.34464285714285714,True,remain,-1,,-1,-1,0.03669724770642202,0.02857142857142857,4.0,15.25
