horizon,test,mode,n,null_n,reject_n,observed_reject,mean_null_reject,mean_reject_minus_null,same_minute_n,delayed_n
H30,A_decided,decided,18,18,17,0.9444444444444444,0.8580948307523074,0.08634961369213696,,
H30,B_unconditional,unconditional,34,34,17,0.5,0.8345494717009667,-0.3345494717009667,,
H30,C_delayed_decided,decided,10,10,9,0.9,0.794173313518309,0.10582668648169105,,
H30,D_no_touch_hit_unconditional,unconditional,26,26,9,0.34615384615384615,0.8027195469028624,-0.45656570074901626,,
H30,same_minute_vs_delayed,count,17,8,9,,,,8.0,9.0
H30,B_unconditional__lower_to_upper,slice,12,12,6,0.5,0.8530339762433958,-0.3530339762433958,,
H30,A_decided__lower_to_upper,slice,6,6,6,1.0,0.9031853118574404,0.09681468814255965,,
H30,D_no_touch_hit_unconditional__lower_to_upper,slice,8,8,2,0.25,0.8212924101886427,-0.5712924101886427,,
H30,B_unconditional__upper_to_lower,slice,22,22,11,0.5,0.8244670146778236,-0.3244670146778236,,
H30,A_decided__upper_to_lower,slice,12,12,11,0.9166666666666666,0.8355495901997411,0.08111707646692563,,
H30,D_no_touch_hit_unconditional__upper_to_lower,slice,18,18,7,0.3888888888888889,0.7944649409980712,-0.4055760521091822,,
H30,B_unconditional__clean,slice,11,11,8,0.7272727272727273,0.8685856533142021,-0.14131292604147472,,
H30,A_decided__clean,slice,8,8,8,1.0,0.8662626898176395,0.1337373101823605,,
H30,D_no_touch_hit_unconditional__clean,slice,6,6,3,0.5,0.8354667953858014,-0.3354667953858013,,
H30,B_unconditional__both_regions_sized,slice,20,20,11,0.55,0.8429816713031288,-0.2929816713031289,,
H30,A_decided__both_regions_sized,slice,11,11,11,1.0,0.8625605047617332,0.13743949523826676,,
H30,D_no_touch_hit_unconditional__both_regions_sized,slice,15,15,6,0.4,0.8039856550971343,-0.4039856550971341,,
H60,A_decided,decided,20,20,19,0.95,0.8448969548199339,0.10510304518006612,,
H60,B_unconditional,unconditional,34,34,19,0.5588235294117647,0.8345494717009667,-0.27572594228920194,,
H60,C_delayed_decided,decided,12,12,11,0.9166666666666666,0.782830439836686,0.13383622682998061,,
H60,D_no_touch_hit_unconditional,unconditional,26,26,11,0.4230769230769231,0.8027195469028624,-0.37964262382593933,,
H60,same_minute_vs_delayed,count,19,8,11,,,,8.0,11.0
H60,B_unconditional__lower_to_upper,slice,12,12,8,0.6666666666666666,0.8530339762433958,-0.18636730957672912,,
H60,A_decided__lower_to_upper,slice,8,8,8,1.0,0.8589180017502231,0.14108199824977685,,
H60,D_no_touch_hit_unconditional__lower_to_upper,slice,8,8,4,0.5,0.8212924101886427,-0.3212924101886428,,
H60,B_unconditional__upper_to_lower,slice,22,22,11,0.5,0.8244670146778236,-0.3244670146778236,,
H60,A_decided__upper_to_lower,slice,12,12,11,0.9166666666666666,0.8355495901997411,0.08111707646692563,,
H60,D_no_touch_hit_unconditional__upper_to_lower,slice,18,18,7,0.3888888888888889,0.7944649409980712,-0.4055760521091822,,
H60,B_unconditional__clean,slice,11,11,9,0.8181818181818182,0.8685856533142021,-0.05040383513238383,,
H60,A_decided__clean,slice,9,9,9,1.0,0.8585529465045685,0.14144705349543157,,
H60,D_no_touch_hit_unconditional__clean,slice,6,6,4,0.6666666666666666,0.8354667953858014,-0.16880012871913466,,
H60,B_unconditional__both_regions_sized,slice,20,20,11,0.55,0.8429816713031288,-0.2929816713031289,,
H60,A_decided__both_regions_sized,slice,11,11,11,1.0,0.8625605047617332,0.13743949523826676,,
H60,D_no_touch_hit_unconditional__both_regions_sized,slice,15,15,6,0.4,0.8039856550971343,-0.4039856550971341,,
H120,A_decided,decided,25,25,22,0.88,0.8341386492766278,0.04586135072337211,,
H120,B_unconditional,unconditional,34,34,22,0.6470588235294118,0.8345494717009667,-0.1874906481715549,,
H120,C_delayed_decided,decided,17,17,14,0.8235294117647058,0.7852642596210149,0.03826515214369101,,
H120,D_no_touch_hit_unconditional,unconditional,26,26,14,0.5384615384615384,0.8027195469028624,-0.26425800844132397,,
H120,same_minute_vs_delayed,count,22,8,14,,,,8.0,14.0
H120,B_unconditional__lower_to_upper,slice,12,12,9,0.75,0.8530339762433958,-0.10303397624339579,,
H120,A_decided__lower_to_upper,slice,10,10,9,0.9,0.8470649569557341,0.052935043044265925,,
H120,D_no_touch_hit_unconditional__lower_to_upper,slice,8,8,5,0.625,0.8212924101886427,-0.1962924101886428,,
H120,B_unconditional__upper_to_lower,slice,22,22,13,0.5909090909090909,0.8244670146778236,-0.2335579237687326,,
H120,A_decided__upper_to_lower,slice,15,15,13,0.8666666666666667,0.8255211108238905,0.04114555584277622,,
H120,D_no_touch_hit_unconditional__upper_to_lower,slice,18,18,9,0.5,0.7944649409980712,-0.29446494099807113,,
