horizon,reject_location,n,share,med_minutes,med_lvn_pen,med_opp_exc
H30,band_only,16,0.9411764705882353,1.0,0.08467993406316701,0.16117424242424244
H30,past_far_edge,1,0.058823529411764705,28.0,1.0,0.28087167070217917
H30,ALL_REJECTS,17,1.0,2.0,0.09037328094302555,0.17083333333333334
H60,band_only,18,0.9473684210526315,2.0,0.08467993406316701,0.16117424242424244
H60,past_far_edge,1,0.05263157894736842,28.0,1.0,0.28087167070217917
H60,ALL_REJECTS,19,1.0,2.0,0.09037328094302555,0.17083333333333334
H120,band_only,21,0.9545454545454546,5.0,0.1012909632571996,0.1865671641791045
H120,past_far_edge,1,0.045454545454545456,28.0,1.0,0.28087167070217917
H120,ALL_REJECTS,22,1.0,6.0,0.1397543925196889,0.21672108208955226
session_end,band_only,23,0.8846153846153846,7.0,0.1782178217821782,0.246875
session_end,past_far_edge,3,0.11538461538461539,183.0,1.0,0.6563467492260062
session_end,ALL_REJECTS,26,1.0,8.0,0.27874938129021615,0.2869875594890206
