prior_session,gap_index,next_session,approach,clean,both_regions_sized,horizon,measurement_price,touch_bar,horizon_end_bar,bars_in_horizon,dist_to_approach,dist_to_opposite,null_traverse_prob,null_defined,outcome,event_bar,minutes_to_event,traverse_bar,reject_bar,max_lvn_penetration,max_opposite_excursion,max_opposite_points,max_adverse_points,session_key,lower_hvn_price,upper_hvn_price,valley_left_price,valley_right_price,null_reject_prob,is_reject,is_traverse,is_decided,touch_bar_hits_approach_hvn,same_minute_reject,delayed_reject,reject_location,reject_path_lvn_penetration,reject_path_opposite_excursion,reject_path_opposite_points,minutes_to_reject
2026-03-26,0,2026-03-30,lower_region,True,True,H30,23336.75,212,242,31,1.75,163.25,0.0106060606060606,True,reject,212,0.0,-1,212,0.3693516699410609,0.3666666666666666,60.5,12.75,2026-03-26|0,23335.0,23500.0,23350.25,23477.5,0.9893939393939394,True,False,True,True,True,False,band_only,0.09037328094302555,0.15151515151515152,25.0,0.0
2026-03-26,0,2026-03-30,lower_region,True,True,H60,23336.75,212,272,61,1.75,163.25,0.0106060606060606,True,reject,212,0.0,-1,212,0.3693516699410609,0.3666666666666666,60.5,14.0,2026-03-26|0,23335.0,23500.0,23350.25,23477.5,0.9893939393939394,True,False,True,True,True,False,band_only,0.09037328094302555,0.15151515151515152,25.0,0.0
2026-03-26,0,2026-03-30,lower_region,True,True,H120,23336.75,212,332,121,1.75,163.25,0.0106060606060606,True,reject,212,0.0,-1,212,0.4302554027504912,0.4136363636363636,68.25,14.0,2026-03-26|0,23335.0,23500.0,23350.25,23477.5,0.9893939393939394,True,False,True,True,True,False,band_only,0.09037328094302555,0.15151515151515152,25.0,0.0
2026-03-26,0,2026-03-30,lower_region,True,True,session_end,23336.75,212,1379,1168,1.75,163.25,0.0106060606060606,True,reject,212,0.0,949,212,1.0,3.8696969696969696,638.5,101.75,2026-03-26|0,23335.0,23500.0,23350.25,23477.5,0.9893939393939394,True,False,True,True,True,False,band_only,0.09037328094302555,0.15151515151515152,25.0,0.0
2026-03-31,2,2026-04-01,lower_region,False,False,H30,24225.25,178,208,31,25.25,94.75,0.2104166666666666,True,reject,180,2.0,-1,180,0.1782178217821782,0.1708333333333333,20.5,263.25,2026-03-31|2,24200.0,24320.0,24241.25,24266.5,0.7895833333333334,True,False,True,False,False,True,band_only,0.1782178217821782,0.17083333333333334,20.5,2.0
2026-03-31,2,2026-04-01,lower_region,False,False,H60,24225.25,178,238,61,25.25,94.75,0.2104166666666666,True,reject,180,2.0,-1,180,0.1782178217821782,0.1708333333333333,20.5,312.75,2026-03-31|2,24200.0,24320.0,24241.25,24266.5,0.7895833333333334,True,False,True,False,False,True,band_only,0.1782178217821782,0.17083333333333334,20.5,2.0
2026-03-31,2,2026-04-01,lower_region,False,False,H120,24225.25,178,298,121,25.25,94.75,0.2104166666666666,True,reject,180,2.0,-1,180,0.1782178217821782,0.1708333333333333,20.5,369.25,2026-03-31|2,24200.0,24320.0,24241.25,24266.5,0.7895833333333334,True,False,True,False,False,True,band_only,0.1782178217821782,0.17083333333333334,20.5,2.0
2026-03-31,2,2026-04-01,lower_region,False,False,session_end,24225.25,178,1379,1202,25.25,94.75,0.2104166666666666,True,reject,180,2.0,-1,180,1.0,0.3458333333333333,41.5,559.25,2026-03-31|2,24200.0,24320.0,24241.25,24266.5,0.7895833333333334,True,False,True,False,False,True,band_only,0.1782178217821782,0.17083333333333334,20.5,2.0
2026-04-01,0,2026-04-06,upper_region,False,True,H30,24121.25,960,990,31,28.75,321.25,0.0821428571428571,True,remain,-1,,-1,-1,0.3530884808013355,0.3635714285714285,127.25,10.75,2026-04-01|0,23800.0,24150.0,23800.25,24099.75,0.9178571428571429,False,False,False,False,False,False,,,,,
2026-04-01,0,2026-04-06,upper_region,False,True,H60,24121.25,960,1020,61,28.75,321.25,0.0821428571428571,True,remain,-1,,-1,-1,0.3931552587646076,0.3978571428571428,139.25,23.25,2026-04-01|0,23800.0,24150.0,23800.25,24099.75,0.9178571428571429,False,False,False,False,False,False,,,,,
2026-04-01,0,2026-04-06,upper_region,False,True,H120,24121.25,960,1080,121,28.75,321.25,0.0821428571428571,True,remain,-1,,-1,-1,0.5283806343906511,0.5135714285714286,179.75,23.25,2026-04-01|0,23800.0,24150.0,23800.25,24099.75,0.9178571428571429,False,False,False,False,False,False,,,,,
2026-04-01,0,2026-04-06,upper_region,False,True,session_end,24121.25,960,1379,420,28.75,321.25,0.0821428571428571,True,reject,1082,122.0,-1,1082,0.5283806343906511,0.5135714285714286,179.75,330.25,2026-04-01|0,23800.0,24150.0,23800.25,24099.75,0.9178571428571429,True,False,True,False,False,True,band_only,0.5283806343906511,0.5135714285714286,179.75,122.0
2026-04-14,2,2026-04-15,upper_region,False,False,H30,26318.0,953,983,31,27.0,118.0,0.1862068965517241,True,reject,966,13.0,-1,966,0.361271676300578,0.293103448275862,42.5,68.5,2026-04-14|2,26200.0,26345.0,26220.25,26306.75,0.8137931034482759,True,False,True,False,False,True,band_only,0.36127167630057805,0.29310344827586204,42.5,13.0
2026-04-14,2,2026-04-15,upper_region,False,False,H60,26318.0,953,1013,61,27.0,118.0,0.1862068965517241,True,reject,966,13.0,-1,966,0.361271676300578,0.293103448275862,42.5,104.75,2026-04-14|2,26200.0,26345.0,26220.25,26306.75,0.8137931034482759,True,False,True,False,False,True,band_only,0.36127167630057805,0.29310344827586204,42.5,13.0
2026-04-14,2,2026-04-15,upper_region,False,False,H120,26318.0,953,1073,121,27.0,118.0,0.1862068965517241,True,reject,966,13.0,-1,966,0.361271676300578,0.293103448275862,42.5,225.0,2026-04-14|2,26200.0,26345.0,26220.25,26306.75,0.8137931034482759,True,False,True,False,False,True,band_only,0.36127167630057805,0.29310344827586204,42.5,13.0
2026-04-14,2,2026-04-15,upper_region,False,False,session_end,26318.0,953,1379,427,27.0,118.0,0.1862068965517241,True,reject,966,13.0,-1,966,0.361271676300578,0.293103448275862,42.5,246.0,2026-04-14|2,26200.0,26345.0,26220.25,26306.75,0.8137931034482759,True,False,True,False,False,True,band_only,0.36127167630057805,0.29310344827586204,42.5,13.0
2026-04-20,2,2026-04-21,lower_region,False,True,H30,26774.75,120,150,31,9.75,66.25,0.1282894736842105,True,remain,-1,,-1,-1,1.0,0.5625,42.75,3.0,2026-04-20|2,26765.0,26841.0,26778.75,26809.75,0.8717105263157895,False,False,False,False,False,False,,,,,
2026-04-20,2,2026-04-21,lower_region,False,True,H60,26774.75,120,180,61,9.75,66.25,0.1282894736842105,True,remain,-1,,-1,-1,1.0,0.569078947368421,43.25,3.0,2026-04-20|2,26765.0,26841.0,26778.75,26809.75,0.8717105263157895,False,False,False,False,False,False,,,,,
2026-04-20,2,2026-04-21,lower_region,False,True,H120,26774.75,120,240,121,9.75,66.25,0.1282894736842105,True,remain,-1,,-1,-1,1.0,0.7631578947368421,58.0,3.0,2026-04-20|2,26765.0,26841.0,26778.75,26809.75,0.8717105263157895,False,False,False,False,False,False,,,,,
2026-04-20,2,2026-04-21,lower_region,False,True,session_end,26774.75,120,1379,1260,9.75,66.25,0.1282894736842105,True,traverse,436,316.0,436,-1,1.0,4.753289473684211,361.25,9.25,2026-04-20|2,26765.0,26841.0,26778.75,26809.75,0.8717105263157895,False,True,True,False,False,False,,,,,
2026-04-21,0,2026-04-22,upper_region,True,True,H30,26984.5,133,163,31,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5,2026-04-21|0,26830.0,26990.0,26835.25,26965.75,0.965625,True,False,True,False,False,True,band_only,0.9022988505747126,0.853125,136.5,5.0
2026-04-21,0,2026-04-22,upper_region,True,True,H60,26984.5,133,193,61,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5,2026-04-21|0,26830.0,26990.0,26835.25,26965.75,0.965625,True,False,True,False,False,True,band_only,0.9022988505747126,0.853125,136.5,5.0
2026-04-21,0,2026-04-22,upper_region,True,True,H120,26984.5,133,253,121,5.5,154.5,0.034375,True,reject,138,5.0,-1,138,0.9022988505747126,0.853125,136.5,90.5,2026-04-21|0,26830.0,26990.0,26835.25,26965.75,0.965625,True,False,True,False,False,True,band_only,0.9022988505747126,0.853125,136.5,5.0
2026-04-21,0,2026-04-22,upper_region,True,True,session_end,26984.5,133,1379,1247,5.5,154.5,0.034375,True,reject,138,5.0,1180,138,1.0,1.8921875,302.75,171.25,2026-04-21|0,26830.0,26990.0,26835.25,26965.75,0.965625,True,False,True,False,False,True,band_only,0.9022988505747126,0.853125,136.5,5.0
2026-04-23,1,2026-04-27,upper_region,False,True,H30,27396.5,431,461,31,18.5,146.5,0.1121212121212121,True,remain,-1,,-1,-1,0.4591836734693877,0.2818181818181818,46.5,1.5,2026-04-23|1,27250.0,27415.0,27310.25,27383.75,0.8878787878787879,False,False,False,False,False,False,,,,,
2026-04-23,1,2026-04-27,upper_region,False,True,H60,27396.5,431,491,61,18.5,146.5,0.1121212121212121,True,remain,-1,,-1,-1,0.4591836734693877,0.2818181818181818,46.5,1.5,2026-04-23|1,27250.0,27415.0,27310.25,27383.75,0.8878787878787879,False,False,False,False,False,False,,,,,
2026-04-23,1,2026-04-27,upper_region,False,True,H120,27396.5,431,551,121,18.5,146.5,0.1121212121212121,True,remain,-1,,-1,-1,0.8673469387755102,0.4636363636363636,76.5,1.5,2026-04-23|1,27250.0,27415.0,27310.25,27383.75,0.8878787878787879,False,False,False,False,False,False,,,,,
2026-04-23,1,2026-04-27,upper_region,False,True,session_end,27396.5,431,1379,949,18.5,146.5,0.1121212121212121,True,traverse,765,334.0,765,-1,1.0,2.345454545454545,387.0,1.5,2026-04-23|1,27250.0,27415.0,27310.25,27383.75,0.8878787878787879,False,True,True,False,False,False,,,,,
2026-05-06,2,2026-05-07,lower_region,False,False,H30,28778.25,202,232,31,48.25,91.75,0.3446428571428571,True,remain,-1,,-1,-1,0.036697247706422,0.0285714285714285,4.0,15.25,2026-05-06|2,28730.0,28870.0,28780.25,28834.75,0.655357142857143,False,False,False,False,False,False,,,,,
2026-05-06,2,2026-05-07,lower_region,False,False,H60,28778.25,202,262,61,48.25,91.75,0.3446428571428571,True,reject,262,60.0,-1,262,0.036697247706422,0.0285714285714285,4.0,49.0,2026-05-06|2,28730.0,28870.0,28780.25,28834.75,0.655357142857143,True,False,True,False,False,True,band_only,0.03669724770642202,0.02857142857142857,4.0,60.0
2026-05-06,2,2026-05-07,lower_region,False,False,H120,28778.25,202,322,121,48.25,91.75,0.3446428571428571,True,reject,262,60.0,-1,262,0.036697247706422,0.0285714285714285,4.0,68.75,2026-05-06|2,28730.0,28870.0,28780.25,28834.75,0.655357142857143,True,False,True,False,False,True,band_only,0.03669724770642202,0.02857142857142857,4.0,60.0
2026-05-06,2,2026-05-07,lower_region,False,False,session_end,28778.25,202,1379,1178,48.25,91.75,0.3446428571428571,True,reject,262,60.0,661,262,1.0,4.346428571428572,608.5,68.75,2026-05-06|2,28730.0,28870.0,28780.25,28834.75,0.655357142857143,True,False,True,False,False,True,band_only,0.03669724770642202,0.02857142857142857,4.0,60.0
2026-05-07,0,2026-05-11,upper_region,False,True,H30,29281.25,218,248,31,3.75,181.25,0.0202702702702702,True,reject,227,9.0,-1,227,0.2680250783699059,0.2932432432432432,54.25,39.75,2026-05-07|0,29100.0,29285.0,29110.25,29269.75,0.9797297297297298,True,False,True,False,False,True,band_only,0.26802507836990597,0.29324324324324325,54.25,9.0
2026-05-07,0,2026-05-11,upper_region,False,True,H60,29281.25,218,278,61,3.75,181.25,0.0202702702702702,True,reject,227,9.0,-1,227,0.2680250783699059,0.2932432432432432,54.25,63.0,2026-05-07|0,29100.0,29285.0,29110.25,29269.75,0.9797297297297298,True,False,True,False,False,True,band_only,0.26802507836990597,0.29324324324324325,54.25,9.0
2026-05-07,0,2026-05-11,upper_region,False,True,H120,29281.25,218,338,121,3.75,181.25,0.0202702702702702,True,reject,227,9.0,-1,227,0.2680250783699059,0.2932432432432432,54.25,84.0,2026-05-07|0,29100.0,29285.0,29110.25,29269.75,0.9797297297297298,True,False,True,False,False,True,band_only,0.26802507836990597,0.29324324324324325,54.25,9.0
2026-05-07,0,2026-05-11,upper_region,False,True,session_end,29281.25,218,1379,1162,3.75,181.25,0.0202702702702702,True,reject,227,9.0,960,227,1.0,2.9148648648648647,539.25,84.0,2026-05-07|0,29100.0,29285.0,29110.25,29269.75,0.9797297297297298,True,False,True,False,False,True,band_only,0.26802507836990597,0.29324324324324325,54.25,9.0
2026-05-11,1,2026-05-12,upper_region,False,True,H30,29129.5,90,120,31,43.5,129.5,0.2514450867052023,True,remain,-1,,-1,-1,0.3795180722891566,0.3005780346820809,52.0,0.0,2026-05-11|1,29000.0,29173.0,29000.25,29124.75,0.7485549132947977,False,False,False,False,False,False,,,,,
