horizon,block,split,n,reject_n,observed_reject,mean_null_reject,mean_reject_minus_null,diff_p25,diff_median,diff_p75,lower_n,upper_n,date_min,date_max
H30,all,calendar_or_count,34,17,0.5,0.8345494717009666,-0.33454947170096666,-0.8124121621621622,-0.307527709359606,0.050801640566741246,12,22,2026-03-30,2026-09-15
H30,early_before_2026-06-20,calendar_or_count,17,8,0.47058823529411764,0.8356689649681757,-0.3650807296740579,-0.8717105263157895,-0.655357142857143,0.03472222222222221,6,11,2026-03-30,2026-06-09
H30,late_from_2026-06-20,calendar_or_count,17,9,0.5294117647058824,0.8334299784337578,-0.3040182137278754,-0.8009999999999999,0.003694581280788034,0.10999999999999999,6,11,2026-06-24,2026-09-15
H30,early_equal_count,calendar_or_count,17,8,0.47058823529411764,0.8356689649681757,-0.3650807296740579,-0.8717105263157895,-0.655357142857143,0.03472222222222221,6,11,2026-03-30,2026-06-09
H30,late_equal_count,calendar_or_count,17,9,0.5294117647058824,0.8334299784337578,-0.3040182137278754,-0.8009999999999999,0.003694581280788034,0.10999999999999999,6,11,2026-06-24,2026-09-15
H30,2026-03,month,1,1,1.0,0.9893939393939394,0.010606060606060619,0.010606060606060619,0.010606060606060619,0.010606060606060619,1,0,2026-03-30,2026-03-30
H30,2026-04,month,6,3,0.5,0.8744079823055548,-0.3744079823055549,-0.8838367224880384,-0.4186677631578947,0.14824892241379306,2,4,2026-04-01,2026-04-27
H30,2026-05,month,5,2,0.4,0.7159717782289657,-0.31597177822896566,-0.736842105263158,-0.655357142857143,0.020270270270270174,1,4,2026-05-07,2026-05-26
H30,2026-06,month,7,4,0.5714285714285714,0.896711014115157,-0.3252824426865856,-0.780357142857143,0.003694581280788034,0.03563105891126023,2,5,2026-06-04,2026-06-30
H30,2026-07,month,9,3,0.3333333333333333,0.8127333456125315,-0.47940001227919826,-0.8162162162162162,-0.796875,0.13749999999999996,2,7,2026-07-06,2026-07-29
H30,2026-08,month,4,2,0.5,0.882518047112462,-0.382518047112462,-0.709201388888889,-0.302536094224924,0.02414724755150291,3,1,2026-08-05,2026-08-11
H30,2026-09,month,2,2,1.0,0.718665957846019,0.2813340421539809,0.15081462255300523,0.2813340421539809,0.4118534617549565,1,1,2026-09-02,2026-09-15
H60,all,calendar_or_count,34,19,0.5588235294117647,0.8345494717009666,-0.27572594228920194,-0.8124121621621622,0.012141936078106319,0.13062499999999996,12,22,2026-03-30,2026-09-15
H60,early_before_2026-06-20,calendar_or_count,17,9,0.5294117647058824,0.8356689649681757,-0.3062572002622932,-0.8717105263157895,0.010606060606060619,0.036539895600298244,6,11,2026-03-30,2026-06-09
H60,late_from_2026-06-20,calendar_or_count,17,10,0.5882352941176471,0.8334299784337578,-0.24519468431611072,-0.8009999999999999,0.01367781155015202,0.13749999999999996,6,11,2026-06-24,2026-09-15
H60,early_equal_count,calendar_or_count,17,9,0.5294117647058824,0.8356689649681757,-0.3062572002622932,-0.8717105263157895,0.010606060606060619,0.036539895600298244,6,11,2026-03-30,2026-06-09
H60,late_equal_count,calendar_or_count,17,10,0.5882352941176471,0.8334299784337578,-0.24519468431611072,-0.8009999999999999,0.01367781155015202,0.13749999999999996,6,11,2026-06-24,2026-09-15
H60,2026-03,month,1,1,1.0,0.9893939393939394,0.010606060606060619,0.010606060606060619,0.010606060606060619,0.010606060606060619,1,0,2026-03-30,2026-03-30
H60,2026-04,month,6,3,0.5,0.8744079823055548,-0.3744079823055549,-0.8838367224880384,-0.4186677631578947,0.14824892241379306,2,4,2026-04-01,2026-04-27
H60,2026-05,month,5,3,0.6,0.7159717782289657,-0.11597177822896569,-0.736842105263158,0.020270270270270174,0.34464285714285703,1,4,2026-05-07,2026-05-26
H60,2026-06,month,7,4,0.5714285714285714,0.896711014115157,-0.3252824426865856,-0.780357142857143,0.003694581280788034,0.03563105891126023,2,5,2026-06-04,2026-06-30
H60,2026-07,month,9,4,0.4444444444444444,0.8127333456125315,-0.36828890116808716,-0.8162162162162162,-0.6637500000000001,0.16617647058823526,2,7,2026-07-06,2026-07-29
H60,2026-08,month,4,2,0.5,0.882518047112462,-0.382518047112462,-0.709201388888889,-0.302536094224924,0.02414724755150291,3,1,2026-08-05,2026-08-11
H60,2026-09,month,2,2,1.0,0.718665957846019,0.2813340421539809,0.15081462255300523,0.2813340421539809,0.4118534617549565,1,1,2026-09-02,2026-09-15
H120,all,calendar_or_count,34,22,0.6470588235294118,0.8345494717009666,-0.1874906481715549,-0.7192982456140351,0.020282736611149876,0.15900735294117643,12,22,2026-03-30,2026-09-15
H120,early_before_2026-06-20,calendar_or_count,17,10,0.5882352941176471,0.8356689649681757,-0.24743367085052856,-0.8717105263157895,0.020270270270270174,0.18620689655172407,6,11,2026-03-30,2026-06-09
H120,late_from_2026-06-20,calendar_or_count,17,12,0.7058823529411765,0.8334299784337578,-0.1275476254925813,-0.61875,0.02029520295202958,0.13749999999999996,6,11,2026-06-24,2026-09-15
H120,early_equal_count,calendar_or_count,17,10,0.5882352941176471,0.8356689649681757,-0.24743367085052856,-0.8717105263157895,0.020270270270270174,0.18620689655172407,6,11,2026-03-30,2026-06-09
H120,late_equal_count,calendar_or_count,17,12,0.7058823529411765,0.8334299784337578,-0.1275476254925813,-0.61875,0.02029520295202958,0.13749999999999996,6,11,2026-06-24,2026-09-15
H120,2026-03,month,1,1,1.0,0.9893939393939394,0.010606060606060619,0.010606060606060619,0.010606060606060619,0.010606060606060619,1,0,2026-03-30,2026-03-30
H120,2026-04,month,6,3,0.5,0.8744079823055548,-0.3744079823055549,-0.8838367224880384,-0.4186677631578947,0.14824892241379306,2,4,2026-04-01,2026-04-27
H120,2026-05,month,5,4,0.8,0.7159717782289657,0.0840282217710343,0.020270270270270174,0.25144508670520227,0.34464285714285703,1,4,2026-05-07,2026-05-26
H120,2026-06,month,7,4,0.5714285714285714,0.896711014115157,-0.3252824426865856,-0.780357142857143,0.003694581280788034,0.03563105891126023,2,5,2026-06-04,2026-06-30
H120,2026-07,month,9,5,0.5555555555555556,0.8127333456125315,-0.25717779005697605,-0.8009999999999999,0.05900000000000005,0.16617647058823526,2,7,2026-07-06,2026-07-29
H120,2026-08,month,4,3,0.75,0.882518047112462,-0.132518047112462,-0.144429141337386,0.016561127997298197,0.028472222222222177,3,1,2026-08-05,2026-08-11
H120,2026-09,month,2,2,1.0,0.718665957846019,0.2813340421539809,0.15081462255300523,0.2813340421539809,0.4118534617549565,1,1,2026-09-02,2026-09-15
session_end,all,calendar_or_count,34,26,0.7647058823529411,0.8345494717009666,-0.06984358934802548,0.00542245111210618,0.04604772557792691,0.18119929006085186,12,22,2026-03-30,2026-09-15
session_end,early_before_2026-06-20,calendar_or_count,17,14,0.8235294117647058,0.8356689649681757,-0.012139553203469704,0.020270270270270174,0.08214285714285718,0.21041666666666659,6,11,2026-03-30,2026-06-09
session_end,late_from_2026-06-20,calendar_or_count,17,12,0.7058823529411765,0.8334299784337578,-0.1275476254925813,-0.61875,0.02029520295202958,0.13749999999999996,6,11,2026-06-24,2026-09-15
session_end,early_equal_count,calendar_or_count,17,14,0.8235294117647058,0.8356689649681757,-0.012139553203469704,0.020270270270270174,0.08214285714285718,0.21041666666666659,6,11,2026-03-30,2026-06-09
session_end,late_equal_count,calendar_or_count,17,12,0.7058823529411765,0.8334299784337578,-0.1275476254925813,-0.61875,0.02029520295202958,0.13749999999999996,6,11,2026-06-24,2026-09-15
session_end,2026-03,month,1,1,1.0,0.9893939393939394,0.010606060606060619,0.010606060606060619,0.010606060606060619,0.010606060606060619,1,0,2026-03-30,2026-03-30
session_end,2026-04,month,6,4,0.6666666666666666,0.8744079823055548,-0.20774131563888823,-0.6451891447368421,0.058258928571428614,0.16019088669950735,2,4,2026-04-01,2026-04-27
session_end,2026-05,month,5,5,1.0,0.7159717782289657,0.2840282217710343,0.25144508670520227,0.26315789473684204,0.34464285714285703,1,4,2026-05-07,2026-05-26
session_end,2026-06,month,7,6,0.8571428571428571,0.896711014115157,-0.03956815697229991,0.019208401751505122,0.036539895600298244,0.10236643437862947,2,5,2026-06-04,2026-06-30
session_end,2026-07,month,9,5,0.5555555555555556,0.8127333456125315,-0.25717779005697605,-0.8009999999999999,0.05900000000000005,0.16617647058823526,2,7,2026-07-06,2026-07-29
session_end,2026-08,month,4,3,0.75,0.882518047112462,-0.132518047112462,-0.144429141337386,0.016561127997298197,0.028472222222222177,3,1,2026-08-05,2026-08-11
session_end,2026-09,month,2,2,1.0,0.718665957846019,0.2813340421539809,0.15081462255300523,0.2813340421539809,0.4118534617549565,1,1,2026-09-02,2026-09-15
