prior_session,next_session,calendar_gap_days,prior_poc,prior_poc_location,prior_lower_share,prior_middle_share,prior_upper_share,prior_dominant_third,prior_vw_std_norm,prior_poc_concentration_10,prior_profile_low,prior_profile_high,prior_range,open_to_poc,open_to_poc_frac,open_third,n_bars,near_bar_n,near_share,minutes_to_poc_band,poc_band_status,touched_poc_band,crossed_poc,closes_after_cross,closes_above,closes_below,closes_equal,close_imbalance,next_vwap_proxy,migration_frac,in_location_sample,exclude_reason
2026-03-25,2026-03-26,1,24100.0,0.5117781155015197,0.3320824123102507,0.4968624896297904,0.1710550980599588,middle,0.2448042331760826,0.327691196968094,23763.25,24421.25,658.0,-276.0,-0.4194528875379939,prior_lower,1380,0,0.0,,no_touch,False,False,0,0,0,0,,23537.295720171936,-0.8551736775502486,True,
2026-03-26,2026-03-30,4,23500.0,0.3597848016139879,0.3664239757103116,0.4630739683514518,0.1705020559382364,middle,0.2380062878084357,0.365686272728429,23232.5,23976.0,743.5,-380.5,-0.511768661735037,outside_below,1380,188,0.13623188405797101,849.0,touch,True,True,430,366,63,1,303.0,23577.89449174496,0.10476730564217746,True,
2026-03-30,2026-03-31,1,23909.0,0.934648581997534,0.107044218616776,0.4845825701110599,0.408373211272164,middle,0.2381832144228521,0.258245860241593,22961.5,23975.25,1013.75,-20.0,-0.01972872996300863,prior_upper,1380,365,0.2644927536231884,0.0,touch,True,True,1379,1379,0,0,1379.0,24170.946737688602,0.2583938226274745,True,
2026-03-31,2026-04-01,1,24150.0,0.5766150560597971,0.0869657823831989,0.4977316052354125,0.4153026123813885,middle,0.1989375272327747,0.3734420316865284,23880.0,24348.25,468.25,30.0,0.06406833956219968,prior_middle,1380,476,0.34492753623188405,0.0,touch,True,True,1196,181,1014,1,-833.0,24017.702471996574,-0.2825360982454375,True,
2026-04-01,2026-04-06,5,24150.0,0.8056595921764461,0.264036370684946,0.1745475691201607,0.5614160601948933,upper,0.281943028629712,0.4787432377663042,23666.0,24266.75,600.75,198.75,0.33083645443196,outside_above,1380,421,0.3050724637681159,231.0,touch,True,True,533,378,155,0,223.0,24192.713655208467,0.07110054966036898,True,
2026-04-06,2026-04-07,1,24200.0,0.5068627450980392,0.2563000194941017,0.5456539568635922,0.198046023642306,middle,0.2062858204029088,0.4477075112003273,23941.5,24451.5,510.0,314.0,0.615686274509804,outside_above,1380,0,0.0,,no_touch,False,False,0,0,0,0,,25064.38645534176,1.6948754026308996,True,
2026-04-07,2026-04-08,1,25080.0,0.8037694013303769,0.0256094836939179,0.0537861382347309,0.9206043780713512,upper,0.1270887691205695,0.715415789137788,24355.0,25257.0,902.0,-42.25,-0.04684035476718403,prior_upper,1380,1004,0.7275362318840579,0.0,touch,True,True,450,345,105,0,240.0,25113.00194990451,0.03658752761031969,True,
2026-04-08,2026-04-09,1,25031.0,0.2462509865824783,0.419902173612182,0.1805814224763441,0.3995164039114738,lower,0.2965626541843155,0.3259568124572454,24953.0,25269.75,316.75,206.0,0.6503551696921863,prior_upper,1380,0,0.0,,no_touch,False,False,0,0,0,0,,25290.8574906663,0.8203867108644092,True,
2026-04-09,2026-04-13,4,25300.0,0.535,0.245107475136349,0.5162227065994829,0.238669818264168,middle,0.2038160194787826,0.2836508520636358,25193.0,25393.0,200.0,275.25,1.37625,outside_above,1380,0,0.0,,no_touch,False,False,0,0,0,0,,25820.813541499574,2.60406770749787,True,
2026-04-13,2026-04-14,1,25923.25,0.8195149464184998,0.2181984505130995,0.3192684375501285,0.4625331119367719,upper,0.2885348337306978,0.3029498346028952,25560.0,26003.25,443.25,62.5,0.1410039481105471,prior_upper,1380,38,0.02753623188405797,464.0,touch,True,False,0,0,0,0,,26151.05653295813,0.5139459288395477,True,
2026-04-14,2026-04-15,1,25999.0,0.1470422535211267,0.3466453547404493,0.4079158205356009,0.2454388247239497,middle,0.270181093952513,0.2758281507805559,25933.75,26377.5,443.75,351.0,0.7909859154929577,prior_upper,1380,0,0.0,,no_touch,False,False,0,0,0,0,,26431.874112759866,0.9754909583320923,True,
2026-04-15,2026-04-16,1,26450.0,0.6048526863084922,0.1646795027184264,0.5303043945008138,0.3050161027807598,middle,0.2003853796038063,0.363548845101638,26275.5,26564.0,288.5,10.0,0.03466204506065858,prior_middle,1380,441,0.31956521739130433,0.0,touch,True,True,1379,1368,11,0,1357.0,26750.032312209816,1.0399733525470232,True,
2026-04-16,2026-04-20,4,26830.0,0.8768971332209107,0.1108568269572487,0.2071290365224915,0.6820141365202597,upper,0.2397965203906503,0.4791154116227125,26440.0,26884.75,444.75,-53.25,-0.11973018549747048,prior_upper,1379,968,0.7019579405366208,1.0,touch,True,True,1211,338,867,6,-529.0,26741.494784518673,-0.1989999223863462,True,
2026-04-20,2026-04-21,1,26719.5,0.4792857142857142,0.1582045548157079,0.5602803527922718,0.2815150923920203,middle,0.2057400149453806,0.3964977579447465,26551.75,26901.75,350.0,10.0,0.02857142857142857,prior_middle,1380,101,0.07318840579710145,0.0,touch,True,False,0,0,0,0,,26945.480776340046,0.6456593609715596,True,
2026-04-21,2026-04-22,1,26990.0,0.642375995101041,0.2882039845495421,0.4218151480267776,0.2899808674236803,middle,0.2258989142818777,0.4016236618226887,26727.75,27136.0,408.25,85.0,0.2082057562767912,prior_upper,1380,642,0.4652173913043478,130.0,touch,True,True,1247,497,745,5,-248.0,26973.747120068045,-0.03981109597539559,True,
2026-04-22,2026-04-23,1,26925.0,0.5131856540084389,0.0639128456902156,0.4952124000648525,0.4408747542449318,middle,0.1980252626315966,0.340317053552174,26681.75,27155.75,474.0,67.0,0.14135021097046413,prior_middle,1380,0,0.0,,no_touch,False,False,0,0,0,0,,27289.483610998937,0.768952765820543,True,
2026-04-23,2026-04-27,4,27415.0,0.8990435706695006,0.1371768263478677,0.3919461322464618,0.4708770414056704,upper,0.2482979576610069,0.3833607242470629,26992.0,27462.5,470.5,8.0,0.01700318809776833,prior_upper,1380,309,0.22391304347826088,0.0,touch,True,True,1138,106,1028,4,-922.0,27160.875014295914,-0.5401168665336572,True,
2026-04-27,2026-04-28,1,27170.0,0.3194029850746269,0.6510941231549824,0.2647208452137288,0.0841850316312888,lower,0.2153851087135767,0.4097058957747764,27009.5,27512.0,502.5,27.25,0.054228855721393035,prior_middle,1380,331,0.2398550724637681,0.0,touch,True,True,449,426,23,0,403.0,27241.299694793503,0.1418899398875673,True,
2026-04-28,2026-04-29,1,27280.0,0.58125,0.1976686212135135,0.7342200810625331,0.0681112977239533,middle,0.1514040746815949,0.4024854484345702,27094.0,27414.0,320.0,-73.0,-0.228125,prior_middle,1380,195,0.14130434782608695,1.0,touch,True,True,1377,1205,172,0,1033.0,27411.94262177616,0.41232069305050345,True,
2026-04-29,2026-04-30,1,27585.0,0.9178454842219804,0.2518714868770788,0.4110037909047335,0.3371247222181876,middle,0.2680845422882214,0.2305567255878807,27163.25,27622.75,459.5,46.75,0.10174102285092491,outside_above,1380,735,0.532608695652174,0.0,touch,True,True,1326,1052,274,0,778.0,27793.14440245328,0.45298020120408994,True,
2026-04-30,2026-05-04,4,27830.0,0.7715036112934996,0.1830792512050218,0.1324182907105225,0.6845024580844556,upper,0.2597272894221423,0.4460662641920348,27536.25,27917.0,380.75,-70.0,-0.18384766907419567,prior_middle,1380,342,0.24782608695652175,173.0,touch,True,True,1162,1072,87,3,985.0,28069.537812857023,0.6291209792699219,True,
2026-05-04,2026-05-05,1,28130.0,0.7729257641921398,0.0988205881490206,0.2469567022498403,0.654222709601139,upper,0.20700979940495,0.6087069340932835,27731.75,28247.0,515.25,120.0,0.2328966521106259,outside_above,1380,0,0.0,,no_touch,False,False,0,0,0,0,,28512.396140840123,0.7421565081807333,True,
2026-05-05,2026-05-06,1,28573.75,0.5938061041292639,0.2478677918152848,0.5447562339097626,0.2073759742749525,middle,0.220419395701925,0.2983093772051076,28243.0,28800.0,557.0,89.0,0.15978456014362658,prior_upper,1380,63,0.04565217391304348,1158.0,touch,True,True,212,212,0,0,212.0,28733.03879718479,0.2859762965615594,True,
2026-05-06,2026-05-07,1,28670.0,0.3004455760661998,0.3536357871251151,0.4349150361287396,0.2114491767461452,middle,0.2213708826925446,0.3584375226624327,28552.0,28944.75,392.75,-88.0,-0.22406110757479314,prior_lower,1380,91,0.06594202898550725,12.0,touch,True,True,1358,1263,95,0,1168.0,29113.422149594528,1.1290188404698347,True,
2026-05-07,2026-05-11,4,29285.0,0.8796925805498078,0.0907035494918061,0.2906739846073082,0.6186224659008857,upper,0.2228531700442765,0.4115488777662592,28541.0,29386.75,845.75,114.0,0.13479160508424476,outside_above,1380,637,0.46159420289855074,143.0,touch,True,True,1163,220,941,2,-721.0,29070.292080669897,-0.2538668865859927,True,
2026-05-11,2026-05-12,1,29173.0,0.6038528896672505,0.3205568867810494,0.5109180241611502,0.1685250890578004,middle,0.2219951784401054,0.3863366491513734,28742.0,29455.75,713.75,-29.25,-0.04098073555166375,prior_middle,1380,409,0.29637681159420287,0.0,touch,True,True,1362,1178,181,3,997.0,29331.572483619395,0.22216810314451127,True,
2026-05-12,2026-05-13,1,29250.0,0.3813725490196078,0.2408489162638112,0.4078176873032229,0.3513333964329658,middle,0.2557108414867142,0.2616985825798582,29055.5,29565.5,510.0,287.0,0.5627450980392157,prior_upper,1380,0,0.0,,no_touch,False,False,0,0,0,0,,29649.774153372513,0.7838708889657117,True,
2026-05-13,2026-05-14,1,29690.0,0.7243445692883895,0.13785902519723,0.4005004530679768,0.4616405217347931,upper,0.2249179450213649,0.3513995228238189,29448.25,29782.0,333.75,0.0,0.0,prior_upper,1380,186,0.13478260869565217,0.0,touch,True,True,1379,126,1253,0,-1127.0,29312.496406383103,-1.131096909713549,True,
2026-05-14,2026-05-18,4,29300.0,0.326348467209934,0.5247104565728827,0.4056232505976209,0.0696662928294964,lower,0.1829648388315857,0.5069786696357185,29089.75,29734.0,644.25,-200.0,-0.3104384943733023,prior_lower,1380,0,0.0,,no_touch,False,False,0,0,0,0,,28919.231381883732,-0.5910261825630858,True,
2026-05-18,2026-05-19,1,28920.0,0.489058039961941,0.2648033677626248,0.4981316962894553,0.2370649359479198,middle,0.2239224637988662,0.3253879669342822,28663.0,29188.5,525.5,9.75,0.018553758325404377,prior_middle,1380,431,0.31231884057971016,0.0,touch,True,True,1379,1126,252,1,874.0,29183.517283374404,0.5014601015687985,True,
2026-05-19,2026-05-20,1,29321.5,0.8733860891295293,0.1201991405336764,0.3599700616427412,0.5198307978235823,upper,0.2317397773941807,0.3587725273523896,28797.25,29397.5,600.25,-68.5,-0.11411911703456892,prior_upper,1380,577,0.4181159420289855,0.0,touch,True,True,1138,651,486,1,165.0,29304.976052243022,-0.02752844274381937,True,
