prior_session,next_session,open,prior_poc,prior_range,prior_poc_location,poc_location_third,half_width,displacement,null_center,null_outside_prior_range,open_inside_both_bands,n_bars,vwap_proxy,poc_band_touch,null_band_touch,poc_point_touch,null_point_touch,minutes_to_poc_band,minutes_to_null_band,touch_order,abs_migration_poc,abs_migration_null,closer_center,imbalance_poc,imbalance_null
2026-03-25,2026-03-26,23824.0,24100.0,658.0,0.5117781155015197,middle,65.8,276.0,23548.0,True,False,1380,23537.295720171936,False,True,False,True,,788.0,null_sooner,0.8551736775502486,0.016267902474260777,null,,-352.0
2026-03-26,2026-03-30,23119.5,23500.0,743.5,0.3597848016139879,middle,74.35000000000001,380.5,22739.0,True,False,1380,23577.89449174496,True,False,True,False,849.0,,poc_sooner,0.10476730564217746,1.1283046291122514,poc,303.0,
2026-03-30,2026-03-31,23889.0,23909.0,1013.75,0.934648581997534,upper,101.375,20.0,23869.0,False,True,1380,24170.946737688602,True,True,True,False,0.0,0.0,tie,0.2583938226274745,0.2978512825534918,poc,1379.0,
2026-03-31,2026-04-01,24180.0,24150.0,468.25,0.5766150560597971,middle,46.825,-30.0,24210.0,False,True,1380,24017.702471996574,True,True,True,True,0.0,0.0,tie,0.2825360982454375,0.41067277736983687,poc,-833.0,-1098.0
2026-04-01,2026-04-06,24348.75,24150.0,600.75,0.8056595921764461,upper,60.075,-198.75,24547.5,True,False,1380,24192.713655208467,True,False,True,False,231.0,,poc_sooner,0.07110054966036898,0.5905723592035511,poc,223.0,
2026-04-06,2026-04-07,24514.0,24200.0,510.0,0.5068627450980392,middle,51.0,-314.0,24828.0,True,False,1380,25064.38645534176,False,True,False,True,,37.0,null_sooner,1.6948754026308996,0.46350285361129184,null,,1318.0
2026-04-07,2026-04-08,25037.75,25080.0,902.0,0.8037694013303769,upper,90.2,42.25,24995.5,False,True,1380,25113.00194990451,True,True,True,True,0.0,0.0,tie,0.03658752761031969,0.13026823714468777,poc,240.0,851.0
2026-04-08,2026-04-09,25237.0,25031.0,316.75,0.2462509865824783,lower,31.675,-206.0,25443.0,True,False,1380,25290.8574906663,False,False,False,False,,,tie,0.8203867108644092,0.48032362851996335,null,,
2026-04-09,2026-04-13,25575.25,25300.0,200.0,0.535,middle,20.0,-275.25,25850.5,True,False,1380,25820.813541499574,False,True,False,True,,1042.0,null_sooner,2.60406770749787,0.14843229250212972,null,,317.0
2026-04-13,2026-04-14,25985.75,25923.25,443.25,0.8195149464184998,upper,44.325,-62.5,26048.25,True,False,1380,26151.05653295813,True,True,False,True,464.0,6.0,null_sooner,0.5139459288395477,0.23193803261845355,null,,-99.0
