outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,agree,test1,All,2287,7,1399,888,0.4958460865763008,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5111831677646902,-0.01533708118838939,-5.274267599475295,-0.5
primary,agree,test2,All,2287,7,1399,888,0.4958460865763008,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5111831677646902,-0.01533708118838939,-5.274267599475295,-0.5
primary,disagree,test1,All,930,3,413,517,0.47956989247311826,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.49219568057651364,-0.012625788103395374,-5.329569892473118,-2.625
primary,disagree,test2,All,930,3,517,413,0.5172043010752688,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.504862277646493,0.012342023428775772,5.329569892473118,2.625
primary,all_test1,test1,All,3217,10,1812,1405,0.4911408144233758,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5056940900261125,-0.014553275602736726,-5.290254895865713,-0.75
primary,all_test1,test2,All,3217,10,1916,1301,0.5020205160087038,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5093558666114656,-0.007335350602761803,-2.208812558284116,0.25
primary,agree,test1,IS,1510,6,956,554,0.5033112582781457,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5168275327603212,-0.013516274482175517,-1.194867549668874,0.25
primary,agree,test2,IS,1510,6,956,554,0.5033112582781457,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5168275327603212,-0.013516274482175517,-1.194867549668874,0.25
primary,disagree,test1,IS,603,3,268,335,0.4593698175787728,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.4901497241922774,-0.030779906613504604,-2.550995024875622,-4.5
primary,disagree,test2,IS,603,3,335,268,0.5356550580431177,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.505860914105595,0.029794143937522777,2.550995024875622,4.5
primary,all_test1,test1,IS,2113,9,1224,889,0.4907714150496924,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5092143199981204,-0.018442904948427985,-1.5818741126360625,-0.5
primary,all_test1,test2,IS,2113,9,1291,822,0.5125414103170847,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.513697920337794,-0.0011565100207093781,-0.12588736393752958,1.5
primary,agree,test1,Validation,507,1,285,222,0.4812623274161736,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5023248813795617,-0.021062553963388075,-9.160749506903352,-7.5
primary,agree,test2,Validation,507,1,285,222,0.4812623274161736,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5023248813795617,-0.021062553963388075,-9.160749506903352,-7.5
primary,disagree,test1,Validation,219,0,99,120,0.5525114155251142,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.4970200436448992,0.05549137188021497,8.405251141552512,27.75
primary,disagree,test2,Validation,219,0,120,99,0.4474885844748858,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5016412682694247,-0.05415268379453886,-8.405251141552512,-27.75
primary,all_test1,test1,Validation,726,1,384,342,0.5027548209366391,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5007246617323288,0.0020301592043103778,-3.861914600550964,2.875
primary,all_test1,test2,Validation,726,1,405,321,0.47107438016528924,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5021186675074956,-0.031044287342206323,-8.932851239669422,-10.5
primary,agree,test1,OOS,270,0,158,112,0.48148148148148145,0.5378787878787878,0.4621212121212121,0.0,0.5064534231200898,-0.02497194163860833,-20.79074074074074,-8.625
primary,agree,test2,OOS,270,0,158,112,0.48148148148148145,0.5378787878787878,0.4621212121212121,0.0,0.5064534231200898,-0.02497194163860833,-20.79074074074074,-8.625
primary,disagree,test1,OOS,108,0,46,62,0.4444444444444444,0.5378787878787878,0.4621212121212121,0.0,0.494388327721661,-0.049943883277216605,-48.69444444444444,-39.375
primary,disagree,test2,OOS,108,0,62,46,0.5555555555555556,0.5378787878787878,0.4621212121212121,0.0,0.5056116722783389,0.04994388327721666,48.69444444444444,39.375
primary,all_test1,test1,OOS,378,0,204,174,0.4708994708994709,0.5378787878787878,0.4621212121212121,0.0,0.503006253006253,-0.03210678210678214,-28.763227513227513,-16.875
primary,all_test1,test2,OOS,378,0,220,158,0.5026455026455027,0.5378787878787878,0.4621212121212121,0.0,0.5062129228795895,-0.003567420234086849,-0.9378306878306878,4.75
primary,agree,test1,2010,17,0,13,4,0.5294117647058824,0.5862068965517241,0.41379310344827586,0.0,0.5456389452332656,-0.016227180527383256,3.75,3.5
primary,agree,test2,2010,17,0,13,4,0.5294117647058824,0.5862068965517241,0.41379310344827586,0.0,0.5456389452332656,-0.016227180527383256,3.75,3.5
primary,disagree,test1,2010,2,0,0,2,0.5,0.5862068965517241,0.41379310344827586,0.0,0.41379310344827586,0.08620689655172414,10.0,10.0
primary,disagree,test2,2010,2,0,2,0,0.5,0.5862068965517241,0.41379310344827586,0.0,0.5862068965517241,-0.08620689655172409,-10.0,-10.0
primary,all_test1,test1,2010,19,0,13,6,0.5263157894736842,0.5862068965517241,0.41379310344827586,0.0,0.5317604355716877,-0.005444646098003547,4.407894736842105,3.5
primary,all_test1,test2,2010,19,0,15,4,0.5263157894736842,0.5862068965517241,0.41379310344827586,0.0,0.5499092558983666,-0.023593466424682408,2.3026315789473686,2.25
primary,agree,test1,2011,41,0,21,20,0.4878048780487805,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.4936120789779327,-0.005807200929152212,-1.4024390243902438,-3.25
primary,agree,test2,2011,41,0,21,20,0.4878048780487805,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.4936120789779327,-0.005807200929152212,-1.4024390243902438,-3.25
primary,disagree,test1,2011,11,1,7,4,0.45454545454545453,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.5093795093795094,-0.054834054834054846,0.3181818181818182,0.0
primary,disagree,test2,2011,11,1,4,7,0.45454545454545453,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.47474747474747475,-0.02020202020202022,-0.3181818181818182,0.0
