outcome,block,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,agree,test1,All,2287,6,1399,888,0.4980323567993004,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5127263567964702,-0.014693999997169749,-4.261040664626147,0.0
secondary,agree,test2,All,2287,6,1399,888,0.4980323567993004,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5127263567964702,-0.014693999997169749,-4.261040664626147,0.0
secondary,disagree,test1,All,930,1,413,517,0.47956989247311826,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.49186477996374645,-0.012294887490628181,-4.794354838709677,-4.0
secondary,disagree,test2,All,930,1,517,413,0.5193548387096775,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5057815866146589,0.013573252095018584,4.794354838709677,4.0
secondary,all_test1,test1,All,3217,7,1812,1405,0.4926950575069941,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5066954999564227,-0.014000442449428607,-4.415216039788623,-1.0
secondary,all_test1,test2,All,3217,7,1916,1301,0.5041964563257694,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5107186986463041,-0.006522242320534777,-1.6432235001554243,0.75
secondary,agree,test1,IS,1510,6,956,554,0.5039735099337749,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5185242590766052,-0.014550749142830277,-0.6243377483443708,0.625
secondary,agree,test2,IS,1510,6,956,554,0.5039735099337749,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5185242590766052,-0.014550749142830277,-0.6243377483443708,0.625
secondary,disagree,test1,IS,603,1,268,335,0.4560530679933665,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.48975571315996846,-0.033702645166601986,-4.04726368159204,-5.75
secondary,disagree,test2,IS,603,1,335,268,0.5422885572139303,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5066981875492513,0.03559036966467899,4.04726368159204,5.75
secondary,all_test1,test1,IS,2113,7,1224,889,0.49029815428300993,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5103143995462067,-0.020016245263196786,-1.601159488878372,-0.75
secondary,all_test1,test2,IS,2113,7,1291,822,0.514907714150497,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5151493792228454,-0.00024166507234846257,0.7088263132986276,1.75
secondary,agree,test1,Validation,507,0,285,222,0.48520710059171596,0.5301204819277109,0.46987951807228917,0.0,0.5037427817779996,-0.018535681186283626,-8.407297830374754,-5.5
secondary,agree,test2,Validation,507,0,285,222,0.48520710059171596,0.5301204819277109,0.46987951807228917,0.0,0.5037427817779996,-0.018535681186283626,-8.407297830374754,-5.5
secondary,disagree,test1,Validation,219,0,99,120,0.5570776255707762,0.5301204819277109,0.46987951807228917,0.0,0.4971117346096716,0.059965890961104606,10.832191780821917,30.5
secondary,disagree,test2,Validation,219,0,120,99,0.4429223744292237,0.5301204819277109,0.46987951807228917,0.0,0.5028882653903285,-0.05996589096110477,-10.832191780821917,-30.5
secondary,all_test1,test1,Validation,726,0,384,342,0.5068870523415978,0.5301204819277109,0.46987951807228917,0.0,0.5017425072189585,0.005144545122639288,-2.603650137741047,3.25
secondary,all_test1,test2,Validation,726,0,405,321,0.4724517906336088,0.5301204819277109,0.46987951807228917,0.0,0.5034850144379169,-0.03103322380430812,-9.138774104683195,-10.375
secondary,agree,test1,OOS,270,0,158,112,0.4888888888888889,0.5429292929292929,0.45707070707070707,0.0,0.5073138795361017,-0.01842499064721287,-16.81388888888889,-8.25
secondary,agree,test2,OOS,270,0,158,112,0.4888888888888889,0.5429292929292929,0.45707070707070707,0.0,0.5073138795361017,-0.01842499064721287,-16.81388888888889,-8.25
secondary,disagree,test1,OOS,108,0,46,62,0.4537037037037037,0.5429292929292929,0.45707070707070707,0.0,0.49364010475121584,-0.039936401047512116,-40.65277777777778,-26.5
secondary,disagree,test2,OOS,108,0,62,46,0.5462962962962963,0.5429292929292929,0.45707070707070707,0.0,0.5063598952487841,0.03993640104751217,40.65277777777778,26.5
secondary,all_test1,test1,OOS,378,0,204,174,0.47883597883597884,0.5429292929292929,0.45707070707070707,0.0,0.50340708674042,-0.02457110790444117,-23.625,-12.0
