signal_date,target_date,year,split,qualifying,test1_sign,test2_state,test2_sign,always_long_sign,primary_sign,secondary_sign,body,close_to_close
2010-06-07,2010-06-14,2010,IS,,,NONE,,1,-1,1,-3.0,50.25
2010-06-14,2010-06-21,2010,IS,,,NONE,,1,-1,1,-24.0,53.75
2010-06-21,2010-06-28,2010,IS,,,NONE,,1,-1,-1,-3.25,-63.25
2010-06-28,2010-07-06,2010,IS,bear,-1.0,DOWN,-1.0,1,1,-1,14.75,-101.25
2010-07-06,2010-07-12,2010,IS,,,DOWN,-1.0,1,1,1,10.25,85.75
2010-07-12,2010-07-19,2010,IS,bull,1.0,UP,1.0,1,1,-1,5.75,-14.0
2010-07-19,2010-07-26,2010,IS,,,UP,1.0,1,1,1,13.25,81.25
2010-07-26,2010-08-02,2010,IS,bull,1.0,UP,1.0,1,1,1,25.0,6.25
2010-08-02,2010-08-09,2010,IS,bull,1.0,UP,1.0,1,1,1,11.0,20.25
2010-08-09,2010-08-16,2010,IS,bull,1.0,UP,1.0,1,1,-1,3.75,-92.5
2010-08-16,2010-08-23,2010,IS,,,UP,1.0,1,-1,-1,-15.0,-11.75
2010-08-23,2010-08-30,2010,IS,bear,-1.0,UP,1.0,1,-1,-1,-22.25,-41.25
2010-08-30,2010-09-07,2010,IS,bear,-1.0,DOWN,-1.0,1,-1,1,-11.25,89.5
2010-09-07,2010-09-13,2010,IS,,,DOWN,-1.0,1,1,1,19.75,57.5
2010-09-13,2010-09-20,2010,IS,bull,1.0,UP,1.0,1,1,1,32.0,67.0
2010-09-20,2010-09-27,2010,IS,bull,1.0,UP,1.0,1,-1,1,-10.75,25.5
2010-09-27,2010-10-04,2010,IS,,,UP,1.0,1,-1,-1,-19.75,-30.0
2010-10-04,2010-10-11,2010,IS,bear,-1.0,DOWN,-1.0,1,1,1,2.25,47.25
2010-10-11,2010-10-18,2010,IS,bull,1.0,UP,1.0,1,-1,1,-0.75,69.0
2010-10-18,2010-10-25,2010,IS,,,UP,1.0,1,1,1,6.0,15.75
2010-10-25,2010-11-01,2010,IS,bull,1.0,UP,1.0,1,1,1,4.0,19.0
2010-11-01,2010-11-08,2010,IS,bull,1.0,UP,1.0,1,1,1,3.5,55.0
2010-11-08,2010-11-15,2010,IS,bull,1.0,UP,1.0,1,-1,-1,-6.75,-56.75
2010-11-15,2010-11-22,2010,IS,bear,-1.0,DOWN,-1.0,1,1,1,14.5,26.25
2010-11-22,2010-11-29,2010,IS,bull,1.0,UP,1.0,1,-1,-1,-5.25,-8.75
2010-11-29,2010-12-06,2010,IS,bear,-1.0,UP,1.0,1,1,1,2.25,45.5
2010-12-06,2010-12-13,2010,IS,bull,1.0,UP,1.0,1,-1,1,-7.75,19.0
2010-12-13,2010-12-20,2010,IS,,,UP,1.0,1,1,1,4.0,10.75
2010-12-20,2011-01-03,2010,IS,bull,1.0,UP,1.0,1,1,1,30.25,30.25
