outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
primary,test1_bull,All,1812,6,1812,0,0.5424944812362031,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5551632833186231,-0.012668802082419939,3.3315397350993377,5.375
primary,test1_bear,All,1405,4,0,1405,0.42491103202846975,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.44189467490438367,-0.016983642875913918,-16.409608540925266,-10.75
primary,test1_pooled,All,3217,10,1812,1405,0.4911408144233758,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5056940900261125,-0.014553275602736726,-5.290254895865713,-0.75
primary,test2_up,All,2023,7,2023,0,0.5477014335145823,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5551632833186231,-0.007461849804040743,5.114681166584281,5.5
primary,test2_down,All,1373,3,0,1373,0.4304442825928623,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.44189467490438367,-0.01145039231152134,-12.94938091769847,-10.25
primary,test2_pooled,All,3396,10,2023,1373,0.5002944640753828,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.509368878326647,-0.009074414251264207,-2.1886042402826855,0.25
primary,always_long,All,3399,10,3399,0,0.5551632833186231,0.5551632833186231,0.44189467490438367,0.0029420417769932335,0.5551632833186231,0.0,8.266034127684613,7.25
primary,test1_bull,IS,1224,5,1224,0,0.5522875816993464,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5687056737588653,-0.01641809205951883,4.625204248366013,5.0
primary,test1_bear,IS,889,4,0,889,0.40607424071991,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.42730496453900707,-0.021230723819097075,-10.127952755905511,-9.25
primary,test1_pooled,IS,2113,9,1224,889,0.4907714150496924,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5092143199981204,-0.018442904948427985,-1.5818741126360625,-0.5
primary,test2_up,IS,1378,6,1378,0,0.5660377358490566,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5687056737588653,-0.002667937909808682,5.521407837445573,5.75
primary,test2_down,IS,875,3,0,875,0.4217142857142857,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.42730496453900707,-0.005590678824721362,-8.664285714285715,-8.25
primary,test2_pooled,IS,2253,9,1378,875,0.5099866844207723,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5137897303201721,-0.0038030458993997263,0.012094984465157568,1.25
primary,always_long,IS,2256,9,2256,0,0.5687056737588653,0.5687056737588653,0.42730496453900707,0.003989361702127659,0.5687056737588653,0.0,6.719636524822695,6.25
primary,test1_bull,Validation,384,1,384,0,0.5260416666666666,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5234270414993306,0.0026146251673360155,2.7213541666666665,7.5
primary,test1_bear,Validation,342,0,0,342,0.4766081871345029,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.47523427041499333,0.0013739167195095936,-11.253654970760234,-10.875
primary,test1_pooled,Validation,726,1,384,342,0.5027548209366391,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5007246617323288,0.0020301592043103778,-3.861914600550964,2.875
primary,test2_up,Validation,414,1,414,0,0.49516908212560384,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5234270414993306,-0.02825795937372677,-2.6105072463768115,-0.25
primary,test2_down,Validation,333,0,0,333,0.44144144144144143,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.47523427041499333,-0.0337928289735519,-16.56156156156156,-25.5
primary,test2_pooled,Validation,747,1,414,333,0.47121820615796517,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5019435170400477,-0.030725310882082524,-8.829651941097724,-10.5
primary,always_long,Validation,747,1,747,0,0.5234270414993306,0.5234270414993306,0.47523427041499333,0.0013386880856760374,0.5234270414993306,0.0,5.936077643908969,10.0
primary,test1_bull,OOS,204,0,204,0,0.5147058823529411,0.5378787878787878,0.4621212121212121,0.0,0.5378787878787878,-0.02317290552584672,-3.281862745098039,16.0
primary,test1_bear,OOS,174,0,0,174,0.41954022988505746,0.5378787878787878,0.4621212121212121,0.0,0.4621212121212121,-0.04258098223615464,-58.63793103448276,-66.5
primary,test1_pooled,OOS,378,0,204,174,0.4708994708994709,0.5378787878787878,0.4621212121212121,0.0,0.503006253006253,-0.03210678210678214,-28.763227513227513,-16.875
primary,test2_up,OOS,231,0,231,0,0.5324675324675324,0.5378787878787878,0.4621212121212121,0.0,0.5378787878787878,-0.005411255411255422,16.533549783549784,34.75
primary,test2_down,OOS,165,0,0,165,0.45454545454545453,0.5378787878787878,0.4621212121212121,0.0,0.4621212121212121,-0.007575757575757569,-28.383333333333333,-29.25
primary,test2_pooled,OOS,396,0,231,165,0.5,0.5378787878787878,0.4621212121212121,0.0,0.5063131313131313,-0.0063131313131312705,-2.1818181818181817,1.875
primary,always_long,OOS,396,0,396,0,0.5378787878787878,0.5378787878787878,0.4621212121212121,0.0,0.5378787878787878,0.0,21.470959595959595,34.5
primary,test1_bull,2010,13,0,13,0,0.6153846153846154,0.5862068965517241,0.41379310344827586,0.0,0.5862068965517241,0.02917771883289133,6.461538461538462,3.75
primary,test1_bear,2010,6,0,0,6,0.3333333333333333,0.5862068965517241,0.41379310344827586,0.0,0.41379310344827586,-0.08045977011494254,-0.041666666666666664,-2.25
primary,test1_pooled,2010,19,0,13,6,0.5263157894736842,0.5862068965517241,0.41379310344827586,0.0,0.5317604355716877,-0.005444646098003547,4.407894736842105,3.5
primary,test2_up,2010,20,0,20,0,0.6,0.5862068965517241,0.41379310344827586,0.0,0.5862068965517241,0.01379310344827589,2.625,3.625
primary,test2_down,2010,6,0,0,6,0.16666666666666666,0.5862068965517241,0.41379310344827586,0.0,0.41379310344827586,-0.2471264367816092,-8.375,-12.375
primary,test2_pooled,2010,26,0,20,6,0.5,0.5862068965517241,0.41379310344827586,0.0,0.5464190981432361,-0.04641909814323608,0.08653846153846154,0.75
primary,always_long,2010,29,0,29,0,0.5862068965517241,0.5862068965517241,0.41379310344827586,0.0,0.5862068965517241,0.0,2.5,3.5
primary,test1_bull,2011,28,1,28,0,0.5,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.5555555555555556,-0.05555555555555558,-3.107142857142857,1.125
primary,test1_bear,2011,24,0,0,24,0.4583333333333333,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.42857142857142855,0.029761904761904767,1.375,-3.25
primary,test1_pooled,2011,52,1,28,24,0.4807692307692308,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.49694749694749696,-0.016178266178266176,-1.0384615384615385,-1.625
primary,test2_up,2011,33,0,33,0,0.5454545454545454,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.5555555555555556,-0.010101010101010166,0.19696969696969696,3.25
primary,test2_down,2011,30,1,0,30,0.4,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.42857142857142855,-0.028571428571428525,-0.825,-2.75
primary,test2_pooled,2011,63,1,33,30,0.47619047619047616,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.4950869236583522,-0.018896447467876054,-0.2896825396825397,-2.0
primary,always_long,2011,63,1,63,0,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.015873015873015872,0.5555555555555556,0.0,0.49603174603174605,3.25
primary,test1_bull,2012,45,1,45,0,0.5777777777777777,0.56,0.43,0.01,0.56,0.01777777777777767,-0.4666666666666667,4.5
primary,test1_bear,2012,33,0,0,33,0.45454545454545453,0.56,0.43,0.01,0.43,0.024545454545454537,-3.7954545454545454,-2.5
primary,test1_pooled,2012,78,1,45,33,0.5256410256410257,0.56,0.43,0.01,0.505,0.020641025641025657,-1.875,1.375
primary,test2_up,2012,57,1,57,0,0.5087719298245614,0.56,0.43,0.01,0.56,-0.05122807017543862,-3.3333333333333335,0.25
primary,test2_down,2012,43,0,0,43,0.37209302325581395,0.56,0.43,0.01,0.42999999999999994,-0.05790697674418599,-7.116279069767442,-8.5
primary,test2_pooled,2012,100,1,57,43,0.45,0.56,0.43,0.01,0.5041,-0.05409999999999998,-4.96,-0.875
primary,always_long,2012,100,1,100,0,0.56,0.56,0.43,0.01,0.56,0.0,1.16,2.875
primary,test1_bull,2013,96,1,96,0,0.5416666666666666,0.576271186440678,0.4180790960451977,0.005649717514124294,0.576271186440678,-0.034604519774011355,2.8229166666666665,1.125
primary,test1_bear,2013,60,0,0,60,0.45,0.576271186440678,0.4180790960451977,0.005649717514124294,0.4180790960451977,0.03192090395480229,0.14583333333333334,-5.5
primary,test1_pooled,2013,156,1,96,60,0.5064102564102564,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5154280747501085,-0.009017818339852157,1.7932692307692308,0.25
primary,test2_up,2013,97,1,97,0,0.5360824742268041,0.576271186440678,0.4180790960451977,0.005649717514124294,0.576271186440678,-0.04018871221387388,1.961340206185567,2.75
primary,test2_down,2013,80,0,0,80,0.375,0.576271186440678,0.4180790960451977,0.005649717514124294,0.4180790960451978,-0.04307909604519777,-3.884375,-5.875
primary,test2_pooled,2013,177,1,97,80,0.4632768361581921,0.576271186440678,0.4180790960451977,0.005649717514124294,0.5047719365444157,-0.04149510038622356,-0.6807909604519774,-0.5
primary,always_long,2013,177,1,177,0,0.576271186440678,0.576271186440678,0.4180790960451977,0.005649717514124294,0.576271186440678,0.0,2.830508474576271,4.25
primary,test1_bull,2014,98,0,98,0,0.5714285714285714,0.569060773480663,0.430939226519337,0.0,0.569060773480663,0.0023677979479084232,3.670918367346939,6.0
primary,test1_bear,2014,65,0,0,65,0.4307692307692308,0.569060773480663,0.430939226519337,0.0,0.430939226519337,-0.00016999575010623325,-0.36923076923076925,-6.75
primary,test1_pooled,2014,163,0,98,65,0.5153374233128835,0.569060773480663,0.430939226519337,0.0,0.5139816289868827,0.0013557943260007477,2.0598159509202456,3.25
primary,test2_up,2014,108,0,108,0,0.5555555555555556,0.569060773480663,0.430939226519337,0.0,0.569060773480663,-0.013505217925107393,1.4189814814814814,4.0
primary,test2_down,2014,73,0,0,73,0.410958904109589,0.569060773480663,0.430939226519337,0.0,0.430939226519337,-0.019980322409748008,-3.6267123287671232,-7.75
primary,test2_pooled,2014,181,0,108,73,0.4972375690607735,0.569060773480663,0.430939226519337,0.0,0.5133542932144929,-0.016116724153719397,-0.6160220994475138,-1.0
primary,always_long,2014,181,0,181,0,0.569060773480663,0.569060773480663,0.430939226519337,0.0,0.569060773480663,0.0,2.3093922651933703,6.0
primary,test1_bull,2015,101,0,101,0,0.5445544554455446,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5141509433962265,0.030403512049318127,5.349009900990099,2.5
primary,test1_bear,2015,92,1,0,92,0.5108695652173914,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.48113207547169806,0.02973748974569329,4.869565217391305,3.875
primary,test1_pooled,2015,193,1,101,92,0.5284974093264249,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.49841137941147723,0.030086029914947632,5.120466321243524,2.5
primary,test2_up,2015,122,0,122,0,0.5245901639344263,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5141509433962265,0.01043922053819979,5.096311475409836,2.75
primary,test2_down,2015,90,1,0,90,0.4888888888888889,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.4811320754716982,0.0077568134171907,2.9833333333333334,-0.625
primary,test2_pooled,2015,212,1,122,90,0.5094339622641509,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5001334994660022,0.009300462798148779,4.199292452830188,1.125
primary,always_long,2015,212,1,212,0,0.5141509433962265,0.5141509433962265,0.4811320754716981,0.0047169811320754715,0.5141509433962265,0.0,1.6662735849056605,2.25
primary,test1_bull,2016,127,1,127,0,0.47244094488188976,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5219123505976095,-0.049471405715719785,-3.576771653543307,-1.0
primary,test1_bear,2016,114,0,0,114,0.4298245614035088,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.47410358565737054,-0.044279024253861765,-6.166666666666667,-5.25
primary,test1_pooled,2016,241,1,127,114,0.45228215767634855,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.4992974161445505,-0.047015258468201926,-4.801867219917012,-2.75
primary,test2_up,2016,146,1,146,0,0.5547945205479452,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5219123505976095,0.03288216995033566,3.190068493150685,4.75
primary,test2_down,2016,105,0,0,105,0.5238095238095238,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.47410358565737054,0.049705938152153295,0.4119047619047619,0.5
primary,test2_pooled,2016,251,1,146,105,0.5418326693227091,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.501912668052888,0.03992000126982109,2.0278884462151394,1.75
primary,always_long,2016,251,1,251,0,0.5219123505976095,0.5219123505976095,0.47410358565737054,0.00398406374501992,0.5219123505976095,0.0,1.6832669322709164,1.75
primary,test1_bull,2017,156,0,156,0,0.6025641025641025,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,-0.03197405004633924,4.256410256410256,5.625
primary,test1_bear,2017,89,0,0,89,0.29213483146067415,0.6345381526104418,0.3654618473895582,0.0,0.3654618473895582,-0.07332701592888408,-13.120786516853933,-11.75
primary,test1_pooled,2017,245,0,156,89,0.4897959183673469,0.6345381526104418,0.3654618473895582,0.0,0.53679206622408,-0.04699614785673312,-2.056122448979592,-1.0
primary,test2_up,2017,178,0,178,0,0.6235955056179775,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,-0.010942646992464278,5.433988764044944,5.875
primary,test2_down,2017,71,0,0,71,0.3380281690140845,0.6345381526104418,0.3654618473895582,0.0,0.3654618473895582,-0.027433678375473725,-11.316901408450704,-12.5
primary,test2_pooled,2017,249,0,178,71,0.5421686746987951,0.6345381526104418,0.3654618473895582,0.0,0.5578135836518766,-0.01564490895308146,0.6576305220883534,3.25
primary,always_long,2017,249,0,249,0,0.6345381526104418,0.6345381526104418,0.3654618473895582,0.0,0.6345381526104418,0.0,7.11144578313253,9.0
primary,test1_bull,2018,131,1,131,0,0.5190839694656488,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5344129554655871,-0.01532898599993826,2.8740458015267176,4.75
primary,test1_bear,2018,111,0,0,111,0.44144144144144143,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.46153846153846156,-0.020097020097020135,0.6959459459459459,-8.75
primary,test1_pooled,2018,242,1,131,111,0.4834710743801653,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5009870512262857,-0.01751597684612044,1.875,-1.75
primary,test2_up,2018,135,1,135,0,0.5703703703703704,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5344129554655871,0.035957414904783325,9.401851851851852,10.25
primary,test2_down,2018,112,0,0,112,0.5089285714285714,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.46153846153846156,0.04739010989010983,10.167410714285714,1.375
primary,test2_pooled,2018,247,1,135,112,0.5425101214574899,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5013686505269714,0.04114147093051845,9.748987854251013,6.0
primary,always_long,2018,247,1,247,0,0.5344129554655871,0.5344129554655871,0.46153846153846156,0.004048582995951417,0.5344129554655871,0.0,0.52834008097166,6.0
primary,test1_bull,2019,144,0,144,0,0.5694444444444444,0.606425702811245,0.3895582329317269,0.004016064257028112,0.606425702811245,-0.03698125836680055,11.84548611111111,14.75
primary,test1_bear,2019,93,1,0,93,0.3333333333333333,0.606425702811245,0.3895582329317269,0.004016064257028112,0.389558232931727,-0.05622489959839366,-13.975806451612904,-20.25
primary,test1_pooled,2019,237,1,144,93,0.4767932489451477,0.606425702811245,0.3895582329317269,0.004016064257028112,0.5213258095673835,-0.04453256062223582,1.7130801687763713,-2.25
primary,test2_up,2019,162,1,162,0,0.5740740740740741,0.606425702811245,0.3895582329317269,0.004016064257028112,0.606425702811245,-0.0323516287371709,8.447530864197532,12.75
primary,test2_down,2019,87,0,0,87,0.3333333333333333,0.606425702811245,0.3895582329317269,0.004016064257028112,0.3895582329317269,-0.05622489959839361,-19.347701149425287,-29.0
primary,test2_pooled,2019,249,1,162,87,0.4899598393574297,0.606425702811245,0.3895582329317269,0.004016064257028112,0.530652731407558,-0.04069289205012827,-1.2640562248995983,-0.5
