outcome,model,slice,n,n_flat,n_up_forecasts,n_down_forecasts,hit_rate,p_up,p_down,p_flat,matched_base_rate,lift,mean_signed_body,median_signed_body
secondary,test1_bull,All,1812,5,1812,0,0.5480132450331126,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5610473668726096,-0.013034121839497037,4.056705298013245,5.875
secondary,test1_bear,All,1405,2,0,1405,0.4213523131672598,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.4365989997057958,-0.015246686538536003,-15.341281138790036,-11.75
secondary,test1_pooled,All,3217,7,1812,1405,0.4926950575069941,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5066954999564227,-0.014000442449428607,-4.415216039788623,-1.0
secondary,test2_up,All,2023,7,2023,0,0.5536332179930796,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5610473668726096,-0.007414148879529958,5.437469105289175,6.5
secondary,test2_down,All,1373,1,0,1373,0.42753095411507647,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.43659899970579574,-0.009068045590719276,-12.384377276037874,-11.0
secondary,test2_pooled,All,3396,8,2023,1373,0.5026501766784452,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5107329946346721,-0.008082817956226895,-1.7678886925795052,0.5
secondary,always_long,All,3399,8,3399,0,0.5610473668726096,0.5610473668726096,0.4365989997057958,0.0023536334215945864,0.5610473668726096,0.0,8.250809061488674,8.75
secondary,test1_bull,IS,1224,5,1224,0,0.5555555555555556,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.574468085106383,-0.01891252955082745,4.295955882352941,5.25
secondary,test1_bear,IS,889,2,0,889,0.40044994375703036,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.4219858156028369,-0.02153587184580652,-9.720472440944881,-10.75
secondary,test1_pooled,IS,2113,7,1224,889,0.49029815428300993,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.5103143995462067,-0.020016245263196786,-1.601159488878372,-0.75
secondary,test2_up,IS,1378,7,1378,0,0.5718432510885341,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.574468085106383,-0.002624834017848965,5.911103047895501,6.25
secondary,test2_down,IS,875,1,0,875,0.4205714285714286,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.4219858156028369,-0.0014143870314082818,-7.445142857142857,-9.5
secondary,test2_pooled,IS,2253,8,1378,875,0.5130936529072347,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.515248384344908,-0.0021547314376733073,0.7239236573457613,1.75
secondary,always_long,IS,2256,8,2256,0,0.574468085106383,0.574468085106383,0.4219858156028369,0.0035460992907801418,0.574468085106383,0.0,6.516289893617022,7.75
secondary,test1_bull,Validation,384,0,384,0,0.5364583333333334,0.5301204819277109,0.46987951807228917,0.0,0.5301204819277109,0.0063378514056224855,4.23046875,18.0
secondary,test1_bear,Validation,342,0,0,342,0.47368421052631576,0.5301204819277109,0.46987951807228917,0.0,0.46987951807228917,0.0038046924540265925,-10.277046783625732,-12.25
secondary,test1_pooled,Validation,726,0,384,342,0.5068870523415978,0.5301204819277109,0.46987951807228917,0.0,0.5017425072189585,0.005144545122639288,-2.603650137741047,3.25
secondary,test2_up,Validation,414,0,414,0,0.5024154589371981,0.5301204819277109,0.46987951807228917,0.0,0.5301204819277109,-0.027705022990512806,-2.51268115942029,1.375
secondary,test2_down,Validation,333,0,0,333,0.43543543543543545,0.5301204819277109,0.46987951807228917,0.0,0.4698795180722892,-0.03444408263685378,-17.1981981981982,-38.0
secondary,test2_pooled,Validation,747,0,414,333,0.4725568942436412,0.5301204819277109,0.46987951807228917,0.0,0.5032660763536072,-0.030709182109965982,-9.059236947791165,-10.5
secondary,always_long,Validation,747,0,747,0,0.5301204819277109,0.5301204819277109,0.46987951807228917,0.0,0.5301204819277109,0.0,6.274096385542169,14.0
secondary,test1_bull,OOS,204,0,204,0,0.5245098039215687,0.5429292929292929,0.45707070707070707,0.0,0.5429292929292929,-0.018419489007724277,2.2941176470588234,17.25
secondary,test1_bear,OOS,174,0,0,174,0.42528735632183906,0.5429292929292929,0.45707070707070707,0.0,0.45707070707070707,-0.03178335074886801,-54.01293103448276,-62.125
secondary,test1_pooled,OOS,378,0,204,174,0.47883597883597884,0.5429292929292929,0.45707070707070707,0.0,0.50340708674042,-0.02457110790444117,-23.625,-12.0
secondary,test2_up,OOS,231,0,231,0,0.5367965367965368,0.5429292929292929,0.45707070707070707,0.0,0.5429292929292929,-0.006132756132756101,16.86038961038961,32.25
