sample,side,bucket,n,n_bull_observations,n_bear_observations,observed,matched_base,lift_pp,small_sample
All,bull,1,863,863,0,0.526071842410197,0.555,-2.892815758980305,False
All,bull,2,454,454,0,0.5506607929515418,0.555,-0.4339207048458249,False
All,bull,3,250,250,0,0.548,0.555,-0.7000000000000006,False
All,bull,4,137,137,0,0.6277372262773723,0.555,7.2737226277372224,False
All,bull,5,86,86,0,0.45348837209302323,0.555,-10.151162790697683,False
All,bull,6,39,39,0,0.6923076923076923,0.555,13.730769230769225,False
All,bull,>=7,57,57,0,0.5263157894736842,0.555,-2.8684210526315868,False
All,bear,1,862,0,862,0.425754060324826,0.4420588235294118,-1.6304763204585793,False
All,bear,2,367,0,367,0.43869209809264303,0.4420588235294118,-0.3366725436768747,False
All,bear,3,161,0,161,0.4161490683229814,0.4420588235294118,-2.590975520643041,False
All,bear,4,67,0,67,0.4626865671641791,0.4420588235294118,2.0627743634767324,False
All,bear,5,31,0,31,0.3870967741935484,0.4420588235294118,-5.49620493358634,False
All,bear,6,12,0,12,0.25,0.4420588235294118,-19.205882352941178,True
All,bear,>=7,3,0,3,0.0,0.4420588235294118,-44.20588235294118,True
All,pooled,1,1725,863,862,0.47594202898550725,0.498562148337596,-2.262011935208874,False
All,pooled,2,821,454,367,0.5006090133982948,0.5045135057677151,-0.3904492369420365,False
All,pooled,3,411,250,161,0.49635036496350365,0.5107578359811078,-1.4407471017604145,False
All,pooled,4,204,137,67,0.5735294117647058,0.5179065743944637,5.5622837370242095,False
All,pooled,5,117,86,31,0.4358974358974359,0.5250754147812972,-8.917797888386126,False
All,pooled,6,51,39,12,0.5882352941176471,0.5284256055363322,5.980968858131486,False
All,pooled,>=7,60,57,3,0.5,0.5493529411764706,-4.93529411764706,False
IS,bull,1,574,574,0,0.5226480836236934,0.5682624113475178,-4.561432772382434,False
IS,bull,2,300,300,0,0.59,0.5682624113475178,2.173758865248221,False
IS,bull,3,177,177,0,0.5706214689265536,0.5682624113475178,0.23590575790358725,False
IS,bull,4,101,101,0,0.6534653465346535,0.5682624113475178,8.520293518713572,False
IS,bull,5,66,66,0,0.4090909090909091,0.5682624113475178,-15.917150225660864,False
IS,bull,6,27,27,0,0.7037037037037037,0.5682624113475178,13.544129235618596,True
IS,bull,>=7,37,37,0,0.4864864864864865,0.5682624113475178,-8.177592486103125,False
IS,bear,1,573,0,573,0.4048865619546248,0.42774822695035464,-2.2861664995729836,False
IS,bear,2,232,0,232,0.41379310344827586,0.42774822695035464,-1.3955123502078781,False
IS,bear,3,96,0,96,0.3958333333333333,0.42774822695035464,-3.191489361702132,False
IS,bear,4,37,0,37,0.43243243243243246,0.42774822695035464,0.4684205482077819,False
IS,bear,5,16,0,16,0.5,0.42774822695035464,7.225177304964536,True
IS,bear,6,8,0,8,0.25,0.42774822695035464,-17.774822695035464,True
IS,bear,>=7,2,0,2,0.0,0.42774822695035464,-42.77482269503546,True
IS,pooled,1,1147,574,573,0.4638186573670445,0.4980665720627972,-3.4247914695752724,False
IS,pooled,2,532,300,232,0.5131578947368421,0.5069855489788301,0.6172345758012066,False
IS,pooled,3,273,177,96,0.5091575091575091,0.5188508300210427,-0.9693320863533583,False
