sample,statistic,observed,null_mean,null_p50,null_p95,percentile_rank,p_ge,n_perm,n_null_ge_observed
All,max_bull,14,12.9054,13.0,17.0,80.27,0.3244,10000,3244
All,max_bear,7,9.4291,9.0,12.0,6.08,0.9984,10000,9984
All,bull_ge_3,250,258.6226,259.0,273.0,17.04,0.8614,10000,8614
All,bear_ge_3,161,163.7647,164.0,176.0,38.34,0.6649,10000,6649
All,bull_ge_4,137,143.4612,143.0,155.0,20.14,0.8328,10000,8328
All,bear_ge_4,67,72.3504,72.0,83.0,22.1,0.8203,10000,8203
All,bull_ge_5,86,79.5595,80.0,90.0,87.35000000000001,0.1647,10000,1647
All,bear_ge_5,31,31.8936,32.0,40.0,47.54,0.6106,10000,6106
All,pooled_ge_3,411,422.3873,422.0,443.0,19.61,0.8233,10000,8233
All,pooled_ge_4,204,215.8116,216.0,234.0,14.360000000000001,0.8771,10000,8771
All,pooled_ge_5,117,111.4531,111.0,126.0,76.32,0.2762,10000,2762
IS,max_bull,10,12.664,12.0,17.0,14.37,0.9708,10000,9708
IS,max_bear,7,8.6117,8.0,11.0,23.669999999999998,0.9657,10000,9657
IS,bull_ge_3,177,178.8314,179.0,191.0,42.65,0.6286,10000,6286
IS,bear_ge_3,96,100.9576,101.0,111.0,23.49,0.8147,10000,8147
IS,bull_ge_4,101,101.4909,101.0,111.0,50.55,0.5636,10000,5636
IS,bear_ge_4,38,43.0852,43.0,51.0,17.61,0.8726,10000,8726
IS,bull_ge_5,66,57.5491,58.0,66.0,96.38,0.0554,10000,554
IS,bear_ge_5,16,18.4514,18.0,25.0,30.220000000000002,0.7885,10000,7885
IS,pooled_ge_3,273,279.789,280.0,296.0,26.6,0.7665,10000,7665
IS,pooled_ge_4,139,144.5761,144.0,159.0,27.639999999999997,0.7606,10000,7606
IS,pooled_ge_5,82,76.0005,76.0,87.0,82.57,0.2113,10000,2113
Validation,max_bull,8,9.4897,9.0,13.0,33.86,0.8833,10000,8833
Validation,max_bear,6,8.2706,8.0,11.0,10.76,0.9933,10000,9933
Validation,bull_ge_3,51,51.2675,51.0,58.0,52.76,0.5751,10000,5751
Validation,bear_ge_3,47,41.7303,42.0,48.0,94.14,0.0994,10000,994
Validation,bull_ge_4,25,26.8619,27.0,32.0,33.650000000000006,0.766,10000,7660
Validation,bear_ge_4,22,19.7253,20.0,25.0,81.86,0.2792,10000,2792
Validation,bull_ge_5,13,14.0152,14.0,19.0,43.309999999999995,0.7016,10000,7016
Validation,bear_ge_5,8,9.3131,9.0,13.0,37.330000000000005,0.7725,10000,7725
Validation,pooled_ge_3,98,92.9978,93.0,103.0,82.55,0.222,10000,2220
Validation,pooled_ge_4,47,46.5872,47.0,55.0,57.57,0.5001,10000,5001
Validation,pooled_ge_5,21,23.3283,23.0,30.0,33.67,0.7506,10000,7506
OOS,max_bull,14,8.7969,8.0,12.0,98.85000000000001,0.0228,10000,228
OOS,max_bear,7,7.2058,7.0,10.0,64.7,0.6247,10000,6247
OOS,bull_ge_3,22,28.39,28.0,33.0,1.9800000000000002,0.9928,10000,9928
OOS,bear_ge_3,18,21.1358,21.0,26.0,16.39,0.9098,10000,9098
OOS,bull_ge_4,11,15.1255,15.0,19.0,5.99,0.9762,10000,9762
OOS,bear_ge_4,7,9.7122,10.0,13.0,16.04,0.9311,10000,9311
OOS,bull_ge_5,7,8.0622,8.0,11.0,39.48,0.7772,10000,7772
OOS,bear_ge_5,6,4.4422,4.0,7.0,88.25,0.2611,10000,2611
OOS,pooled_ge_3,40,49.5258,50.0,56.0,1.92,0.9891,10000,9891
OOS,pooled_ge_4,18,24.8377,25.0,31.0,3.9800000000000004,0.9774,10000,9774
OOS,pooled_ge_5,13,12.5044,12.0,17.0,63.85999999999999,0.4987,10000,4987
