sample,side,bucket,n_streaks,pct_of_all_streaks,pct_of_side_streaks,n_sessions
All,pooled,1,905,0.5243337195828505,0.5243337195828505,905
All,pooled,2,410,0.23754345307068367,0.23754345307068367,820
All,pooled,3,207,0.11993047508690614,0.11993047508690614,621
All,pooled,4,87,0.05040556199304751,0.05040556199304751,348
All,pooled,5,66,0.038238702201622246,0.038238702201622246,330
All,pooled,6,21,0.01216685979142526,0.01216685979142526,126
All,pooled,>=7,30,0.01738122827346466,0.01738122827346466,240
All,bull,1,410,0.23754345307068367,0.47453703703703703,410
All,bull,2,204,0.11819235225955968,0.2361111111111111,408
All,bull,3,113,0.06546929316338354,0.13078703703703703,339
All,bull,4,51,0.02954808806488992,0.059027777777777776,204
All,bull,5,47,0.027230590961761298,0.05439814814814815,235
All,bull,6,12,0.006952491309385863,0.013888888888888888,72
All,bull,>=7,27,0.015643105446118192,0.03125,219
All,bear,1,495,0.2867902665121669,0.574245939675174,495
All,bear,2,206,0.11935110081112399,0.23897911832946636,412
All,bear,3,94,0.054461181923522596,0.10904872389791183,282
All,bear,4,36,0.02085747392815759,0.04176334106728538,144
All,bear,5,19,0.01100811123986095,0.022041763341067284,95
All,bear,6,9,0.005214368482039398,0.010440835266821345,54
All,bear,>=7,3,0.0017381228273464658,0.0034802784222737818,21
IS,pooled,1,615,0.5361813426329556,0.5361813426329556,615
IS,pooled,2,259,0.22580645161290322,0.22580645161290322,518
IS,pooled,3,134,0.11682650392327812,0.11682650392327812,402
IS,pooled,4,57,0.04969485614646905,0.04969485614646905,228
IS,pooled,5,47,0.04097646033129904,0.04097646033129904,235
IS,pooled,6,14,0.012205754141238012,0.012205754141238012,84
IS,pooled,>=7,21,0.018308631211857017,0.018308631211857017,165
IS,bull,1,274,0.23888404533565824,0.47735191637630664,274
IS,bull,2,123,0.10723626852659111,0.21428571428571427,246
IS,bull,3,76,0.06625980819529206,0.13240418118466898,228
IS,bull,4,35,0.03051438535309503,0.06097560975609756,140
IS,bull,5,39,0.03400174367916303,0.06794425087108014,195
IS,bull,6,8,0.006974716652136007,0.013937282229965157,48
IS,bull,>=7,19,0.016564952048823016,0.033101045296167246,151
IS,bear,1,341,0.2972972972972973,0.5951134380453752,341
IS,bear,2,136,0.11857018308631212,0.23734729493891799,272
IS,bear,3,58,0.05056669572798605,0.1012216404886562,174
IS,bear,4,22,0.01918047079337402,0.038394415357766144,88
IS,bear,5,8,0.006974716652136007,0.013961605584642234,40
IS,bear,6,6,0.0052310374891020054,0.010471204188481676,36
IS,bear,>=7,2,0.0017436791630340018,0.0034904013961605585,14
Validation,pooled,1,179,0.48118279569892475,0.48118279569892475,179
Validation,pooled,2,95,0.2553763440860215,0.2553763440860215,190
Validation,pooled,3,51,0.13709677419354838,0.13709677419354838,153
Validation,pooled,4,26,0.06989247311827956,0.06989247311827956,104
Validation,pooled,5,13,0.03494623655913978,0.03494623655913978,65
Validation,pooled,6,3,0.008064516129032258,0.008064516129032258,18
Validation,pooled,>=7,5,0.013440860215053764,0.013440860215053764,37
Validation,bull,1,83,0.22311827956989247,0.44623655913978494,83
Validation,bull,2,52,0.13978494623655913,0.27956989247311825,104
Validation,bull,3,26,0.06989247311827956,0.13978494623655913,78
Validation,bull,4,12,0.03225806451612903,0.06451612903225806,48
Validation,bull,5,6,0.016129032258064516,0.03225806451612903,30
Validation,bull,6,2,0.005376344086021506,0.010752688172043012,12
Validation,bull,>=7,5,0.013440860215053764,0.026881720430107527,37
Validation,bear,1,96,0.25806451612903225,0.5161290322580645,96
Validation,bear,2,43,0.11559139784946236,0.23118279569892472,86
Validation,bear,3,25,0.06720430107526881,0.13440860215053763,75
Validation,bear,4,14,0.03763440860215054,0.07526881720430108,56
Validation,bear,5,7,0.01881720430107527,0.03763440860215054,35
Validation,bear,6,1,0.002688172043010753,0.005376344086021506,6
Validation,bear,>=7,0,0.0,0.0,0
OOS,pooled,1,112,0.5384615384615384,0.5384615384615384,112
OOS,pooled,2,56,0.2692307692307692,0.2692307692307692,112
OOS,pooled,3,22,0.10576923076923077,0.10576923076923077,66
OOS,pooled,4,5,0.02403846153846154,0.02403846153846154,20
OOS,pooled,5,5,0.02403846153846154,0.02403846153846154,25
OOS,pooled,6,4,0.019230769230769232,0.019230769230769232,24
OOS,pooled,>=7,4,0.019230769230769232,0.019230769230769232,38
OOS,bull,1,53,0.2548076923076923,0.5096153846153846,53
OOS,bull,2,29,0.13942307692307693,0.27884615384615385,58
OOS,bull,3,11,0.052884615384615384,0.10576923076923077,33
OOS,bull,4,4,0.019230769230769232,0.038461538461538464,16
OOS,bull,5,2,0.009615384615384616,0.019230769230769232,10
OOS,bull,6,2,0.009615384615384616,0.019230769230769232,12
OOS,bull,>=7,3,0.014423076923076924,0.028846153846153848,31
OOS,bear,1,59,0.28365384615384615,0.5673076923076923,59
OOS,bear,2,27,0.12980769230769232,0.25961538461538464,54
OOS,bear,3,11,0.052884615384615384,0.10576923076923077,33
OOS,bear,4,1,0.004807692307692308,0.009615384615384616,4
OOS,bear,5,3,0.014423076923076924,0.028846153846153848,15
OOS,bear,6,2,0.009615384615384616,0.019230769230769232,12
OOS,bear,>=7,1,0.004807692307692308,0.009615384615384616,7
