sample,side,length,start_date,end_date
All,bear,4,2010-06-07,2010-06-28
All,bull,7,2010-07-06,2010-08-16
All,bear,3,2010-08-23,2010-09-07
All,bull,2,2010-09-13,2010-09-20
All,bear,2,2010-09-27,2010-10-04
All,bull,1,2010-10-11,2010-10-11
All,bear,1,2010-10-18,2010-10-18
All,bull,3,2010-10-25,2010-11-08
All,bear,1,2010-11-15,2010-11-15
All,bull,1,2010-11-22,2010-11-22
All,bear,1,2010-11-29,2010-11-29
All,bull,1,2010-12-06,2010-12-06
All,bear,1,2010-12-13,2010-12-13
All,bull,7,2010-12-20,2011-02-14
All,bear,1,2011-02-22,2011-02-22
All,bull,1,2011-02-28,2011-02-28
All,bear,3,2011-03-07,2011-03-15
All,bull,1,2011-03-21,2011-03-21
All,bull,1,2011-03-25,2011-03-25
All,bear,1,2011-03-28,2011-03-28
All,bull,2,2011-03-31,2011-04-04
All,bear,2,2011-04-11,2011-04-14
All,bull,1,2011-04-15,2011-04-15
All,bear,1,2011-04-18,2011-04-18
All,bull,2,2011-04-19,2011-04-20
All,bear,3,2011-05-02,2011-05-06
All,bull,1,2011-05-09,2011-05-09
All,bear,2,2011-05-16,2011-05-24
All,bull,3,2011-05-25,2011-06-02
All,bear,2,2011-06-06,2011-06-08
All,bull,5,2011-06-09,2011-07-05
All,bear,2,2011-07-11,2011-07-18
All,bull,1,2011-07-25,2011-07-25
All,bear,2,2011-08-01,2011-08-08
All,bull,7,2011-08-15,2011-09-26
All,bear,1,2011-10-03,2011-10-03
All,bull,1,2011-10-10,2011-10-10
All,bear,1,2011-10-17,2011-10-17
All,bull,1,2011-10-24,2011-10-24
All,bear,1,2011-10-31,2011-10-31
All,bull,1,2011-11-07,2011-11-07
All,bear,2,2011-11-14,2011-11-21
All,bull,2,2011-11-28,2011-12-05
All,bear,3,2011-12-12,2012-01-09
All,bull,5,2012-01-17,2012-02-13
All,bear,1,2012-02-21,2012-02-21
All,bull,1,2012-02-27,2012-02-27
All,bear,1,2012-03-05,2012-03-05
All,bull,5,2012-03-12,2012-04-09
All,bear,3,2012-04-16,2012-04-30
All,bull,1,2012-05-07,2012-05-07
All,bear,1,2012-05-14,2012-05-14
All,bull,3,2012-05-21,2012-06-04
All,bear,1,2012-06-11,2012-06-11
All,bull,1,2012-06-18,2012-06-18
All,bear,1,2012-06-25,2012-06-25
All,bull,3,2012-07-02,2012-07-09
All,bear,3,2012-07-16,2012-07-30
All,bull,4,2012-08-06,2012-08-22
All,bear,1,2012-08-23,2012-08-23
All,bull,1,2012-08-24,2012-08-24
All,bear,2,2012-08-27,2012-08-28
All,bull,1,2012-08-31,2012-08-31
All,bear,2,2012-09-04,2012-09-05
All,bull,1,2012-09-06,2012-09-06
All,bear,3,2012-09-07,2012-09-11
All,bull,2,2012-09-12,2012-09-13
All,bear,1,2012-09-17,2012-09-17
All,bull,2,2012-09-18,2012-09-19
All,bear,4,2012-09-21,2012-09-26
All,bull,1,2012-09-27,2012-09-27
All,bear,2,2012-09-28,2012-10-01
All,bull,3,2012-10-02,2012-10-04
All,bear,2,2012-10-08,2012-10-10
All,bull,3,2012-10-15,2012-10-17
All,bear,2,2012-10-18,2012-10-19
All,bull,1,2012-10-22,2012-10-22
All,bear,3,2012-10-23,2012-10-25
All,bull,1,2012-10-26,2012-10-26
All,bear,1,2012-10-31,2012-10-31
All,bull,1,2012-11-01,2012-11-01
All,bear,1,2012-11-02,2012-11-02
All,bull,1,2012-11-05,2012-11-05
All,bear,1,2012-11-07,2012-11-07
All,bull,7,2012-11-09,2012-11-29
All,bear,2,2012-12-03,2012-12-05
All,bull,1,2012-12-06,2012-12-06
All,bear,1,2012-12-07,2012-12-07
All,bull,2,2012-12-10,2012-12-11
All,bear,1,2012-12-14,2012-12-14
All,bull,2,2012-12-17,2012-12-18
All,bear,1,2012-12-19,2012-12-19
All,bull,1,2012-12-20,2012-12-20
All,bear,2,2012-12-21,2012-12-28
All,bull,2,2012-12-31,2013-01-07
All,bear,1,2013-01-08,2013-01-08
All,bull,2,2013-01-10,2013-01-11
All,bear,2,2013-01-14,2013-01-15
All,bull,2,2013-01-17,2013-01-18
All,bear,2,2013-01-22,2013-01-24
All,bull,3,2013-01-28,2013-02-01
All,bear,2,2013-02-04,2013-02-06
All,bull,1,2013-02-07,2013-02-07
All,bear,1,2013-02-12,2013-02-12
All,bull,1,2013-02-13,2013-02-13
All,bear,2,2013-02-21,2013-02-25
All,bull,3,2013-03-01,2013-03-18
All,bear,1,2013-03-19,2013-03-19
All,bull,1,2013-03-20,2013-03-20
All,bear,2,2013-03-21,2013-03-25
All,bull,2,2013-03-28,2013-04-02
All,bear,3,2013-04-03,2013-04-05
All,bull,2,2013-04-08,2013-04-11
All,bear,2,2013-04-12,2013-04-15
All,bull,1,2013-04-16,2013-04-16
All,bear,2,2013-04-17,2013-04-18
All,bull,3,2013-04-19,2013-04-23
All,bear,1,2013-04-24,2013-04-24
All,bull,1,2013-04-25,2013-04-25
All,bear,1,2013-04-26,2013-04-26
All,bull,4,2013-04-29,2013-05-06
All,bear,1,2013-05-07,2013-05-07
All,bull,5,2013-05-08,2013-05-15
All,bear,1,2013-05-16,2013-05-16
All,bull,1,2013-05-17,2013-05-17
All,bear,1,2013-05-20,2013-05-20
All,bull,1,2013-05-21,2013-05-21
All,bear,2,2013-05-23,2013-05-24
All,bull,1,2013-05-28,2013-05-28
All,bear,1,2013-05-29,2013-05-29
All,bull,1,2013-05-30,2013-05-30
All,bear,1,2013-05-31,2013-05-31
All,bull,1,2013-06-03,2013-06-03
All,bear,2,2013-06-04,2013-06-05
All,bull,3,2013-06-06,2013-06-10
All,bear,2,2013-06-11,2013-06-12
All,bull,3,2013-06-13,2013-06-18
All,bear,4,2013-06-19,2013-06-24
All,bull,3,2013-06-25,2013-06-27
All,bull,2,2013-07-01,2013-07-02
All,bear,2,2013-07-05,2013-07-08
All,bull,5,2013-07-09,2013-07-15
All,bear,1,2013-07-19,2013-07-19
All,bull,1,2013-07-22,2013-07-22
All,bear,2,2013-07-23,2013-07-24
All,bull,2,2013-07-25,2013-07-26
All,bear,1,2013-07-29,2013-07-29
All,bull,5,2013-07-30,2013-08-05
All,bear,2,2013-08-06,2013-08-07
All,bull,1,2013-08-08,2013-08-08
All,bear,1,2013-08-09,2013-08-09
All,bull,2,2013-08-12,2013-08-13
All,bear,3,2013-08-14,2013-08-16
All,bull,5,2013-08-19,2013-08-26
All,bear,1,2013-08-27,2013-08-27
All,bull,2,2013-08-28,2013-08-29
All,bear,2,2013-08-30,2013-09-03
All,bull,1,2013-09-04,2013-09-04
All,bear,1,2013-09-05,2013-09-05
All,bull,3,2013-09-06,2013-09-10
All,bear,2,2013-09-11,2013-09-16
All,bull,1,2013-09-19,2013-09-19
All,bear,1,2013-09-23,2013-09-23
All,bull,4,2013-09-24,2013-10-01
All,bear,2,2013-10-02,2013-10-03
All,bull,1,2013-10-04,2013-10-04
All,bear,3,2013-10-07,2013-10-09
All,bull,3,2013-10-10,2013-10-14
All,bear,1,2013-10-15,2013-10-15
All,bull,4,2013-10-16,2013-10-21
All,bear,1,2013-10-23,2013-10-23
All,bull,1,2013-10-24,2013-10-24
All,bear,1,2013-10-25,2013-10-25
All,bull,2,2013-10-28,2013-10-29
All,bear,3,2013-10-30,2013-11-01
All,bull,2,2013-11-04,2013-11-08
All,bear,1,2013-11-11,2013-11-11
All,bull,2,2013-11-14,2013-11-15
All,bear,1,2013-11-18,2013-11-18
All,bull,4,2013-11-21,2013-11-27
All,bear,1,2013-12-02,2013-12-02
All,bull,2,2013-12-04,2013-12-09
All,bear,3,2013-12-11,2013-12-13
All,bull,2,2013-12-16,2013-12-23
All,bear,2,2014-01-06,2014-01-09
All,bull,1,2014-01-10,2014-01-10
All,bear,1,2014-01-13,2014-01-13
All,bull,2,2014-01-15,2014-01-16
All,bear,1,2014-01-17,2014-01-17
All,bull,1,2014-01-21,2014-01-21
All,bear,4,2014-01-27,2014-02-05
