year,n_sessions,bull_rate,bear_rate,avg_bull_streak,median_bull_streak,max_bull_streak,avg_bear_streak,median_bear_streak,max_bear_streak,bull_continuation_after_1,bull_continuation_after_2,bull_continuation_after_3,bear_continuation_after_1,bear_continuation_after_2,bear_continuation_after_3,n_bull_after_1,n_bull_after_2,n_bull_after_3,n_bear_after_1,n_bear_after_2,n_bear_after_3,pooled_lift_after_2,pooled_lift_after_3,n_pooled_after_2,n_pooled_after_3
2010,29,0.5517241379310345,0.4482758620689655,2.2857142857142856,1.0,7,1.8571428571428572,1.0,4,0.5,,,0.42857142857142855,,,6,3,2,7,3,2,16.666666666666664,0.0,6,4
2011,63,0.5714285714285714,0.4126984126984127,2.25,1.0,7,1.7333333333333334,2.0,3,0.4375,0.5714285714285714,,0.6,0.25,,16,7,4,15,8,2,-8.677248677248672,-1.851851851851849,15,6
2012,100,0.55,0.44,2.1153846153846154,1.0,7,1.6923076923076923,1.0,4,0.48,0.6666666666666666,0.5,0.46153846153846156,0.4166666666666667,0.2,25,12,8,26,12,5,4.666666666666658,-12.307692307692314,24,13
2013,177,0.5819209039548022,0.4124293785310734,2.239130434782609,2.0,5,1.6590909090909092,1.5,4,0.6304347826086957,0.5714285714285714,0.5,0.5,0.2727272727272727,0.16666666666666666,46,28,16,44,22,6,-6.734463276836161,-12.660503338469436,50,22
2014,181,0.569060773480663,0.430939226519337,2.340909090909091,2.0,9,1.7333333333333334,1.0,4,0.5454545454545454,0.5416666666666666,0.6153846153846154,0.4772727272727273,0.47619047619047616,0.2,44,24,13,44,21,10,0.6507059545733607,-7.422531828008644,45,23
2015,212,0.5141509433962265,0.4811320754716981,2.2244897959183674,2.0,6,2.0,2.0,5,0.5714285714285714,0.6428571428571429,0.4444444444444444,0.5686274509803921,0.4642857142857143,0.5384615384615384,49,28,18,51,28,13,5.5929919137466255,-1.6433353621424285,56,31
2016,251,0.5179282868525896,0.47808764940239046,1.8571428571428572,1.0,8,1.7142857142857142,1.0,6,0.4,0.6428571428571429,0.3333333333333333,0.37142857142857144,0.5384615384615384,0.46153846153846156,70,28,18,70,26,13,9.384683488269147,-11.412414856702224,54,31
2017,249,0.6345381526104418,0.3654618473895582,2.46875,1.0,10,1.421875,1.0,5,0.484375,0.6451612903225806,0.75,0.265625,0.29411764705882354,0.6,64,31,20,64,17,5,-1.8406961178045522,13.927710843373497,48,25
2018,247,0.5384615384615384,0.4574898785425101,2.078125,1.0,8,1.8225806451612903,1.0,7,0.49206349206349204,0.5161290322580645,0.5625,0.41935483870967744,0.5,0.46153846153846156,63,31,16,62,26,13,0.7244832729597306,1.5077481502163925,57,29
2019,249,0.6024096385542169,0.39357429718875503,2.34375,2.0,6,1.53125,1.0,6,0.5555555555555556,0.6857142857142857,0.5833333333333334,0.375,0.16666666666666666,,63,35,24,64,24,4,-4.288339799877478,3.4566838783706144,59,28
2020,247,0.6032388663967612,0.38866396761133604,2.365079365079365,2.0,10,1.5238095238095237,1.0,6,0.532258064516129,0.5454545454545454,0.8333333333333334,0.2857142857142857,0.4444444444444444,0.375,62,33,18,63,18,8,-1.770262760974839,15.509187169106188,51,26
2021,251,0.5577689243027888,0.44223107569721115,2.1875,2.0,9,1.7076923076923076,1.0,6,0.578125,0.5405405405405406,0.5,0.4,0.46153846153846156,0.4166666666666667,64,37,20,65,26,12,-0.21501296401694736,-4.569223107569719,63,32
2022,250,0.46,0.54,1.7692307692307692,2.0,5,2.109375,2.0,6,0.5076923076923077,0.40625,0.23076923076923078,0.5625,0.5555555555555556,0.5,65,32,13,64,36,20,-1.7058823529411848,-11.454545454545462,68,33
2023,248,0.5604838709677419,0.43951612903225806,2.316666666666667,2.0,8,1.7868852459016393,1.0,5,0.6,0.5555555555555556,0.6,0.4426229508196721,0.5384615384615384,0.42857142857142855,60,36,20,61,26,14,3.863163371488032,1.873814041745725,62,34
2024,249,0.5542168674698795,0.44176706827309237,2.262295081967213,2.0,8,1.7741935483870968,1.0,5,0.5573770491803278,0.5294117647058824,0.5555555555555556,0.45161290322580644,0.4642857142857143,0.38461538461538464,61,34,18,62,28,13,-0.34330871874594937,-2.318953232283971,62,31
2025,247,0.5344129554655871,0.46558704453441296,1.9130434782608696,1.0,8,1.6428571428571428,1.0,7,0.4492753623188406,0.5161290322580645,0.5,0.35714285714285715,0.36,0.5555555555555556,69,31,16,70,25,9,-5.725853094274141,1.0364372469635619,56,25
2026,150,0.54,0.46,2.3142857142857145,2.0,14,1.9714285714285715,2.0,6,0.5882352941176471,0.3,0.5,0.5714285714285714,0.45,0.2222222222222222,34,20,6,35,20,9,-12.5,-15.866666666666674,40,15
