combo,observations,pct_of_eligible
HIGH_DIRECTIONALITY + HIGH_VOLATILITY,194609,14.124096146825746
HIGH_DIRECTIONALITY + LOW_VOLATILITY,116112,8.427036014779537
LOW_DIRECTIONALITY + HIGH_VOLATILITY,171813,12.469635686296995
LOW_DIRECTIONALITY + LOW_VOLATILITY,138443,10.047748268862163
HIGH_VOLUME + HIGH_VOLATILITY,301431,21.87689380056334
HIGH_VOLUME + LOW_VOLATILITY,37003,2.685558888442945
LOW_VOLUME + HIGH_VOLATILITY,54193,3.933153875128733
LOW_VOLUME + LOW_VOLATILITY,227684,16.524573411784004
COMPRESSION + LOW_DIRECTIONALITY,273427,19.844453427837987
EXPANSION + HIGH_DIRECTIONALITY,308507,22.390447152848893
COMPRESSION + HIGH_DIRECTIONALITY,31450,2.28253998436696
EXPANSION + LOW_DIRECTIONALITY,39885,2.8947251916208647
