n,n_valid,rate_still_compressed,rate_still_expanded,rate_reached_normal,rate_reached_expansion,rate_left_expansion,rate_p_terminal_normal,rate_p_terminal_expansion,rate_p_terminal_compression,abs_net_n,abs_net_mean,abs_net_median,abs_net_p25,abs_net_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_n,max_up_mean,max_up_median,max_up_p25,max_up_p75,max_down_n,max_down_mean,max_down_median,max_down_p25,max_down_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_n,max_range_mean,max_range_median,max_range_p25,max_range_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_normal_n,time_to_normal_mean,time_to_normal_median,time_to_normal_p25,time_to_normal_p75,time_to_expansion_n,time_to_expansion_mean,time_to_expansion_median,time_to_expansion_p25,time_to_expansion_p75,time_to_leave_compression_n,time_to_leave_compression_mean,time_to_leave_compression_median,time_to_leave_compression_p25,time_to_leave_compression_p75,time_to_leave_expansion_n,time_to_leave_expansion_mean,time_to_leave_expansion_median,time_to_leave_expansion_p25,time_to_leave_expansion_p75,expansion_is_directional_n,expansion_is_directional_mean,expansion_is_directional_median,expansion_is_directional_p25,expansion_is_directional_p75,expansion_is_two_sided_n,expansion_is_two_sided_mean,expansion_is_two_sided_median,expansion_is_two_sided_p25,expansion_is_two_sided_p75,cell,horizon
46606,45807,0.8328639727552557,0.009168904315934246,0.20099548104001572,0.010849870107188858,0.999650708407012,0.15796712292881002,0.009168904315934246,0.8328639727552557,45807,8.3449090750322,3.75,1.5,10.25,45807,1.2452126242470547,0.9541420118343195,0.4494091837682236,1.6816751676546193,45807,8.296608596939333,3.75,1.5,10.25,45807,8.463078787084944,3.75,1.25,10.25,45807,1.2325610865359613,0.9734513274336283,0.45745772150414726,1.6787662388995759,45807,1.2603173617734316,0.9419904204364024,0.430622009569378,1.717186218211649,45807,16.759687384024275,10.5,4.25,22.5,45807,2.4928784483093924,2.1458625525946706,1.6839916839916838,2.843870736467558,45806,0.4540605561697987,0.42168674698795183,0.2,0.6774193548387096,9207,2.7224937547518193,3.0,1.0,4.0,497,3.6680080482897384,4.0,3.0,5.0,9260,2.716522678185745,3.0,1.0,4.0,45791,1.0006114738704113,1.0,1.0,1.0,497,0.6519114688128773,1.0,0.0,1.0,497,0.02012072434607646,0.0,0.0,0.0,A_COMP_LOW_DIR,5
46606,44296,0.6466046595629402,0.0679971103485642,0.4461125158027813,0.08321293119017519,0.9998193967852628,0.2853982300884956,0.0679971103485642,0.6466046595629402,44296,14.157435208596713,6.5,2.5,17.5,44296,2.128321387938431,1.6556071227279132,0.7758620689655172,2.883825505726266,44296,14.042509481668773,6.5,2.5,17.5,44296,14.559655499367889,6.5,2.25,18.0,44296,2.101934235427598,1.682738803749442,0.8053691275167785,2.8676470588235294,44296,2.1864193940247763,1.6505465956297862,0.7346938775510204,2.9830223970661995,44296,28.602164981036662,18.25,7.25,38.25,44296,4.288353629452374,3.7209302325581395,2.9411764705882355,4.893913050590595,44296,0.2607705903456619,0.22852903772785077,0.10967741935483871,0.3793103448275862,19761,6.79074945599919,6.0,3.0,10.0,3686,10.191535539880629,11.0,8.0,13.0,19829,6.77971657673105,6.0,3.0,10.0,44288,1.0021676300578035,1.0,1.0,1.0,3686,0.5995659251220835,1.0,0.0,1.0,3686,0.06294085729788389,0.0,0.0,0.0,A_COMP_LOW_DIR,15
46606,42107,0.45142137886812167,0.19913553565915407,0.6856579666088773,0.25435200797967084,0.9999287529389412,0.34944308547272424,0.19913553565915407,0.45142137886812167,42107,19.73512717600399,9.25,3.5,24.25,42107,2.9600328058823955,2.2993882691615686,1.1029411764705883,4.0,42107,19.393426271166316,9.25,3.5,24.25,42107,20.46754102643266,9.25,3.25,25.25,42107,2.9103298955998844,2.3492723492723493,1.1428571428571428,3.984375,42107,3.0702597095753337,2.288135593220339,1.0210894902639671,4.173601990737541,42107,39.860967297598975,25.75,10.25,53.75,42107,5.980589605175218,5.1923076923076925,4.10351201478743,6.821880091195373,42107,0.1843876534021509,0.1590909090909091,0.07692307692307693,0.26564832089552237,28871,12.242631013820096,11.0,4.0,19.0,10710,19.019421101774043,20.0,13.0,25.0,28921,12.220808409114484,11.0,4.0,19.0,42104,1.0041801254037621,1.0,1.0,1.0,10710,0.5703081232492997,1.0,0.0,1.0,10710,0.10028011204481793,0.0,0.0,0.0,A_COMP_LOW_DIR,30
46606,38150,0.3105897771952818,0.35066841415465266,0.9129226736566186,0.5730275229357799,1.0,0.33874180865006553,0.35066841415465266,0.3105897771952818,38150,27.619986893840103,12.75,4.75,34.0,38150,4.092017164530155,3.1612052936672868,1.4935933123401592,5.53814367450731,38150,26.76804718217562,13.0,5.0,34.25,38150,28.845832241153342,13.0,4.5,35.25,38150,3.996159122262931,3.2673267326732676,1.5682932263814617,5.46875,38150,4.306557345471333,3.1471377582321205,1.3994430649908631,5.865921787709497,38150,55.61387942332897,36.25,14.75,75.0,38150,8.302716467734264,7.196261682242991,5.625,9.572742213969612,38150,0.1305761557539877,0.11188091249862012,0.05336528409586853,0.18959430130863614,34828,19.538704490639716,16.0,6.0,30.0,21861,32.8175746763643,33.0,21.0,45.0,34864,19.506740477283156,16.0,6.0,30.0,38150,1.0080733944954128,1.0,1.0,1.0,21861,0.5415580257078816,1.0,0.0,1.0,21861,0.11939069575957184,0.0,0.0,0.0,A_COMP_LOW_DIR,60
52656,51719,0.7875635646474216,0.014868810301823314,0.25733289506757673,0.01757574585742184,0.999555289158723,0.19756762505075504,0.014868810301823314,0.7875635646474216,51719,8.573014752798779,4.0,1.5,10.5,51719,1.245055258337132,0.9677419354838709,0.44776119402985076,1.6917663009983976,51719,8.495113014559447,4.0,1.5,10.5,51719,8.707433438388213,4.0,1.5,10.75,51719,1.236928769320772,0.9836065573770493,0.4667138142385667,1.698736097801783,51719,1.2646839300680308,0.9622641509433961,0.43902439024390244,1.723237597911227,51719,17.202546452947658,11.0,4.5,23.25,51719,2.5016126993888026,2.176165803108808,1.7061086337129936,2.869565217391304,51717,0.452567782235256,0.41818181818181815,0.2,0.6756756756756757,13309,2.5286648132842435,2.0,1.0,4.0,909,3.684268426842684,4.0,3.0,5.0,13381,2.523503475076601,2.0,1.0,4.0,51696,1.0012380068090374,1.0,1.0,1.0,909,0.856985698569857,1.0,1.0,1.0,909,0.0022002200220022,0.0,0.0,0.0,B_COMP_MIDHIGH_DIR,5
52656,49937,0.6172577447583956,0.08640887518273024,0.48931653883893705,0.10695476300138174,0.9998197729138715,0.29633338005887416,0.08640887518273024,0.6172577447583956,49937,14.53202535194345,6.75,2.5,18.0,49937,2.1259791320518238,1.6678105696636925,0.7792207792207793,2.8903654485049834,49937,14.322070809219616,6.75,2.5,17.75,49937,14.931548751426797,6.75,2.5,18.5,49937,2.0970531182078167,1.6950306330837304,0.8108108108108107,2.8651685393258424,49937,2.181737199392403,1.6483516483516485,0.75,2.995090016366612,49937,29.253619560646413,19.0,7.75,39.5,49937,4.27879031760022,3.741444866920152,2.952755905511811,4.900142653352353,49937,0.2607707463793778,0.22873345935727787,0.11041009463722397,0.38082191780821917,24435,6.084059750358093,5.0,2.0,10.0,5341,9.750795731136492,10.0,7.0,13.0,24512,6.073270234986945,5.0,2.0,10.0,49928,1.0032647011696842,1.0,1.0,1.0,5341,0.7290769518816701,1.0,0.0,1.0,5341,0.03108032203707171,0.0,0.0,0.0,B_COMP_MIDHIGH_DIR,15
52656,47559,0.43665762526545976,0.2192224394962047,0.7095397295990243,0.27977880106814695,0.9999158939422612,0.34411993523833556,0.2192224394962047,0.43665762526545976,47559,20.22110431253811,9.5,3.5,25.0,47559,2.955824238210544,2.2995283018867925,1.1070110701107012,3.997791933505099,47559,19.789913581025672,9.5,3.5,24.75,47559,21.045990243697304,9.5,3.25,26.0,47559,2.899588093878591,2.3543123543123543,1.1335504885993486,3.970352815619311,47559,3.0710137771616854,2.2961730449251245,1.029224619114271,4.175169802149188,47559,40.835903824722976,26.75,10.75,55.0,47559,5.970601871040276,5.210312075983718,4.11764705882353,6.835975775011987,47559,0.18449157374235903,0.15862068965517243,0.0759623632157617,0.26666666666666666,33745,11.123810934953326,9.0,3.0,18.0,13306,18.049150759056065,18.0,12.0,25.0,33802,11.10114786107331,9.0,3.0,18.0,47555,1.0046682788350332,1.0,1.0,1.0,13306,0.6454231173906508,1.0,0.0,1.0,13306,0.0701938974898542,0.0,0.0,0.0,B_COMP_MIDHIGH_DIR,30
52656,43016,0.3163706527803608,0.3472428863678631,0.9186581737028082,0.5880370094848428,0.999930258508462,0.3363864608517761,0.3472428863678631,0.3163706527803608,43016,28.16515366375302,13.25,4.75,35.0,43016,4.068022613745921,3.143988458585091,1.4808043875685557,5.5280664472626855,43016,27.30321856983448,13.5,5.0,35.0,43016,29.516639157522782,13.5,4.75,36.5,43016,3.974462324771448,3.251532633962446,1.589459181595342,5.442745503853839,43016,4.292197458393205,3.165736658753892,1.4102564102564104,5.801210408671081,43016,56.81985772735726,37.75,15.25,77.0,43016,8.266659783164654,7.183945989480279,5.625,9.557576482355245,43016,0.13022820766275395,0.1113967480346399,0.05274451916242961,0.1887914587218264,39517,18.025862287116936,14.0,5.0,28.0,25295,31.51097054753904,31.0,19.0,44.0,39561,17.996284219306894,14.0,4.0,28.0,43013,1.006486411085021,1.0,1.0,1.0,25295,0.5760426961850168,1.0,0.0,1.0,25295,0.10630559399090729,0.0,0.0,0.0,B_COMP_MIDHIGH_DIR,60
29704,29383,0.03005139025967396,0.7531565871422251,0.29248204744239864,0.9346901269441514,0.2936051458326243,0.21679202259810093,0.7531565871422251,0.03005139025967396,29383,8.04071231664568,3.5,1.25,9.5,29383,1.311146426912737,0.974477958236659,0.4545454545454546,1.741110293508001,29383,7.904689786611306,3.5,1.25,9.5,29383,8.182231222135249,3.5,1.25,9.5,29383,1.2979508209906663,1.0,0.47348193821483275,1.7266187050359711,29383,1.3279940936052117,0.974025974025974,0.44101439253144314,1.7706013363028954,29383,16.086921008746554,9.5,4.0,21.25,29383,2.625944914595878,2.2085889570552144,1.7168011738811446,2.9563630593462396,29383,0.4482408021385866,0.4117647058823529,0.2,0.6666666666666666,8594,2.526879218059111,2.0,1.0,4.0,27464,1.0606248179434896,1.0,1.0,1.0,29372,1.0002383222116302,1.0,1.0,1.0,8627,2.52440013909818,2.0,1.0,4.0,27464,0.8123725604427614,1.0,1.0,1.0,27464,0.0016749198951354501,0.0,0.0,0.0,C_EXP_HIGH_DIR,5
29704,28683,0.15416797406129065,0.5580308893769829,0.5395879092145173,0.9487152668828226,0.5417146044695464,0.28780113656172646,0.5580308893769829,0.15416797406129065,28683,13.451495659449849,6.0,2.25,16.0,28683,2.2080352855499057,1.6666666666666665,0.7766524867586965,2.94633970044554,28683,13.207161036153819,6.25,2.25,16.0,28683,14.067975804483492,6.0,2.25,16.75,28683,2.1775068532009723,1.7180616740088106,0.8333333333333333,2.9140221592965085,28683,2.2988225685885073,1.6875,0.7692307692307692,3.057727289800868,28683,27.275136840637312,16.5,7.0,36.5,28683,4.47632942178948,3.8023450586264653,2.9837980516829026,5.052631578947369,28683,0.25492056936056956,0.2222222222222222,0.10531975099037917,0.3707865168539326,15477,5.945596691865348,5.0,2.0,9.0,27212,1.177899456122299,1.0,1.0,1.0,28676,1.001255405216906,1.0,1.0,1.0,15538,5.9431072210065645,5.0,2.0,9.0,27212,0.8092753197118918,1.0,1.0,1.0,27212,0.0024621490518888724,0.0,0.0,0.0,C_EXP_HIGH_DIR,15
