n,n_valid,rate_still_compressed,rate_still_expanded,rate_reached_normal,rate_reached_expansion,rate_left_expansion,rate_p_terminal_normal,rate_p_terminal_expansion,rate_p_terminal_compression,abs_net_n,abs_net_mean,abs_net_median,abs_net_p25,abs_net_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_n,max_up_mean,max_up_median,max_up_p25,max_up_p75,max_down_n,max_down_mean,max_down_median,max_down_p25,max_down_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_n,max_range_mean,max_range_median,max_range_p25,max_range_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_normal_n,time_to_normal_mean,time_to_normal_median,time_to_normal_p25,time_to_normal_p75,time_to_expansion_n,time_to_expansion_mean,time_to_expansion_median,time_to_expansion_p25,time_to_expansion_p75,time_to_leave_compression_n,time_to_leave_compression_mean,time_to_leave_compression_median,time_to_leave_compression_p25,time_to_leave_compression_p75,time_to_leave_expansion_n,time_to_leave_expansion_mean,time_to_leave_expansion_median,time_to_leave_expansion_p25,time_to_leave_expansion_p75,expansion_is_directional_n,expansion_is_directional_mean,expansion_is_directional_median,expansion_is_directional_p25,expansion_is_directional_p75,expansion_is_two_sided_n,expansion_is_two_sided_mean,expansion_is_two_sided_median,expansion_is_two_sided_p25,expansion_is_two_sided_p75,split,cell,horizon
30420,29911,0.8225736351175152,0.010765270301895623,0.2146701882250677,0.012604058707498913,0.9995653772859483,0.1666610945805891,0.010765270301895623,0.8225736351175152,29911,4.708752632810672,2.25,1.0,5.25,29911,1.2698979880107735,0.96,0.44776119402985076,1.707317073170732,29911,4.622805991106951,2.25,1.0,5.25,29911,4.756728293938685,2.25,1.0,5.5,29911,1.2501501941678794,0.9787234042553191,0.460122699386503,1.6946337068528634,29911,1.2756266500918667,0.946843853820598,0.42905435977790474,1.7252548563536916,29911,9.379534285045635,5.5,3.0,11.25,29911,2.525776844259746,2.1599999999999997,1.6883116883116882,2.8676470588235294,29910,0.45189367383305334,0.4189825477250627,0.2,0.673469387755102,6421,2.687276125214141,3.0,1.0,4.0,377,3.6551724137931036,4.0,3.0,5.0,6461,2.680854356910695,3.0,1.0,4.0,29898,1.0007023881196067,1.0,1.0,1.0,377,0.6631299734748011,1.0,0.0,1.0,377,0.021220159151193633,0.0,0.0,0.0,IS,A_COMP_LOW_DIR,5
30420,28977,0.6322600683300549,0.07295441211995721,0.46547261621285846,0.08962280429306001,0.9997929392276633,0.29478551954998794,0.07295441211995721,0.6322600683300549,28977,8.02010214998102,4.0,1.75,9.25,28977,2.1840341131537655,1.686746987951807,0.7843137254901961,2.9521276595744683,28977,7.820806156606964,4.0,1.75,9.25,28977,8.19316181799358,4.0,1.5,9.5,28977,2.1405085965131754,1.6994219653179192,0.8125,2.900763358778626,28977,2.225442370464417,1.6483516483516485,0.7317073170731708,3.0303030303030303,28977,16.013967974600547,9.75,5.5,19.5,28977,4.365950966977591,3.75,2.9596412556053813,4.9714285714285715,28977,0.2598762684421796,0.22807017543859648,0.1111111111111111,0.37815126050420167,13488,6.677787663107948,6.0,3.0,10.0,2597,10.071236041586445,11.0,7.0,13.0,13533,6.66363703539496,6.0,3.0,10.0,28971,1.00283041662352,1.0,1.0,1.0,2597,0.5995379283788987,1.0,0.0,1.0,2597,0.06430496726992684,0.0,0.0,0.0,IS,A_COMP_LOW_DIR,15
30420,27561,0.4393889916911578,0.20681397627081746,0.7012445121729981,0.26639091469830556,0.9998911505388048,0.35379703203802476,0.20681397627081746,0.4393889916911578,27561,11.090989078770727,5.75,2.5,12.75,27561,3.03377435888812,2.3478260869565215,1.1278195488721805,4.0723981900452495,27561,10.816906135481297,5.75,2.5,12.75,27561,11.396910489459744,5.5,2.25,13.25,27561,2.972263379357956,2.3893805309734515,1.153846153846154,4.051094890510949,27561,3.123701439153852,2.2857142857142856,1.0012836970474968,4.259259259259259,27561,22.21381662494104,13.75,7.75,27.25,27561,6.095964818511807,5.256637168141593,4.1441441441441444,6.940298507462686,27561,0.18375361865768788,0.15960912052117263,0.07777777777777778,0.2648648648648649,19327,11.973042893361619,10.0,4.0,19.0,7342,18.858349223644783,20.0,13.0,25.0,19359,11.949687483857637,10.0,4.0,19.0,27558,1.0050076202917484,1.0,1.0,1.0,7342,0.5633342413511305,1.0,0.0,1.0,7342,0.10337782620539362,0.0,0.0,0.0,IS,A_COMP_LOW_DIR,30
30420,24907,0.2988718031075601,0.3592965832898382,0.9195808407275063,0.5886698518488779,1.0,0.34183161360260167,0.3592965832898382,0.2988718031075601,24907,15.064760910587385,8.0,3.25,17.75,24907,4.16272454130793,3.1936725096194953,1.5081581981023322,5.6045930117786416,24907,14.775123459268478,8.0,3.5,17.5,24907,15.948237443289035,8.0,3.0,18.5,24907,4.069429247428837,3.3157894736842106,1.5789473684210527,5.574590364392272,24907,4.3880395476423315,3.16,1.3714285714285714,5.969580527425076,24907,30.723360902557513,19.25,11.0,38.0,24907,8.45746879507117,7.281553398058253,5.687993792325057,9.774172910021512,24907,0.12938090577867103,0.1111111111111111,0.052845528455284556,0.1875,22904,18.96236465246245,15.0,6.0,29.0,14662,32.50334197244578,32.0,21.0,45.0,22924,18.9240097714186,15.0,6.0,29.0,24907,1.0111213715019873,1.0,1.0,1.0,14662,0.5274860182785431,1.0,0.0,1.0,14662,0.12378938753239667,0.0,0.0,0.0,IS,A_COMP_LOW_DIR,60
34024,33435,0.7781366831164946,0.015911470016449828,0.26947809181994914,0.018992074173770003,0.9995214595483775,0.20595184686705548,0.015911470016449828,0.7781366831164946,33435,4.834073575594437,2.25,1.0,5.5,33435,1.2620572564274122,0.9716599190283401,0.4468498511740712,1.7119565217391304,33435,4.7785927919844475,2.5,1.0,5.5,33435,4.864842231194856,2.25,1.0,5.5,33435,1.2560302073696896,0.9952606635071091,0.47318611987381703,1.7239474185559154,33435,1.2703445413985286,0.9607438016528926,0.43269230769230765,1.7241379310344829,33435,9.643435023179304,5.75,3.25,11.75,33435,2.526374748768218,2.190082644628099,1.7135758776613996,2.890266628440367,33433,0.449425801187225,0.4117647058823529,0.2,0.6666666666666666,9010,2.5,2.0,1.0,4.0,635,3.6535433070866143,4.0,3.0,5.0,9064,2.494263018534863,2.0,1.0,4.0,33419,1.0015859241748706,1.0,1.0,1.0,635,0.862992125984252,1.0,1.0,1.0,635,0.0031496062992125984,0.0,0.0,0.0,IS,B_COMP_MIDHIGH_DIR,5
34024,32335,0.6055357971238596,0.09011906602752436,0.5053347765579094,0.11198391835472399,0.9998144425545075,0.304345136848616,0.09011906602752436,0.6055357971238596,32335,8.26214628111953,4.0,1.75,9.5,32335,2.1666011683921176,1.693548387096774,0.7894736842105263,2.931034482758621,32335,8.04014999226844,4.25,1.75,9.5,32335,8.406865625483222,4.0,1.75,9.5,32335,2.136450392181096,1.7206982543640896,0.8219178082191781,2.906574394463668,32335,2.205229506520176,1.647398843930636,0.7462686567164178,3.0303030303030303,32335,16.447015617751664,10.0,5.5,20.25,32335,4.3416798987012735,3.7735849056603774,2.9741995660892147,4.972023539354859,32335,0.25944078479433,0.22807017543859648,0.1111111111111111,0.37777777777777777,16340,6.009914320685435,5.0,2.0,9.0,3621,9.694007180336923,10.0,7.0,13.0,16393,5.995973891295065,5.0,2.0,9.0,32329,1.0038974295524143,1.0,1.0,1.0,3621,0.7246616956641811,1.0,0.0,1.0,3621,0.033140016570008285,0.0,0.0,0.0,IS,B_COMP_MIDHIGH_DIR,15
34024,30799,0.4244293645897594,0.22715023215039448,0.7235299847397643,0.2917951881554596,0.9999675314133576,0.3484204032598461,0.22715023215039448,0.4244293645897594,30799,11.350660735738174,5.75,2.5,13.25,30799,3.0130103430459587,2.3414634146341466,1.1320754716981132,4.051364498309836,30799,11.125742718919446,6.0,2.5,13.25,30799,11.722612747167116,5.75,2.25,13.5,30799,2.962176236572358,2.4,1.1538461538461537,4.043887147335424,30799,3.1056032107372937,2.2808586762075134,1.0204081632653061,4.212920508989749,30799,22.848355466086563,14.25,7.75,28.25,30799,6.067779447309651,5.271565495207668,4.157542943388994,6.932026365048388,30799,0.18355878126568742,0.15879828326180256,0.07628494386968963,0.26605504587155965,22284,10.944130317716747,9.0,3.0,17.0,8987,18.0735506843218,19.0,12.0,25.0,22319,10.91876876204131,9.0,3.0,17.0,30798,1.0060068835638678,1.0,1.0,1.0,8987,0.6362523645265383,1.0,0.0,1.0,8987,0.07254923778791587,0.0,0.0,0.0,IS,B_COMP_MIDHIGH_DIR,30
34024,27821,0.3047338341540563,0.354803925092556,0.9253441644800691,0.602674238884296,0.9999640559289745,0.3404622407533877,0.354803925092556,0.3047338341540563,27821,15.399078034578196,8.0,3.25,18.5,27821,4.116169345290867,3.1578947368421053,1.4876033057851241,5.577617328519856,27821,15.137989288666834,8.25,3.5,18.25,27821,16.4193235325833,8.0,3.25,19.25,27821,4.040283764014718,3.3009708737864076,1.6103739445114595,5.5159474671669795,27821,4.360535538154602,3.1666666666666665,1.3953488372093024,5.88235294117647,27821,31.557312821250136,19.75,11.0,39.5,27821,8.400819302169321,7.277628032345013,5.675675675675675,9.71830985915493,27821,0.12868172113336906,0.11044776119402985,0.05206164098292378,0.18627450980392157,25744,17.556906463642015,13.0,4.0,28.0,16767,31.325818572195384,31.0,19.0,44.0,25770,17.523360496701592,13.0,4.0,28.0,27820,1.0065780014378145,1.0,1.0,1.0,16767,0.5622353432337329,1.0,0.0,1.0,16767,0.11129003399534801,0.0,0.0,0.0,IS,B_COMP_MIDHIGH_DIR,60
20650,20412,0.029247501469723693,0.7532823829120125,0.29252400548696844,0.9362139917695473,0.2936997844405252,0.21747011561826377,0.7532823829120125,0.029247501469723693,20412,4.669508132471096,2.25,1.0,5.25,20412,1.3286543710985257,0.9849003026157609,0.46153846153846156,1.7542289494619603,20412,4.5957402508328435,2.5,1.0,5.25,20412,4.749326376641191,2.25,1.0,5.25,20412,1.3150676339317113,1.006711409395973,0.47244094488188976,1.748878923766816,20412,1.3398247755924668,0.9824421276834258,0.4386704951354765,1.791044776119403,20412,9.345066627474035,5.5,3.25,11.25,20412,2.6548924095241784,2.2222222222222223,1.7307692307692308,2.9762373453318336,20412,0.4454366706730565,0.4117647058823529,0.2,0.6666666666666666,5971,2.5185061128789146,2.0,1.0,4.0,19110,1.0612244897959184,1.0,1.0,1.0,20405,1.0000980151923549,1.0,1.0,1.0,5995,2.516930775646372,2.0,1.0,4.0,19110,0.8041862899005756,1.0,1.0,1.0,19110,0.00141287284144427,0.0,0.0,0.0,IS,C_EXP_HIGH_DIR,5
20650,19916,0.15098413336011246,0.558445470978108,0.5409720827475397,0.9497389033942559,0.5431813617192207,0.2905703956617795,0.558445470978108,0.15098413336011246,19916,7.819240811407913,4.0,1.5,9.0,19916,2.2364655386038614,1.68,0.7792207792207793,2.9861896681749625,19916,7.72979011849769,4.0,1.75,9.0,19916,8.172863526812613,4.0,1.75,9.25,19916,2.213575541404592,1.7426677000727797,0.8342667672086708,2.96137339055794,19916,2.3289342435230664,1.7137418419144308,0.7792207792207791,3.0961757320664054,19916,15.902653645310304,9.75,5.5,19.25,19916,4.542509784927659,3.841463414634146,3.0215827338129495,5.117827130852341,19916,0.25291738075819475,0.22058823529411764,0.104445165476963,0.3684210526315789,10774,5.927325041767217,5.0,2.0,9.0,18915,1.176526566217288,1.0,1.0,1.0,19912,1.0010546404178384,1.0,1.0,1.0,10818,5.927158439637641,5.0,2.0,9.0,18915,0.8004758128469469,1.0,1.0,1.0,18915,0.0024319323288395454,0.0,0.0,0.0,IS,C_EXP_HIGH_DIR,15
