n,n_valid,rate_still_normal,rate_returned_to_origin_range,rate_reached_opposite_range,rate_terminal_dir_high,rate_terminal_dir_low,rate_p_terminal_normal,rate_p_terminal_origin,rate_p_terminal_opposite,wait_to_event_n,wait_to_event_mean,wait_to_event_median,wait_to_event_p25,wait_to_event_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_leave_normal_n,time_to_leave_normal_mean,time_to_leave_normal_median,time_to_leave_normal_p25,time_to_leave_normal_p75,time_to_origin_range_n,time_to_origin_range_mean,time_to_origin_range_median,time_to_origin_range_p25,time_to_origin_range_p75,time_to_opposite_range_n,time_to_opposite_range_mean,time_to_opposite_range_median,time_to_opposite_range_p25,time_to_opposite_range_p75,path_dir_high_share_n,path_dir_high_share_mean,path_dir_high_share_median,path_dir_high_share_p25,path_dir_high_share_p75,path_dir_low_share_n,path_dir_low_share_mean,path_dir_low_share_median,path_dir_low_share_p25,path_dir_low_share_p75,origin_cell,family,horizon
9283,9174,0.6966426858513189,0.3388925223457598,0.09516023544800523,0.09930237628079355,0.5366252452583388,0.6966426858513189,0.21920645301940267,0.0841508611292784,9174,5.772400261608895,3.0,1.0,8.0,9174,1.2031177934170199,0.9251101321585904,0.4171981372538476,1.6199841311085954,9174,1.1947334647703416,0.9613184298538989,0.44648395958879833,1.662418667712328,9174,1.255921401462755,0.9585565351077374,0.4310602932066901,1.6908024346496515,9174,2.4506548662330965,2.1306818181818183,1.6862721261990616,2.7868931191058333,9174,0.4416546356054663,0.4,0.19047619047619047,0.6666666666666666,3939,2.364051789794364,2.0,1.0,3.0,3109,2.1740109359922806,2.0,1.0,3.0,873,3.124856815578465,3.0,2.0,4.0,9174,0.06681927185524308,0.0,0.0,0.0,9174,0.5883148027032918,0.6,0.2,1.0,A_COMP_LOW_DIR,CompExit,5
9283,8952,0.49865951742627346,0.4812332439678284,0.29702859696157285,0.2229669347631814,0.41242180518319926,0.49865951742627346,0.2623994638069705,0.23894101876675602,8952,5.75949508489723,3.0,1.0,8.0,8952,2.065799173881171,1.5709376954781877,0.7471204973052299,2.8108547262387185,8952,2.036326967816045,1.638655462184874,0.8048079618727222,2.7651389688940093,8952,2.173545716948906,1.634081913800267,0.7457276689200782,2.8959120030548604,8952,4.20987268476495,3.661499230071969,2.890438404650226,4.800448765893792,8952,0.2528958598481859,0.22149783371157417,0.1044776119402985,0.369586364405346,6560,5.489939024390244,4.0,2.0,9.0,4308,4.441039925719592,3.0,1.0,7.0,2659,7.984204588191049,8.0,4.5,11.0,8952,0.13890378313970808,0.0,0.0,0.2,8952,0.5018394399761692,0.5333333333333333,0.2,0.8,A_COMP_LOW_DIR,CompExit,15
9283,8618,0.3611046646553725,0.5954977953121374,0.5025527964724994,0.3434671617544674,0.327106057089812,0.3611046646553725,0.28602924112323047,0.3528660942213971,8618,5.764562543513576,3.0,1.0,8.0,8618,2.939762908140764,2.2758620689655173,1.081243503118503,3.9830869355616265,8618,2.8730722782694,2.3283179878733438,1.1268623300496623,3.91304347826087,8618,3.0717653751643135,2.2730095990965555,1.0276908023483367,4.116881127450981,8618,5.944837653433713,5.147493908806126,4.080673988739072,6.810212608419716,8618,0.18196960539720133,0.15913729128014842,0.07485209067340291,0.2631578947368421,8003,8.995001874297138,6.0,2.0,14.0,5132,8.02045985970382,4.0,2.0,12.0,4331,13.933733548833988,13.0,7.0,21.0,8618,0.21190144658466775,0.1,0.0,0.36666666666666664,8618,0.43369691343699235,0.43333333333333335,0.16666666666666666,0.6666666666666666,A_COMP_LOW_DIR,CompExit,30
9283,7932,0.33295511850731213,0.7818961169944528,0.712178517397882,0.3372415532022189,0.33446797781139687,0.33295511850731213,0.31870902672718104,0.3483358547655068,7932,5.774710035300051,3.0,1.0,8.0,7932,4.119171349667968,3.234413525889398,1.493400808021603,5.598682766190999,7932,3.953634038567753,3.2142857142857144,1.5210801916569217,5.431608598187035,7932,4.356698268923575,3.130566935377296,1.4146847677869576,5.901839264294282,7932,8.31033230749133,7.240321557012905,5.620264667583663,9.579000265876704,7932,0.1308344165055774,0.11409221925482022,0.05263157894736842,0.19083969465648856,7903,11.102113121599393,7.0,2.0,16.0,6202,17.294421154466303,9.0,2.0,30.0,5649,22.47052575677111,19.0,9.0,33.0,7932,0.28506681795259703,0.2,0.05,0.4666666666666667,7932,0.3748445116826358,0.36666666666666664,0.16666666666666666,0.5666666666666667,A_COMP_LOW_DIR,CompExit,60
14913,14667,0.6699393195609191,0.3000613622417672,0.1326106224858526,0.3771732460625895,0.18892752437444604,0.6699393195609191,0.21449512511079294,0.115565555328288,14667,4.772618804118088,3.0,1.0,6.0,14667,1.2110863427705372,0.9312638580931264,0.42452830188679247,1.6630309525729,14667,1.2328487548761797,0.9787556904400607,0.46943832697970694,1.6821000885992738,14667,1.2321419352285468,0.9284332688588007,0.42857142857142855,1.6841306415039135,14667,2.4649906901047265,2.1566110397946088,1.6852242119617278,2.858894979964381,14666,0.4443041135320708,0.40540540540540543,0.2,0.6666666666666666,6302,2.4933354490637893,2.0,1.0,4.0,4401,2.2108611679163825,2.0,1.0,3.0,1945,3.1712082262210797,3.0,2.0,4.0,14667,0.3900047726188042,0.2,0.0,0.8,14667,0.14626031226563035,0.0,0.0,0.2,B_COMP_MIDHIGH_DIR,CompExit,5
14913,14222,0.4503585993531149,0.43045985093517086,0.35916186190409227,0.3689354521164393,0.2659260300942202,0.4503585993531149,0.2590352974265223,0.29060610322036284,14222,4.783926311348615,3.0,1.0,6.0,14222,2.090653450714904,1.6202543183993436,0.7682955052160246,2.8421052631578947,14222,2.0666538186244607,1.6597549238648472,0.8115242258720888,2.8330571299525587,14222,2.143353093774576,1.6016540288134669,0.7393716277974564,2.8843855958168225,14222,4.210006912399036,3.6895960557692145,2.894248608534323,4.834563863538444,14222,0.2587475559053493,0.2245443631998254,0.11088311293509652,0.3761910380837193,10637,5.614270941054809,5.0,2.0,9.0,6122,4.541326363933355,3.0,1.0,7.0,5108,7.5074393108848865,7.0,4.0,11.0,14222,0.37707307926686356,0.26666666666666666,0.0,0.6666666666666666,14222,0.20840481882529416,0.06666666666666667,0.0,0.4,B_COMP_MIDHIGH_DIR,CompExit,15
14913,13599,0.34958452827413783,0.5329803662033973,0.5448194720200015,0.38554305463637034,0.2848003529671299,0.34958452827413783,0.2588425619530848,0.3915729097727774,13599,4.780351496433561,3.0,1.0,6.0,13599,2.89912367050414,2.2471910112359548,1.0310889175257731,3.9505972859012894,13599,2.8326315050635484,2.2946175637393766,1.137121149859829,3.885707903504948,13599,3.0451313397834814,2.25,1.008626459433331,4.1242773832291215,13599,5.877762844847029,5.115931189229618,4.029850746268656,6.7924528301886795,13599,0.1818332467686821,0.15555555555555556,0.07368421052631578,0.26541335686966755,12621,8.806512954599476,6.0,2.0,13.0,7248,8.128449227373068,4.0,2.0,13.0,7409,12.602510460251047,11.0,6.0,19.0,13599,0.3760202956099713,0.3,0.06666666666666667,0.6666666666666666,13599,0.24606711277790036,0.13333333333333333,0.0,0.43333333333333335,B_COMP_MIDHIGH_DIR,CompExit,30
14913,12445,0.3304138208115709,0.7538770590598634,0.7443149859381277,0.3245480112494978,0.3383688228204098,0.3304138208115709,0.3333869023704299,0.3361992768179992,12445,4.814061872237846,3.0,1.0,6.0,12445,3.9996267041702005,3.090909090909091,1.4545454545454546,5.424892703862661,12445,3.880702876185078,3.151969981238274,1.5424739195230999,5.351976856316297,12445,4.242229828012976,3.121238177128117,1.3824884792626728,5.793103448275862,12445,8.122932704198055,7.076612903225806,5.53763440860215,9.43548387096774,12445,0.1291130308188436,0.1111111111111111,0.05263157894736842,0.18716577540106952,12412,10.87987431517886,7.0,3.0,16.0,9382,19.74195267533575,11.0,2.0,36.0,9263,20.681636618806003,16.0,7.0,31.0,12445,0.3726449712066426,0.3,0.11666666666666667,0.6,12445,0.2773041382081157,0.25,0.06666666666666667,0.45,B_COMP_MIDHIGH_DIR,CompExit,60
24298,23958,0.6144085482928459,0.23169713665581435,0.2605810167793639,0.3683112112864179,0.22869187745220804,0.6144085482928459,0.15381083562901746,0.23178061607813674,23958,17.22293179731196,10.0,3.0,25.0,23958,1.2298390628723284,0.9502262443438915,0.4392764857881137,1.6881387963496004,23958,1.2101051890810484,0.9787928221859706,0.45230050408046474,1.6708860759493671,23958,1.258477289555923,0.9527792146062546,0.42567567567567566,1.7545871559633028,23958,2.4685824786369714,2.1839080459770117,1.7142857142857142,2.8435968137254903,23958,0.4464931394801358,0.4105263157894737,0.2,0.6666666666666666,11655,2.6416988416988416,2.0,1.0,4.0,5551,2.2190596288956943,2.0,1.0,3.0,6243,3.0528592023065833,3.0,2.0,4.0,23958,0.4305284247433007,0.4,0.0,1.0,23958,0.17079055012939312,0.0,0.0,0.2,C_EXP_HIGH_DIR,ExpExit,5
24298,23360,0.3966181506849315,0.36498287671232876,0.5430650684931507,0.28326198630136984,0.3586044520547945,0.3966181506849315,0.20008561643835615,0.40329623287671235,23360,17.254152397260274,10.0,3.0,25.0,23360,2.102619321578035,1.669869465950125,0.793816598134147,2.891566265060241,23360,2.0499416114770064,1.6753045300098042,0.8084486525855791,2.8111273792093705,23360,2.1967717411176126,1.7307692307692306,0.7538211120620246,3.0068337129840548,23360,4.246713352594618,3.7704918032786887,2.9897721702605873,4.92638033118321,23360,0.25777766013597686,0.22797927461139897,0.107981220657277,0.37810671971969,19495,5.478327776352911,4.0,2.0,8.0,8526,5.018179685667371,3.0,1.0,8.0,12686,6.454201481948605,6.0,3.0,9.0,23360,0.34611586757990875,0.2,0.0,0.6666666666666666,23360,0.27003139269406395,0.13333333333333333,0.0,0.4666666666666667,C_EXP_HIGH_DIR,ExpExit,15
