n,n_valid,rate_still_normal,rate_returned_to_origin_range,rate_reached_opposite_range,rate_terminal_dir_high,rate_terminal_dir_low,rate_p_terminal_normal,rate_p_terminal_origin,rate_p_terminal_opposite,wait_to_event_n,wait_to_event_mean,wait_to_event_median,wait_to_event_p25,wait_to_event_p75,abs_net_atr_n,abs_net_atr_mean,abs_net_atr_median,abs_net_atr_p25,abs_net_atr_p75,max_up_atr_n,max_up_atr_mean,max_up_atr_median,max_up_atr_p25,max_up_atr_p75,max_down_atr_n,max_down_atr_mean,max_down_atr_median,max_down_atr_p25,max_down_atr_p75,max_range_atr_n,max_range_atr_mean,max_range_atr_median,max_range_atr_p25,max_range_atr_p75,er_forward_n,er_forward_mean,er_forward_median,er_forward_p25,er_forward_p75,time_to_leave_normal_n,time_to_leave_normal_mean,time_to_leave_normal_median,time_to_leave_normal_p25,time_to_leave_normal_p75,time_to_origin_range_n,time_to_origin_range_mean,time_to_origin_range_median,time_to_origin_range_p25,time_to_origin_range_p75,time_to_opposite_range_n,time_to_opposite_range_mean,time_to_opposite_range_median,time_to_opposite_range_p25,time_to_opposite_range_p75,path_dir_high_share_n,path_dir_high_share_mean,path_dir_high_share_median,path_dir_high_share_p25,path_dir_high_share_p75,path_dir_low_share_n,path_dir_low_share_mean,path_dir_low_share_median,path_dir_low_share_p25,path_dir_low_share_p75,split,origin_cell,horizon
6547,6465,0.694199535962877,0.34276875483372005,0.09698375870069606,0.10007733952049497,0.5364269141531323,0.694199535962877,0.21948955916473317,0.0863109048723898,6465,5.703170920340294,3.0,1.0,7.0,6465,1.2308905038062115,0.9419152276295133,0.4178272980501393,1.6603053435114505,6465,1.2141323439576173,0.9836065573770493,0.4522613065326633,1.6932515337423313,6465,1.273050274786092,0.96,0.42613636363636365,1.7142857142857142,6465,2.4871826187437094,2.152173913043478,1.7045454545454546,2.8125,6465,0.44179052604066016,0.4,0.18518518518518517,0.6666666666666666,2805,2.3301247771836007,2.0,1.0,3.0,2216,2.1367328519855597,2.0,1.0,3.0,627,3.118022328548644,3.0,2.0,4.0,6465,0.06836813611755607,0.0,0.0,0.0,6465,0.5904717710750192,0.6,0.2,1.0,IS,A_COMP_LOW_DIR,5
6547,6309,0.49469012521794264,0.4861309240767158,0.30290061816452685,0.2225392296718973,0.4076715802821366,0.49469012521794264,0.26327468695514344,0.24203518782691394,6309,5.690125217942621,3.0,1.0,7.0,6309,2.113927547408004,1.581259150805271,0.7493309545049063,2.8817733990147785,6309,2.084774917040413,1.6770186335403727,0.8149405772495756,2.8085106382978724,6309,2.2109347735470077,1.643258426966292,0.7438016528925621,2.9149797570850207,6309,4.295709690587421,3.7078651685393256,2.9295987887963664,4.8809523809523805,6309,0.251095406598118,0.2176039119804401,0.10204081632653061,0.3670886075949367,4668,5.453727506426735,4.0,2.0,9.0,3067,4.4114770133681125,3.0,1.0,7.0,1911,7.939298796441654,8.0,4.0,11.0,6309,0.14022296190627145,0.0,0.0,0.2,6309,0.5012944470861732,0.5333333333333333,0.2,0.8,IS,A_COMP_LOW_DIR,15
6547,6066,0.36350148367952523,0.5967688757006264,0.5136828222881635,0.34124629080118696,0.3283877349159248,0.36350148367952523,0.2774480712166172,0.3590504451038576,6066,5.707220573689416,3.0,1.0,7.0,6066,3.0293418720641174,2.3265306122448983,1.1170212765957448,4.106025934401221,6066,2.9589734559990872,2.384105960264901,1.153846153846154,4.061116505342804,6066,3.146126577489403,2.307692307692308,1.0256410256410258,4.189755397855956,6066,6.10510003348849,5.253187254567949,4.142857142857143,7.030580357142857,6066,0.18268836315119208,0.15935616262665125,0.0759287734424339,0.26478590226900917,5639,8.823727611278596,6.0,2.0,14.0,3620,7.8234806629834255,4.0,1.0,12.0,3116,13.946726572528883,13.0,7.0,20.0,6066,0.21268820749532916,0.1,0.0,0.36666666666666664,6066,0.4327838223980657,0.43333333333333335,0.16666666666666666,0.6666666666666666,IS,A_COMP_LOW_DIR,30
6547,5575,0.3305829596412556,0.7793721973094171,0.726457399103139,0.3361434977578475,0.3413452914798206,0.3305829596412556,0.30905829596412554,0.36035874439461885,5575,5.713004484304933,3.0,1.0,7.0,5575,4.223191983525572,3.2710280373831777,1.4985679556572533,5.739130434782608,5575,4.054330544127937,3.28125,1.5414207866278904,5.58703957458007,5575,4.462868895236211,3.142857142857143,1.4193837384526602,6.036446994575845,5575,8.517199439364148,7.415730337078652,5.708233313030705,9.869052516111338,5575,0.13056571487774188,0.1111111111111111,0.05161524703778225,0.19083969465648856,5556,10.942044636429086,7.0,2.0,16.0,4345,17.002071346375143,8.0,2.0,30.0,4050,22.453333333333333,19.0,9.0,33.0,5575,0.2844992526158446,0.21666666666666667,0.05,0.4666666666666667,5575,0.3751390134529147,0.36666666666666664,0.16666666666666666,0.5666666666666667,IS,A_COMP_LOW_DIR,60
9882,9726,0.6696483652066626,0.3045445198437179,0.1310919185687847,0.3702447049146617,0.19093152375077113,0.6696483652066626,0.21560764959901296,0.1147439851943245,9726,4.63571869216533,3.0,1.0,6.0,9726,1.2252609638525511,0.9375,0.42857142857142855,1.6716978795496358,9726,1.2541554000404993,0.9991918857404658,0.47628052733952886,1.7142857142857144,9726,1.234654157835317,0.9320176683661303,0.43269230769230765,1.6888092641107453,9726,2.488809557875816,2.1719457013574663,1.6981132075471699,2.8808001169069755,9725,0.44281930709072437,0.40425531914893614,0.2,0.6666666666666666,4201,2.470602237562485,2.0,1.0,4.0,2962,2.203916272788656,2.0,1.0,3.0,1275,3.1380392156862746,3.0,2.0,4.0,9726,0.37871684145589146,0.2,0.0,0.8,9726,0.15007197203372405,0.0,0.0,0.2,IS,B_COMP_MIDHIGH_DIR,5
9882,9435,0.44992050874403816,0.436036036036036,0.36067832538420774,0.3591944886062533,0.27228404875463696,0.44992050874403816,0.2603073661897191,0.2897721250662427,9435,4.64398516163222,3.0,1.0,6.0,9435,2.127856560101111,1.6472545757071546,0.794576718472061,2.864565176584162,9435,2.1193754414290136,1.6964285714285716,0.8333333333333333,2.8966506230632296,9435,2.150409023435174,1.5971223021582732,0.7369714211819475,2.8937538482588767,9435,4.2697844648641885,3.7297297297297294,2.9366165749144475,4.8784707570259105,9435,0.2584291188010169,0.22580645161290322,0.1111111111111111,0.3739130434782609,7097,5.582922361561223,4.0,2.0,9.0,4114,4.474720466699076,3.0,1.0,7.0,3403,7.561563326476638,7.0,4.0,11.0,9435,0.3662462462462463,0.26666666666666666,0.0,0.6666666666666666,9435,0.21368662780427486,0.06666666666666667,0.0,0.4,IS,B_COMP_MIDHIGH_DIR,15
9882,8990,0.3542825361512792,0.5375973303670746,0.5517241379310345,0.3803114571746385,0.28943270300333707,0.3542825361512792,0.2531701890989989,0.3925472747497219,8990,4.641713014460512,3.0,1.0,6.0,8990,2.9497468125282875,2.2763238916256157,1.0589077233947015,4.008097165991903,8990,2.897966841883248,2.3498140025539946,1.1627906976744187,3.97310208225836,8990,3.065608562599662,2.2270742358078603,1.0002691065662002,4.155499755022047,8990,5.963575404482911,5.1974877891075435,4.072182262251503,6.880475270745672,8990,0.181358205511054,0.15555555555555556,0.07430932703659976,0.2660789788591943,8369,8.761620265264668,6.0,2.0,13.0,4833,8.061452513966481,4.0,2.0,12.0,4960,12.724193548387097,11.0,6.0,19.0,8990,0.3676826103077493,0.3,0.06666666666666667,0.6333333333333333,8990,0.2501334816462737,0.16666666666666666,0.0,0.43333333333333335,IS,B_COMP_MIDHIGH_DIR,30
9882,8231,0.3338597983234115,0.7502126108613777,0.753492892722634,0.3242619365812173,0.3383549993925404,0.3338597983234115,0.3196452435913012,0.34649495808528735,8231,4.692625440408213,3.0,1.0,6.0,8231,4.0755970912234085,3.146853146853147,1.4744662380634854,5.4686169080068145,8231,3.9599000496947974,3.2327586206896552,1.5652173913043477,5.454545454545455,8231,4.314414137014009,3.134328358208955,1.348314606741573,5.869565217391305,8231,8.274314186708807,7.195945945945946,5.618374558303887,9.573226260452024,8231,0.1285733192729668,0.1111111111111111,0.05263157894736842,0.1865025527657598,8207,10.756792981601071,7.0,3.0,15.0,6175,19.332793522267206,10.0,2.0,35.0,6202,20.861818768139308,16.0,8.0,31.0,8231,0.36511157008058964,0.3,0.1,0.5833333333333334,8231,0.28180051026606734,0.25,0.06666666666666667,0.45,IS,B_COMP_MIDHIGH_DIR,60
16734,16480,0.616868932038835,0.23938106796116504,0.25309466019417476,0.35570388349514565,0.2411407766990291,0.616868932038835,0.15970873786407766,0.22342233009708737,16480,16.97736650485437,10.0,3.0,24.0,16480,1.245478745912812,0.9498905702431624,0.4411764705882353,1.7180616740088104,16480,1.228593237292963,0.9834191323470611,0.4526591626191143,1.6983895931603774,16480,1.2629891350279134,0.9488501451059714,0.42857142857142855,1.7647058823529411,16480,2.4915823723208765,2.1951219512195124,1.7142857142857144,2.8746928746928746,16480,0.4453279925848258,0.40425531914893614,0.2,0.6666666666666666,8020,2.622693266832918,2.0,1.0,4.0,3945,2.2139416983523446,2.0,1.0,3.0,4171,3.045073123951091,3.0,2.0,4.0,16480,0.41519417475728154,0.2,0.0,0.8,16480,0.180873786407767,0.0,0.0,0.2,IS,C_EXP_HIGH_DIR,5
16734,16089,0.40617813412890796,0.37659270308906706,0.5294300453726148,0.2751569395238983,0.3660264777176953,0.40617813412890796,0.20660078314376282,0.38722108272732925,16089,17.02977189384051,10.0,3.0,24.0,16089,2.1166333071260675,1.6788321167883213,0.7973421926910299,2.909090909090909,16089,2.0783567472581237,1.707317073170732,0.8144796380090498,2.8544776119402986,16089,2.2089828428811984,1.7277486910994766,0.7476635514018692,3.0174081237911023,16089,4.2873395901393225,3.8095238095238093,3.0,4.981132075471698,16089,0.25518662673925824,0.22580645161290322,0.10909090909090909,0.3723404255319149,13380,5.451718983557549,4.0,2.0,8.0,6059,4.996699125268196,3.0,1.0,8.0,8518,6.468302418408077,6.0,3.0,9.0,16089,0.33283195558041734,0.2,0.0,0.6,16089,0.27988480742536315,0.2,0.0,0.5333333333333333,IS,C_EXP_HIGH_DIR,15
