origin_cell,family,horizon,n_valid,rate_still_normal,rate_returned_to_origin_range,rate_reached_opposite_range,abs_net_atr_median,max_range_atr_median,er_forward_median,max_up_atr_median,max_down_atr_median,wait_to_event_median,time_to_leave_normal_median,path_dir_high_share_median,path_dir_low_share_median
A_COMP_LOW_DIR,CompExit,5,9174,0.6966426858513189,0.3388925223457598,0.09516023544800523,0.9251101321585904,2.1306818181818183,0.4,0.9613184298538989,0.9585565351077374,3.0,2.0,0.0,0.6
A_COMP_LOW_DIR,CompExit,15,8952,0.49865951742627346,0.4812332439678284,0.29702859696157285,1.5709376954781877,3.661499230071969,0.22149783371157417,1.638655462184874,1.634081913800267,3.0,4.0,0.0,0.5333333333333333
A_COMP_LOW_DIR,CompExit,30,8618,0.3611046646553725,0.5954977953121374,0.5025527964724994,2.2758620689655173,5.147493908806126,0.15913729128014842,2.3283179878733438,2.2730095990965555,3.0,6.0,0.1,0.43333333333333335
A_COMP_LOW_DIR,CompExit,60,7932,0.33295511850731213,0.7818961169944528,0.712178517397882,3.234413525889398,7.240321557012905,0.11409221925482022,3.2142857142857144,3.130566935377296,3.0,7.0,0.2,0.36666666666666664
B_COMP_MIDHIGH_DIR,CompExit,5,14667,0.6699393195609191,0.3000613622417672,0.1326106224858526,0.9312638580931264,2.1566110397946088,0.40540540540540543,0.9787556904400607,0.9284332688588007,3.0,2.0,0.2,0.0
B_COMP_MIDHIGH_DIR,CompExit,15,14222,0.4503585993531149,0.43045985093517086,0.35916186190409227,1.6202543183993436,3.6895960557692145,0.2245443631998254,1.6597549238648472,1.6016540288134669,3.0,5.0,0.26666666666666666,0.06666666666666667
B_COMP_MIDHIGH_DIR,CompExit,30,13599,0.34958452827413783,0.5329803662033973,0.5448194720200015,2.2471910112359548,5.115931189229618,0.15555555555555556,2.2946175637393766,2.25,3.0,6.0,0.3,0.13333333333333333
B_COMP_MIDHIGH_DIR,CompExit,60,12445,0.3304138208115709,0.7538770590598634,0.7443149859381277,3.090909090909091,7.076612903225806,0.1111111111111111,3.151969981238274,3.121238177128117,3.0,7.0,0.3,0.25
C_EXP_HIGH_DIR,ExpExit,5,23958,0.6144085482928459,0.23169713665581435,0.2605810167793639,0.9502262443438915,2.1839080459770117,0.4105263157894737,0.9787928221859706,0.9527792146062546,10.0,2.0,0.4,0.0
C_EXP_HIGH_DIR,ExpExit,15,23360,0.3966181506849315,0.36498287671232876,0.5430650684931507,1.669869465950125,3.7704918032786887,0.22797927461139897,1.6753045300098042,1.7307692307692306,10.0,4.0,0.2,0.13333333333333333
C_EXP_HIGH_DIR,ExpExit,30,22560,0.34175531914893614,0.49946808510638296,0.6844858156028368,2.3750183768057633,5.3164556962025316,0.1590909090909091,2.34375,2.3870333988212185,10.0,5.0,0.2,0.3
C_EXP_HIGH_DIR,ExpExit,60,20567,0.33437059366947053,0.7071036125832645,0.8317207176544951,3.1690140845070425,7.36462093862816,0.10857142857142857,3.2193396226415096,3.260869565217391,10.0,6.0,0.23333333333333334,0.31666666666666665
D_EXP_LOW_DIR,ExpExit,5,5531,0.6273729886096546,0.36828783221840533,0.12402820466461761,0.9656652360515021,2.228915662650602,0.4074074074074074,1.0344827586206897,0.963302752293578,4.0,2.0,0.0,0.8
D_EXP_LOW_DIR,ExpExit,15,5367,0.422209800633501,0.5332588038010061,0.3329606856716974,1.6298811544991512,3.8481675392670156,0.21739130434782608,1.7647058823529411,1.6,4.0,4.0,0.0,0.5333333333333333
D_EXP_LOW_DIR,ExpExit,30,5231,0.3588224048939017,0.6480596444274517,0.5364175109921621,2.3529411764705883,5.3097345132743365,0.15529753265602322,2.513089005235602,2.2666666666666666,4.0,5.0,0.1,0.43333333333333335
D_EXP_LOW_DIR,ExpExit,60,4789,0.3393192733347254,0.8053873460012528,0.7611192315723533,3.202511773940345,7.5,0.10569105691056911,3.4782608695652173,3.069767441860465,4.0,6.0,0.2,0.38333333333333336
