covariate,level,family,contrast_tag,contrast,horizon,n_a,n_b,eligible,return_rate_a,return_rate_b,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_a,opposite_rate_b,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
volatility_state,HIGH_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,30,3111,5466,True,0.5419479267116682,0.48115623856567874,-0.06079168814598951,-0.08278392146581658,-0.038897935375939066,-1,0.5197685631629702,0.5806805708013172,0.06091200763834703,0.039043337141298,0.08280930530062,1
volatility_state,LOW_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,30,2650,3810,True,0.659622641509434,0.6015748031496063,-0.05804783835982763,-0.08195839216451961,-0.03435374800275769,-1,0.4607547169811321,0.5018372703412074,0.041082553360075325,0.0163991564989855,0.06585546422086577,1
volatility_state,NORMAL_VOLATILITY,CompExit,CompExit_A_vs_B,B_minus_A,30,2857,4323,True,0.5943297164858243,0.5380522785102938,-0.05627743797553053,-0.07968734209880565,-0.03301987482878949,-1,0.5225761288064403,0.5373583159842702,0.014782187177829864,-0.008794780622177877,0.03835388609054333,1
volume_state,HIGH_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,30,2131,3978,True,0.5251055842327546,0.48265460030165913,-0.04245098393109542,-0.06875835994876991,-0.016236272930274843,-1,0.5541999061473487,0.5816993464052288,0.027499440257880092,0.0014021703481786017,0.0535315810844696,1
volume_state,LOW_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,30,3233,4233,True,0.6643983915867615,0.5946137491141035,-0.06978464247265803,-0.091854915724417,-0.04788776783031228,-1,0.4587070832044541,0.5001181195369714,0.041411036332517304,0.018614488844402043,0.06428141453855765,1
volume_state,NORMAL_VOLUME,CompExit,CompExit_A_vs_B,B_minus_A,30,3254,5388,True,0.573140749846343,0.5217149220489977,-0.05142582779734528,-0.07307775297451202,-0.029890475811704495,-1,0.5122925629993854,0.552709725315516,0.04041716231613057,0.018731598489893826,0.06212573578050917,1
tod_block,FIRST_30,CompExit,CompExit_A_vs_B,B_minus_A,30,506,1516,True,0.7806324110671937,0.7203166226912929,-0.06031578837590079,-0.1043172773484891,-0.019302841317486025,-1,0.46047430830039526,0.4630606860158311,0.0025863777154358503,-0.047208342342985724,0.052802857808489485,1
tod_block,1000_1200,CompExit,CompExit_A_vs_B,B_minus_A,30,2945,4533,True,0.5286926994906621,0.4299580851533201,-0.09873461433734199,-0.12186933549282644,-0.07573235764469806,-1,0.5524617996604414,0.6229869843370837,0.07052518467664226,0.04771006105489088,0.09336151908175092,1
tod_block,1200_1400,CompExit,CompExit_A_vs_B,B_minus_A,30,3109,4142,True,0.5995496944355098,0.5364558184451955,-0.06309387599031424,-0.086114670628502,-0.040212685592700546,-1,0.49501447410743005,0.5383872525350072,0.04337277842757714,0.020188883683074837,0.0666124943615806,1
tod_block,1400_1600,CompExit,CompExit_A_vs_B,B_minus_A,30,2058,3408,True,0.6394557823129252,0.5824530516431925,-0.057002730669732715,-0.08367197101851771,-0.03062374386818678,-1,0.45286686103012636,0.4850352112676056,0.03216835023747927,0.004970860416538759,0.059483560785303036,1
