slice,family,contrast_tag,contrast,horizon,n_a,n_b,eligible,return_rate_a,return_rate_b,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_a,opposite_rate_b,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
POOLED,CompExit,CompExit_A_vs_B,B_minus_A,30,8618,13599,True,0.5954977953121374,0.5329803662033973,-0.06251742910874014,-0.07587231603340243,-0.049216975277197296,-1,0.5025527964724994,0.5448194720200015,0.042266675547502075,0.028804258242343943,0.0557430389883198,1
IS,CompExit,CompExit_A_vs_B,B_minus_A,30,6066,8990,True,0.5967688757006264,0.5375973303670746,-0.059171545333551845,-0.07528574373547048,-0.04313078483462719,-1,0.5136828222881635,0.5517241379310345,0.03804131564287094,0.021808245532066752,0.0542889409063501,1
Validation,CompExit,CompExit_A_vs_B,B_minus_A,30,1619,2985,True,0.586781964175417,0.5112227805695142,-0.07555918360590275,-0.1056349522053094,-0.045795135958299635,-1,0.4749845583693638,0.5423785594639866,0.06739400109462279,0.037318597628852604,0.09762935342488287,1
OOS,CompExit,CompExit_A_vs_B,B_minus_A,30,933,1624,True,0.602357984994641,0.5474137931034483,-0.054944191891192706,-0.09479565866493822,-0.015620656620899183,-1,0.4780278670953912,0.5110837438423645,0.033055876746973356,-0.007017106467466741,0.07330401584619034,1
POOLED,CompExit,CompExit_A_vs_B,B_minus_A,60,7932,12445,True,0.7818961169944528,0.7538770590598634,-0.028019057934589475,-0.03989990528414159,-0.016247654664251408,-1,0.712178517397882,0.7443149859381277,0.032136468540245766,0.01953176389183688,0.04467030227473042,1
IS,CompExit,CompExit_A_vs_B,B_minus_A,60,5575,8231,True,0.7793721973094171,0.7502126108613777,-0.0291595864480394,-0.043579425011411266,-0.014879427798311232,-1,0.726457399103139,0.753492892722634,0.027035493619494977,0.012035169661770278,0.04193905251674065,1
Validation,CompExit,CompExit_A_vs_B,B_minus_A,60,1492,2734,True,0.792225201072386,0.7520117044623262,-0.040213496610059796,-0.06676953730498986,-0.014399811316021766,-1,0.6849865951742627,0.7282370153621068,0.043250420187844085,0.014195119595246906,0.07190033015880051,1
OOS,CompExit,CompExit_A_vs_B,B_minus_A,60,865,1480,True,0.7803468208092486,0.7777027027027027,-0.0026441181065458563,-0.03796325867941261,0.03158572848664599,-1,0.6670520231213873,0.722972972972973,0.05592094985158569,0.016904552179189437,0.09442116153682062,1
POOLED,ExpExit,ExpExit_C_vs_D,D_minus_C,30,22560,5231,True,0.49946808510638296,0.6480596444274517,0.1485915593210687,0.13419884050803105,0.16317839253437064,1,0.6844858156028368,0.5364175109921621,-0.14806830461067477,-0.16286428766141017,-0.13324928403719372,-1
IS,ExpExit,ExpExit_C_vs_D,D_minus_C,30,15498,3849,True,0.5134856110465866,0.6614705118212523,0.14798490077466564,0.13123749713484664,0.16501410348526524,1,0.6709898051361466,0.5315666406858924,-0.13942316445025416,-0.1568193127683805,-0.12200604544590932,-1
Validation,ExpExit,ExpExit_C_vs_D,D_minus_C,30,4620,853,True,0.467965367965368,0.6377491207502931,0.16978375278492513,0.1351011881668182,0.20561574060830531,1,0.7166666666666667,0.5205158264947245,-0.19615084017194218,-0.23201560874894422,-0.16024490908688088,-1
OOS,ExpExit,ExpExit_C_vs_D,D_minus_C,30,2442,529,True,0.4701064701064701,0.5671077504725898,0.09700128036611966,0.05096749640867563,0.14395070793188783,1,0.7092547092547092,0.5973534971644613,-0.11190121209024795,-0.15676256248057396,-0.06601215532232091,-1
POOLED,ExpExit,ExpExit_C_vs_D,D_minus_C,60,20567,4789,True,0.7071036125832645,0.8053873460012528,0.09828373341798835,0.08565744020840058,0.11130057102254673,1,0.8317207176544951,0.7611192315723533,-0.07060148608214178,-0.08354536157758384,-0.05732049081509466,-1
IS,ExpExit,ExpExit_C_vs_D,D_minus_C,60,14078,3534,True,0.7224037505327461,0.8203169213355971,0.097913170802851,0.08352210146443347,0.11284353312984383,1,0.8215655632902401,0.7507074136955292,-0.07085814959471093,-0.0862437413242017,-0.05504603184008535,-1
Validation,ExpExit,ExpExit_C_vs_D,D_minus_C,60,4245,775,True,0.6732626619552414,0.7574193548387097,0.08415669288346828,0.05196448467253123,0.11851554769534059,1,0.8588928150765607,0.792258064516129,-0.06663475056043167,-0.09579467335111501,-0.03499285624777552,-1
OOS,ExpExit,ExpExit_C_vs_D,D_minus_C,60,2244,480,True,0.6751336898395722,0.7729166666666667,0.09778297682709447,0.057440624841486695,0.14169691314570823,1,0.8440285204991087,0.7875,-0.056528520499108725,-0.09415407137116558,-0.015129772409434347,-1
