wait_stratum,family,contrast_tag,contrast,horizon,n_a,n_b,eligible,return_rate_a,return_rate_b,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_a,opposite_rate_b,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
SHORT,CompExit,CompExit_A_vs_B,B_minus_A,30,3641,6358,True,0.6492721779730843,0.5962566844919787,-0.05301549348110568,-0.07273624496518666,-0.033471667054194756,-1,0.47212304312002196,0.4992135891789871,0.02709054605896516,0.00677553197596226,0.047451814744335304,1
MEDIUM,CompExit,CompExit_A_vs_B,B_minus_A,30,2059,3487,True,0.5968916949975717,0.5276742185259535,-0.06921747647161813,-0.0962186425082256,-0.04246300721711056,-1,0.48227294803302573,0.5483223401204473,0.06604939208742161,0.03895022921390299,0.09326563374461269,1
LONG,CompExit,CompExit_A_vs_B,B_minus_A,30,2918,3754,True,0.5274160383824538,0.4307405434203516,-0.09667549496210215,-0.12079885949817025,-0.07269962050088918,-1,0.5548320767649074,0.6188066062866276,0.06397452952172022,0.04021000820931761,0.08778839549726866,1
SHORT,CompExit,CompExit_A_vs_B,B_minus_A,60,3353,5841,True,0.8046525499552639,0.783427495291902,-0.021225054663361886,-0.038462687759719325,-0.004304791030059277,-1,0.692514166418133,0.716829310049649,0.02431514363151599,0.004800340994494754,0.04364527988258128,1
MEDIUM,CompExit,CompExit_A_vs_B,B_minus_A,60,1901,3152,True,0.775907417148869,0.7611040609137056,-0.014803356235163379,-0.038973776167998714,0.008891162007552297,-1,0.6896370331404524,0.7439720812182741,0.054335048077821635,0.02843432764543603,0.07996999526033824,1
LONG,CompExit,CompExit_A_vs_B,B_minus_A,60,2678,3452,True,0.7576549663928305,0.6972769409038239,-0.060378025489006615,-0.08281204301440251,-0.038179496156952916,-1,0.7528005974607916,0.791135573580533,0.03833497611974135,0.017032947436035107,0.05949321524448391,1
SHORT,ExpExit,ExpExit_C_vs_D,D_minus_C,30,6916,2728,True,0.550028918449971,0.6825513196480938,0.13252240119812275,0.1116917409156778,0.1537483306235639,1,0.6341816078658183,0.5080645161290323,-0.1261170917367861,-0.14806104492004302,-0.10423088879351072,-1
MEDIUM,ExpExit,ExpExit_C_vs_D,D_minus_C,30,6995,1890,True,0.49878484631879916,0.6222222222222222,0.12343737590342307,0.0988748705111339,0.14843745798598929,1,0.6763402430307363,0.5608465608465608,-0.11549368218417544,-0.14032139691811113,-0.09052957459460531,-1
LONG,ExpExit,ExpExit_C_vs_D,D_minus_C,30,8649,613,True,0.4595907041276448,0.5742251223491027,0.11463441822145792,0.0746732839668226,0.155497642583584,1,0.73129841600185,0.5872756933115824,-0.1440227226902676,-0.1834822804724943,-0.10355421631566897,-1
SHORT,ExpExit,ExpExit_C_vs_D,D_minus_C,60,6346,2506,True,0.7433028679483139,0.8355945730247406,0.0922917050764267,0.07455663571170056,0.11067699532066662,1,0.8047589032461393,0.7402234636871509,-0.06453543955898844,-0.08404694174105846,-0.04456684030853982,-1
MEDIUM,ExpExit,ExpExit_C_vs_D,D_minus_C,60,6402,1728,True,0.7160262417994376,0.78125,0.06522375820056237,0.04330582283517785,0.08809920184988398,1,0.8213058419243986,0.7800925925925926,-0.041213249331806034,-0.06239709122070263,-0.019076693012298414,-1
LONG,ExpExit,ExpExit_C_vs_D,D_minus_C,60,7819,555,True,0.6704182120475765,0.7441441441441441,0.07372593209656764,0.03762688060117957,0.11300419731498978,1,0.8621307072515667,0.7963963963963964,-0.06573431085517034,-0.09810406220104975,-0.029471809560035582,-1
