component,mean_c,mean_d,smd_d_minus_c,n_c_finite,n_d_finite
te_er_60,0.17658437452319148,0.0649491061569013,-2.0600489766362378,24298,5605
te_er_30,0.1587275523720476,0.18341459355948975,0.21310631052241172,24298,5605
te_er_120,0.11082729883060492,0.07125062242322347,-0.6297068707725013,24182,5571
te_path_60,195.84188862537627,187.3379249706917,-0.042327353856771,21926,5118
te_abs_net_60,34.47346757274469,12.321121531848378,-0.7214650150442179,21926,5118
te_signed_net_60,1.796736750889355,0.713853067604533,-0.02697896695615439,21926,5118
er_60_change,-0.024690717193939792,-0.002905923075350276,0.5740194308307153,24298,5605
te_signed_net_5,-0.28267534649307013,-0.7860302248433468,-0.03620596087441582,23810,5426
tm_er_60,0.20127509171713126,0.06785502923225158,-2.747345751547473,24298,5605
tm_path_60,197.11986207212573,187.45634452956196,-0.047866813207602575,21823,5091
tm_abs_net_60,39.571587316134355,13.327980750343745,-0.781826102242974,21823,5091
