feature,origin_cell,bin,n,return_rate,opposite_rate,mean_feature
te_er_60,C_EXP_HIGH_DIR,T1,4235,0.47508854781582055,0.7017709563164108,0.08575109830609708
te_er_60,C_EXP_HIGH_DIR,T2,8556,0.4398083216456288,0.7509350163627864,0.15700335235187296
te_er_60,C_EXP_HIGH_DIR,T3,9769,0.5622888729655031,0.6187941447435766,0.23232093672389056
te_er_60,D_EXP_LOW_DIR,T1,4590,0.6742919389978214,0.4993464052287582,0.05350213384049065
te_er_60,D_EXP_LOW_DIR,T2,590,0.4559322033898305,0.7966101694915254,0.14337463952076426
te_er_60,D_EXP_LOW_DIR,T3,51,0.5098039215686274,0.8627450980392157,0.20639365545594232
te_path_60,C_EXP_HIGH_DIR,NA,2372,0.4991568296795953,0.642495784148398,
te_path_60,C_EXP_HIGH_DIR,T1,4569,0.5309695775880937,0.663383672576056,36.680181659006344
te_path_60,C_EXP_HIGH_DIR,T2,4623,0.5252000865239023,0.663854639844257,73.73361453601558
te_path_60,C_EXP_HIGH_DIR,T3,10996,0.47562750090942163,0.7109858130229174,316.96773826846123
te_path_60,D_EXP_LOW_DIR,NA,487,0.5687885010266941,0.6591375770020534,
te_path_60,D_EXP_LOW_DIR,T1,1192,0.6644295302013423,0.5478187919463087,37.585151006711406
te_path_60,D_EXP_LOW_DIR,T2,1255,0.698804780876494,0.48446215139442234,72.74621513944223
te_path_60,D_EXP_LOW_DIR,T3,2297,0.6286460600783631,0.5328689595124075,326.3324989116239
