feature,bin,horizon,n_c,n_d,eligible,mean_feature_c,mean_feature_d,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,return_sign,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,opposite_sign
te_er_60,T1,30,4235,4590,True,0.08575109830609708,0.05350213384049065,0.47508854781582055,0.6742919389978214,0.1992033911820008,0.1790767409266468,0.2195587618019667,1,0.7017709563164108,0.4993464052287582,-0.20242455108765267,-0.22252074966087868,-0.18258139095063353,-1
te_er_60,T2,30,8556,590,True,0.15700335235187296,0.14337463952076426,0.4398083216456288,0.4559322033898305,0.016123881744201707,-0.02556199173655515,0.05727200124361791,1,0.7509350163627864,0.7966101694915254,0.04567515312873904,0.013783690714007361,0.08119777262193288,1
te_er_60,T3,30,9769,51,False,0.23232093672389056,0.20639365545594232,0.5622888729655031,0.5098039215686274,-0.0524849513968757,-0.184477240931953,0.08087343780168352,-1,0.6187941447435766,0.8627450980392157,0.2439509532956391,0.1741324385539837,0.3642977042916976,1
te_er_60,T1,60,3842,4187,True,0.08580718544232589,0.05387478240715923,0.7043206663196252,0.8208741342249821,0.11655346790535692,0.09805692459026308,0.13510097285952014,1,0.8375845913586674,0.7439694291855744,-0.09361516217309296,-0.11130056611388758,-0.07604059187285654,-1
te_er_60,T2,60,7843,551,True,0.15711395509976925,0.14328953868554012,0.6682391941858983,0.6987295825771325,0.03049038839123419,-0.007803530333434901,0.07139576027809115,1,0.8647201326023205,0.8820326678765881,0.01731253527426757,-0.008217350588511411,0.04783680672617405,1
te_er_60,T3,60,8882,51,False,0.23239361779384157,0.20639365545594232,0.7426255347894618,0.6862745098039216,-0.05635102498554023,-0.16718355947155367,0.08049141505941412,-1,0.800045034902049,0.8627450980392157,0.0627000631371667,-0.006958737874298154,0.18294376184554015,1
te_path_60,NA,30,2372,487,True,,,0.4991568296795953,0.5687885010266941,0.0696316713470988,0.021911812497404072,0.11833130188815558,1,0.642495784148398,0.6591375770020534,0.016641792853655413,-0.028496046064279093,0.06385055642262753,1
te_path_60,T1,30,4569,1192,True,36.680181659006344,37.585151006711406,0.5309695775880937,0.6644295302013423,0.1334599526132486,0.10348479065941302,0.16433977800752939,1,0.663383672576056,0.5478187919463087,-0.11556488062974735,-0.14684659542612033,-0.08412669639729048,-1
te_path_60,T2,30,4623,1255,True,73.73361453601558,72.74621513944223,0.5252000865239023,0.698804780876494,0.17360469435259174,0.14497021936877275,0.20327370327522476,1,0.663854639844257,0.48446215139442234,-0.17939248844983463,-0.2102766263720868,-0.14871373329692897,-1
te_path_60,T3,30,10996,2297,True,316.96773826846123,326.3324989116239,0.47562750090942163,0.6286460600783631,0.15301855916894147,0.1313775163519223,0.17505525749963982,1,0.7109858130229174,0.5328689595124075,-0.17811685351050988,-0.200171337072442,-0.1560175654500412,-1
te_path_60,NA,60,2366,486,True,,,0.7565511411665258,0.8395061728395061,0.08295503167298035,0.048163483029337914,0.12205828170192137,1,0.7802197802197802,0.7407407407407407,-0.039479039479039524,-0.08022286710120748,0.004375115750773172,-1
te_path_60,T1,60,3999,1091,True,36.729619904976246,37.547204399633365,0.7246811702925732,0.8038496791934006,0.07916850890082738,0.05265692435626422,0.10729927193361459,1,0.821955488872218,0.770852428964253,-0.05110305990796504,-0.07797706995977444,-0.02277869681774123,-1
te_path_60,T2,60,4150,1120,True,73.79204819277109,72.48928571428571,0.7291566265060241,0.8517857142857143,0.12262908777969017,0.0986946968872168,0.14834845482603926,1,0.8142168674698795,0.7214285714285714,-0.09278829604130812,-0.12099048072451363,-0.06344553381990833,-1
