metric_family,horizon,split,n_c,n_d,eligible,return_rate_c,return_rate_d,return_diff,return_diff_ci_lo,return_diff_ci_hi,opposite_rate_c,opposite_rate_d,opposite_diff,opposite_diff_ci_lo,opposite_diff_ci_hi,origin_cell,feature,n,mean,p10,p25,p50,p75,p90,frac_gt_0,frac_gt_5,frac_gt_10,frac_gt_15,frac_gt_20,n_reached,n_events,frac_reached,rate,note
destination_contrast,5,ALL,4475.0,4853.0,True,0.15418994413407822,0.3857407788996497,0.23155083476557148,0.2143558980787788,0.24896548209884395,0.3188826815642458,0.09705336905007211,-0.2218293125141737,-0.237858384547446,-0.20586713080444802,,,,,,,,,,,,,,,,,,,
destination_contrast,15,ALL,4348.0,4706.0,True,0.3134774609015639,0.5611984700382491,0.24772100913668516,0.2281011128834435,0.2676420674514824,0.5745170193192273,0.28793030174245643,-0.28658671757677084,-0.3063222762999368,-0.267178503484031,,,,,,,,,,,,,,,,,,,
destination_contrast,30,ALL,4235.0,4590.0,True,0.47508854781582055,0.6742919389978214,0.1992033911820008,0.1790767409266468,0.2195587618019667,0.7017709563164108,0.4993464052287582,-0.20242455108765267,-0.22252074966087868,-0.18258139095063353,,,,,,,,,,,,,,,,,,,
destination_contrast,60,ALL,3842.0,4187.0,True,0.7043206663196252,0.8208741342249821,0.11655346790535692,0.09805692459026308,0.13510097285952014,0.8375845913586674,0.7439694291855744,-0.09361516217309296,-0.11130056611388758,-0.07604059187285654,,,,,,,,,,,,,,,,,,,
destination_contrast,30,IS,3159.0,3360.0,True,0.49382716049382713,0.6863095238095238,0.19248236331569668,0.16918801517382104,0.2160725202563548,0.693573915796138,0.49404761904761907,-0.19952629674851896,-0.22301036390700707,-0.17637612934823516,,,,,,,,,,,,,,,,,,,
destination_contrast,30,Validation,695.0,754.0,True,0.4503597122302158,0.6830238726790451,0.23266416044882926,0.18389480144217613,0.2830794868843898,0.697841726618705,0.47745358090185674,-0.22038814571684828,-0.2704723601640074,-0.17197338979329066,,,,,,,,,,,,,,,,,,,
destination_contrast,30,OOS,381.0,476.0,True,0.3648293963254593,0.5756302521008403,0.210800855775381,0.14684886025671723,0.27755908702476306,0.7769028871391076,0.5714285714285714,-0.2054743157105362,-0.2678166775984465,-0.14608618724753525,,,,,,,,,,,,,,,,,,,
excursion,5,,,,,,,,,,,,,,,POOLED,max_up,9328.0,6.946129931389366,0.5,1.25,3.0,8.0,18.75,0.9584048027444254,0.3596698113207547,0.2047598627787307,0.1280017152658662,0.08780017152658662,,,,,
excursion,5,,,,,,,,,,,,,,,POOLED,max_down,9328.0,7.519993567753001,0.25,1.0,3.0,8.75,19.5,0.9465051457975986,0.366852487135506,0.2159090909090909,0.1381861063464837,0.09669811320754718,,,,,
excursion,5,,,,,,,,,,,,,,,POOLED,abs_max_excursion,9328.0,11.405419168096055,1.5,2.5,6.0,14.5,28.0,1.0,0.5405231560891939,0.3506646655231561,0.23960120068610635,0.17270583190394512,,,,,
excursion,5,,,,,,,,,,,,,,,POOLED,net_displacement,9328.0,-0.31394725557461406,-11.0,-3.0,0.0,3.0,10.0,0.4933533447684391,0.1753859348198971,0.09873499142367066,0.06325042881646656,0.03977272727272727,,,,,
