block,dimension,state,observations,pct,block_n
NY_AM,directionality,HIGH_DIRECTIONALITY,194081,36.16151114390374,536706
NY_AM,directionality,MID_DIRECTIONALITY,173929,32.40675528128994,536706
NY_AM,directionality,LOW_DIRECTIONALITY,168696,31.43173357480632,536706
NY_AM,volatility,HIGH_VOLATILITY,296383,55.22259859215287,536706
NY_AM,volatility,NORMAL_VOLATILITY,171540,31.961632625683336,536706
NY_AM,volatility,LOW_VOLATILITY,68783,12.815768782163792,536706
NY_AM,volume,NORMAL_VOLUME,228988,42.66544439600079,536706
NY_AM,volume,HIGH_VOLUME,187915,35.012651246678814,536706
NY_AM,volume,LOW_VOLUME,119803,22.321904357320395,536706
NY_AM,range,COMPRESSION,186404,34.73111908568192,536706
NY_AM,range,EXPANSION,182549,34.01284874773153,536706
NY_AM,range,NORMAL_RANGE,167753,31.256032166586547,536706
NY_AM,composite,TRENDING,194081,36.16151114390374,536706
NY_AM,composite,CHOP_RANGE,168696,31.43173357480632,536706
NY_AM,composite,COMPRESSION,68292,12.724284803970889,536706
NY_AM,composite,HIGH_ACTIVITY,41031,7.644967635912399,536706
NY_AM,composite,EXPANSION,39404,7.341822152165245,536706
NY_AM,composite,TRANSITION_MIXED,19774,3.6843262419276104,536706
NY_AM,composite,LOW_ACTIVITY,5428,1.0113544473137994,536706
NY_MIDDAY,directionality,LOW_DIRECTIONALITY,143648,33.90515393838688,423676
NY_MIDDAY,directionality,MID_DIRECTIONALITY,142621,33.66275172537505,423676
NY_MIDDAY,directionality,HIGH_DIRECTIONALITY,137407,32.432094336238066,423676
NY_MIDDAY,volatility,LOW_VOLATILITY,157094,37.078805502317806,423676
NY_MIDDAY,volatility,NORMAL_VOLATILITY,142690,33.67903775526582,423676
NY_MIDDAY,volatility,HIGH_VOLATILITY,123892,29.242156742416373,423676
NY_MIDDAY,volume,NORMAL_VOLUME,144464,34.09775394405159,423676
NY_MIDDAY,volume,LOW_VOLUME,140161,33.082119355356454,423676
NY_MIDDAY,volume,HIGH_VOLUME,139051,32.82012670059196,423676
NY_MIDDAY,range,EXPANSION,147006,34.69774072640414,423676
NY_MIDDAY,range,NORMAL_RANGE,145415,34.3222179212417,423676
NY_MIDDAY,range,COMPRESSION,131255,30.980041352354156,423676
NY_MIDDAY,composite,CHOP_RANGE,143648,33.90515393838688,423676
NY_MIDDAY,composite,TRENDING,137407,32.432094336238066,423676
NY_MIDDAY,composite,COMPRESSION,46266,10.920137085886385,423676
NY_MIDDAY,composite,EXPANSION,34509,8.145139210151154,423676
NY_MIDDAY,composite,HIGH_ACTIVITY,25967,6.128975915558115,423676
NY_MIDDAY,composite,TRANSITION_MIXED,21995,5.191467064454914,423676
NY_MIDDAY,composite,LOW_ACTIVITY,13884,3.277032449324484,423676
NY_PM,directionality,LOW_DIRECTIONALITY,144482,34.60903683866347,417469
NY_PM,directionality,MID_DIRECTIONALITY,140963,33.76609999784415,417469
NY_PM,directionality,HIGH_DIRECTIONALITY,132024,31.62486316349238,417469
NY_PM,volatility,LOW_VOLATILITY,160236,38.382730214698576,417469
NY_PM,volatility,NORMAL_VOLATILITY,134083,32.1180734377882,417469
NY_PM,volatility,HIGH_VOLATILITY,123150,29.49919634751323,417469
NY_PM,volume,LOW_VOLUME,148623,35.600966778371564,417469
NY_PM,volume,NORMAL_VOLUME,136218,32.62948865664277,417469
NY_PM,volume,HIGH_VOLUME,132628,31.769544564985665,417469
NY_PM,range,COMPRESSION,160086,38.34679940306945,417469
NY_PM,range,NORMAL_RANGE,140773,33.720587636447256,417469
NY_PM,range,EXPANSION,116610,27.932612960483294,417469
NY_PM,composite,CHOP_RANGE,144482,34.60903683866347,417469
NY_PM,composite,TRENDING,132024,31.62486316349238,417469
NY_PM,composite,COMPRESSION,58310,13.967504173962618,417469
NY_PM,composite,HIGH_ACTIVITY,24281,5.816240247778877,417469
NY_PM,composite,EXPANSION,23860,5.715394436473128,417469
NY_PM,composite,TRANSITION_MIXED,20632,4.942163370214315,417469
NY_PM,composite,LOW_ACTIVITY,13880,3.324797769415214,417469
FIRST_30,directionality,HIGH_DIRECTIONALITY,43136,40.48048048048048,106560
FIRST_30,directionality,MID_DIRECTIONALITY,32542,30.538663663663662,106560
FIRST_30,directionality,LOW_DIRECTIONALITY,30882,28.980855855855857,106560
FIRST_30,volatility,HIGH_VOLATILITY,46269,43.420608108108105,106560
FIRST_30,volatility,NORMAL_VOLATILITY,39942,37.483108108108105,106560
FIRST_30,volatility,LOW_VOLATILITY,20349,19.096283783783782,106560
FIRST_30,volume,NORMAL_VOLUME,51122,47.974849849849846,106560
FIRST_30,volume,HIGH_VOLUME,37771,35.44575825825826,106560
FIRST_30,volume,LOW_VOLUME,17667,16.57939189189189,106560
FIRST_30,range,COMPRESSION,57752,54.1966966966967,106560
FIRST_30,range,NORMAL_RANGE,29182,27.38551051051051,106560
FIRST_30,range,EXPANSION,19626,18.417792792792792,106560
FIRST_30,composite,TRENDING,43136,40.48048048048048,106560
FIRST_30,composite,CHOP_RANGE,30882,28.980855855855857,106560
FIRST_30,composite,COMPRESSION,22152,20.78828828828829,106560
FIRST_30,composite,HIGH_ACTIVITY,4607,4.323385885885886,106560
FIRST_30,composite,TRANSITION_MIXED,2791,2.6191816816816815,106560
FIRST_30,composite,EXPANSION,2273,2.1330705705705704,106560
FIRST_30,composite,LOW_ACTIVITY,719,0.6747372372372372,106560
FIRST_60,directionality,HIGH_DIRECTIONALITY,83580,39.080180298127814,213868
FIRST_60,directionality,MID_DIRECTIONALITY,65950,30.836777825574654,213868
FIRST_60,directionality,LOW_DIRECTIONALITY,64338,30.08304187629753,213868
FIRST_60,volatility,HIGH_VOLATILITY,123215,57.612639572072496,213868
FIRST_60,volatility,NORMAL_VOLATILITY,65590,30.668449697944528,213868
FIRST_60,volatility,LOW_VOLATILITY,25063,11.71891072998298,213868
FIRST_60,volume,NORMAL_VOLUME,99278,46.420221819065965,213868
FIRST_60,volume,HIGH_VOLUME,76286,35.66966540108852,213868
FIRST_60,volume,LOW_VOLUME,38304,17.910112779845512,213868
FIRST_60,range,COMPRESSION,101294,47.362859333794674,213868
FIRST_60,range,NORMAL_RANGE,60995,28.519928179998878,213868
FIRST_60,range,EXPANSION,51579,24.117212486206444,213868
FIRST_60,composite,TRENDING,83580,39.080180298127814,213868
FIRST_60,composite,CHOP_RANGE,64338,30.08304187629753,213868
FIRST_60,composite,COMPRESSION,38506,18.004563562571306,213868
FIRST_60,composite,HIGH_ACTIVITY,13569,6.34456767725887,213868
FIRST_60,composite,EXPANSION,7609,3.5578020087156563,213868
FIRST_60,composite,TRANSITION_MIXED,5197,2.4300035535938056,213868
FIRST_60,composite,LOW_ACTIVITY,1069,0.499841023435016,213868
1030_1200,directionality,HIGH_DIRECTIONALITY,110501,34.22800289928695,322838
1030_1200,directionality,MID_DIRECTIONALITY,107979,33.44680613806305,322838
1030_1200,directionality,LOW_DIRECTIONALITY,104358,32.32519096265,322838
1030_1200,volatility,HIGH_VOLATILITY,173168,53.63928657716873,322838
1030_1200,volatility,NORMAL_VOLATILITY,105950,32.81831754626159,322838
1030_1200,volatility,LOW_VOLATILITY,43720,13.542395876569673,322838
1030_1200,volume,NORMAL_VOLUME,129710,40.178045954937154,322838
1030_1200,volume,HIGH_VOLUME,111629,34.577404146971546,322838
1030_1200,volume,LOW_VOLUME,81499,25.244549898091304,322838
1030_1200,range,EXPANSION,130970,40.56833458266995,322838
1030_1200,range,NORMAL_RANGE,106758,33.068597872617225,322838
1030_1200,range,COMPRESSION,85110,26.363067544712827,322838
1030_1200,composite,TRENDING,110501,34.22800289928695,322838
1030_1200,composite,CHOP_RANGE,104358,32.32519096265,322838
1030_1200,composite,EXPANSION,31795,9.848592792670008,322838
1030_1200,composite,COMPRESSION,29786,9.226299258451608,322838
1030_1200,composite,HIGH_ACTIVITY,27462,8.506433567300007,322838
1030_1200,composite,TRANSITION_MIXED,14577,4.515267719413452,322838
1030_1200,composite,LOW_ACTIVITY,4359,1.350212800227978,322838
1200_1400,directionality,LOW_DIRECTIONALITY,143648,33.90515393838688,423676
1200_1400,directionality,MID_DIRECTIONALITY,142621,33.66275172537505,423676
1200_1400,directionality,HIGH_DIRECTIONALITY,137407,32.432094336238066,423676
1200_1400,volatility,LOW_VOLATILITY,157094,37.078805502317806,423676
1200_1400,volatility,NORMAL_VOLATILITY,142690,33.67903775526582,423676
1200_1400,volatility,HIGH_VOLATILITY,123892,29.242156742416373,423676
1200_1400,volume,NORMAL_VOLUME,144464,34.09775394405159,423676
1200_1400,volume,LOW_VOLUME,140161,33.082119355356454,423676
1200_1400,volume,HIGH_VOLUME,139051,32.82012670059196,423676
1200_1400,range,EXPANSION,147006,34.69774072640414,423676
1200_1400,range,NORMAL_RANGE,145415,34.3222179212417,423676
1200_1400,range,COMPRESSION,131255,30.980041352354156,423676
1200_1400,composite,CHOP_RANGE,143648,33.90515393838688,423676
1200_1400,composite,TRENDING,137407,32.432094336238066,423676
1200_1400,composite,COMPRESSION,46266,10.920137085886385,423676
1200_1400,composite,EXPANSION,34509,8.145139210151154,423676
1200_1400,composite,HIGH_ACTIVITY,25967,6.128975915558115,423676
1200_1400,composite,TRANSITION_MIXED,21995,5.191467064454914,423676
1200_1400,composite,LOW_ACTIVITY,13884,3.277032449324484,423676
1400_1600,directionality,LOW_DIRECTIONALITY,144482,34.60903683866347,417469
1400_1600,directionality,MID_DIRECTIONALITY,140963,33.76609999784415,417469
1400_1600,directionality,HIGH_DIRECTIONALITY,132024,31.62486316349238,417469
1400_1600,volatility,LOW_VOLATILITY,160236,38.382730214698576,417469
1400_1600,volatility,NORMAL_VOLATILITY,134083,32.1180734377882,417469
1400_1600,volatility,HIGH_VOLATILITY,123150,29.49919634751323,417469
1400_1600,volume,LOW_VOLUME,148623,35.600966778371564,417469
1400_1600,volume,NORMAL_VOLUME,136218,32.62948865664277,417469
1400_1600,volume,HIGH_VOLUME,132628,31.769544564985665,417469
1400_1600,range,COMPRESSION,160086,38.34679940306945,417469
1400_1600,range,NORMAL_RANGE,140773,33.720587636447256,417469
1400_1600,range,EXPANSION,116610,27.932612960483294,417469
1400_1600,composite,CHOP_RANGE,144482,34.60903683866347,417469
