year,partial_year,dimension,state,observations,pct,year_n
2010,False,directionality,LOW_DIRECTIONALITY,4079,35.30990304709141,11552
2010,False,directionality,HIGH_DIRECTIONALITY,3776,32.686980609418285,11552
2010,False,directionality,MID_DIRECTIONALITY,3697,32.003116343490305,11552
2010,False,volatility,HIGH_VOLATILITY,5459,47.255886426592795,11552
2010,False,volatility,NORMAL_VOLATILITY,4439,38.426246537396125,11552
2010,False,volatility,LOW_VOLATILITY,1654,14.31786703601108,11552
2010,False,volume,NORMAL_VOLUME,5069,43.879847645429365,11552
2010,False,volume,LOW_VOLUME,3707,32.089681440443215,11552
2010,False,volume,HIGH_VOLUME,2776,24.030470914127424,11552
2010,False,range,EXPANSION,3916,33.898891966759,11552
2010,False,range,NORMAL_RANGE,3849,33.31890581717452,11552
2010,False,range,COMPRESSION,3787,32.78220221606648,11552
2010,False,composite,CHOP_RANGE,4079,35.30990304709141,11552
2010,False,composite,TRENDING,3776,32.686980609418285,11552
2010,False,composite,COMPRESSION,1234,10.68213296398892,11552
2010,False,composite,EXPANSION,847,7.332063711911357,11552
2010,False,composite,TRANSITION_MIXED,724,6.267313019390581,11552
2010,False,composite,HIGH_ACTIVITY,719,6.224030470914127,11552
2010,False,composite,LOW_ACTIVITY,173,1.4975761772853187,11552
2011,False,directionality,HIGH_DIRECTIONALITY,9051,34.07627724859757,26561
2011,False,directionality,MID_DIRECTIONALITY,8892,33.47765520876473,26561
2011,False,directionality,LOW_DIRECTIONALITY,8618,32.4460675426377,26561
2011,False,volatility,HIGH_VOLATILITY,12826,48.28884454651557,26561
2011,False,volatility,NORMAL_VOLATILITY,9860,37.122096306614964,26561
2011,False,volatility,LOW_VOLATILITY,3875,14.58905914686947,26561
2011,False,volume,HIGH_VOLUME,9299,35.00997703399722,26561
2011,False,volume,NORMAL_VOLUME,8884,33.44753586084861,26561
2011,False,volume,LOW_VOLUME,8378,31.542487105154173,26561
2011,False,range,EXPANSION,9330,35.126689507172166,26561
2011,False,range,NORMAL_RANGE,9004,33.899326079590374,26561
2011,False,range,COMPRESSION,8227,30.973984413237453,26561
2011,False,composite,TRENDING,9051,34.07627724859757,26561
2011,False,composite,CHOP_RANGE,8618,32.4460675426377,26561
2011,False,composite,COMPRESSION,2870,10.805316064907196,26561
2011,False,composite,EXPANSION,2146,8.07951507849855,26561
2011,False,composite,HIGH_ACTIVITY,2137,8.045630812092918,26561
2011,False,composite,TRANSITION_MIXED,1382,5.203117352509318,26561
2011,False,composite,LOW_ACTIVITY,357,1.3440759007567487,26561
2012,False,directionality,HIGH_DIRECTIONALITY,13887,33.47555684119178,41484
2012,False,directionality,LOW_DIRECTIONALITY,13802,33.27065856715842,41484
2012,False,directionality,MID_DIRECTIONALITY,13795,33.25378459164979,41484
2012,False,volatility,NORMAL_VOLATILITY,20192,48.674187638607656,41484
2012,False,volatility,HIGH_VOLATILITY,12685,30.578054189567062,41484
2012,False,volatility,LOW_VOLATILITY,8607,20.747758171825282,41484
2012,False,volume,NORMAL_VOLUME,14241,34.328897888342496,41484
2012,False,volume,LOW_VOLUME,13855,33.39841866743805,41484
2012,False,volume,HIGH_VOLUME,13388,32.27268344421946,41484
2012,False,range,EXPANSION,15057,36.29592131906277,41484
2012,False,range,NORMAL_RANGE,13525,32.602931250602644,41484
2012,False,range,COMPRESSION,12902,31.10114743033459,41484
2012,False,composite,TRENDING,13887,33.47555684119178,41484
2012,False,composite,CHOP_RANGE,13802,33.27065856715842,41484
2012,False,composite,COMPRESSION,4369,10.53177128531482,41484
2012,False,composite,EXPANSION,3659,8.820268055153795,41484
2012,False,composite,HIGH_ACTIVITY,2664,6.421752964998554,41484
