dimension,state,n_episodes,median_duration_min,mean_duration_min,p25_duration_min,p75_duration_min,max_duration_min,total_minutes
directionality_state,MID_DIRECTIONALITY,125975,2.0,3.6317761460607265,1.0,5.0,44.0,457513
directionality_state,LOW_DIRECTIONALITY,75404,3.0,6.058378865842661,1.0,8.0,95.0,456826
directionality_state,HIGH_DIRECTIONALITY,53252,3.0,8.704123788777887,1.0,8.0,187.0,463512
volatility_state,NORMAL_VOLATILITY,12807,13.0,35.00530959631452,3.0,51.0,330.0,448313
volatility_state,LOW_VOLATILITY,7173,10.0,53.82866304196292,3.0,58.0,390.0,386113
volatility_state,HIGH_VOLATILITY,6852,33.0,79.30896088733216,4.0,111.0,390.0,543425
volume_state,NORMAL_VOLUME,23648,12.0,21.552351150202977,3.0,30.0,283.0,509670
volume_state,LOW_VOLUME,12150,10.0,33.62855967078189,3.0,38.0,390.0,408587
volume_state,HIGH_VOLUME,12128,15.0,37.89528364116095,3.0,41.0,390.0,459594
range_state,NORMAL_RANGE,47399,6.0,9.577016392750902,2.0,13.0,103.0,453941
range_state,COMPRESSION,25997,9.0,18.37692810708928,3.0,27.0,202.0,477745
range_state,EXPANSION,22911,10.0,19.473833529745537,3.0,30.0,205.0,446165
composite_primary,CHOP_RANGE,75404,3.0,6.058378865842661,1.0,8.0,95.0,456826
composite_primary,COMPRESSION,57157,2.0,3.0244414507409414,1.0,4.0,32.0,172868
composite_primary,TRENDING,53252,3.0,8.704123788777887,1.0,8.0,187.0,463512
composite_primary,EXPANSION,31401,2.0,3.113690646794688,1.0,4.0,29.0,97773
composite_primary,HIGH_ACTIVITY,30178,2.0,3.024686857976009,1.0,4.0,27.0,91279
composite_primary,TRANSITION_MIXED,22158,2.0,2.8161837710984745,1.0,4.0,34.0,62401
composite_primary,LOW_ACTIVITY,11725,2.0,2.830874200426439,1.0,4.0,23.0,33192
