cell_id,split,median_mfe_5,median_mfe_15,median_mae_5,median_mae_15,n
A,IS,2.5,4.5,2.5,4.5,274147
A,Validation,9.5,16.5,9.75,16.75,98494
A,OOS,13.25,22.75,13.25,22.75,49772
A,ALL,4.25,7.25,4.25,7.25,422413
B,IS,2.0,3.5,2.0,3.5,196852
B,Validation,8.5,14.5,8.25,14.75,60162
B,OOS,10.75,18.75,10.75,18.75,33442
B,ALL,3.0,5.5,3.25,5.75,290456
C,IS,2.5,4.5,2.5,4.25,24501
C,Validation,9.0,15.75,9.5,16.0,9970
C,OOS,12.5,20.5,13.0,22.5,5246
C,ALL,4.25,7.5,4.25,7.5,39717
D,IS,2.25,4.0,2.25,4.0,143168
D,Validation,9.5,16.0,9.25,16.25,41421
D,OOS,13.5,23.0,13.25,22.5,21112
D,ALL,3.5,6.0,3.5,6.0,205701
