cell_id,cell_name,session_year,n_trades,mean_net,sum_net,win_rate
A,TRENDING_CONTINUATION,2010,2986,-1.002176825184193,-2992.5,0.33121232417950436
A,TRENDING_CONTINUATION,2011,7580,-1.032849604221636,-7829.0,0.35633245382585754
A,TRENDING_CONTINUATION,2012,11639,-1.0409399432940973,-12115.5,0.3588796288340923
A,TRENDING_CONTINUATION,2013,21792,-1.053746787812041,-22963.25,0.33916116005873714
A,TRENDING_CONTINUATION,2014,21739,-1.0250471502829017,-22283.5,0.38401030406182435
A,TRENDING_CONTINUATION,2015,25175,-1.0872293942403177,-27371.0,0.407149950347567
A,TRENDING_CONTINUATION,2016,29090,-0.9893520110003438,-28780.25,0.40457201787555863
A,TRENDING_CONTINUATION,2017,27819,-1.0107390632301665,-28117.75,0.3884036090441784
A,TRENDING_CONTINUATION,2018,30303,-1.2456604956604957,-37747.25,0.44757944757944756
A,TRENDING_CONTINUATION,2019,30868,-0.9541515485292212,-29452.75,0.43873914733704805
A,TRENDING_CONTINUATION,2020,32859,-1.243571015551295,-40862.5,0.47356888523692137
A,TRENDING_CONTINUATION,2021,32297,-0.9948756850481469,-32131.5,0.4732018453726352
A,TRENDING_CONTINUATION,2022,33839,-1.0076538904813972,-34098.0,0.4847660982889565
A,TRENDING_CONTINUATION,2023,31920,-1.255889724310777,-40088.0,0.4705513784461153
A,TRENDING_CONTINUATION,2024,32735,-0.5796318924698335,-18974.25,0.47976172292653124
A,TRENDING_CONTINUATION,2025,30537,-1.1619101417951994,-35481.25,0.47823951272227133
A,TRENDING_CONTINUATION,2026,19235,-1.1021835196256824,-21200.5,0.4828697686508968
B,CHOP_MEAN_REVERSION,2010,2685,-0.991340782122905,-2661.75,0.288268156424581
B,CHOP_MEAN_REVERSION,2011,5609,-1.1006418256373685,-6173.5,0.3380281690140845
B,CHOP_MEAN_REVERSION,2012,8762,-1.094213649851632,-9587.5,0.33919196530472495
B,CHOP_MEAN_REVERSION,2013,17883,-1.0801319689090196,-19316.0,0.31689313873511155
B,CHOP_MEAN_REVERSION,2014,17484,-1.1334505833905284,-19817.25,0.363360787005262
B,CHOP_MEAN_REVERSION,2015,18905,-1.2297540333245174,-23248.5,0.39645596403067973
B,CHOP_MEAN_REVERSION,2016,21610,-0.96484266543267,-20850.25,0.3974086071263304
B,CHOP_MEAN_REVERSION,2017,21693,-0.9965080901673351,-21617.25,0.3752362513253123
B,CHOP_MEAN_REVERSION,2018,20796,-1.2829871129063282,-26681.0,0.4258030390459704
B,CHOP_MEAN_REVERSION,2019,20716,-1.0211310098474609,-21153.75,0.4208341378644526
B,CHOP_MEAN_REVERSION,2020,19722,-1.032108812493662,-20355.25,0.45431497819693745
B,CHOP_MEAN_REVERSION,2021,20987,-0.6421594320293516,-13477.0,0.47629484919235715
B,CHOP_MEAN_REVERSION,2022,19571,-2.0211281998875887,-39555.5,0.47018547851412806
B,CHOP_MEAN_REVERSION,2023,19982,-0.7251526373736362,-14490.0,0.47362626363727356
B,CHOP_MEAN_REVERSION,2024,20609,-0.6587291959823378,-13575.75,0.4738221165510214
B,CHOP_MEAN_REVERSION,2025,21332,-0.6432941121320083,-13722.75,0.48846802925182825
B,CHOP_MEAN_REVERSION,2026,12110,-1.684599504541701,-20400.5,0.4691990090834022
C,COMPRESSION_BREAKOUT,2010,260,-0.6480769230769231,-168.5,0.33076923076923076
C,COMPRESSION_BREAKOUT,2011,654,-0.7358562691131498,-481.25,0.3837920489296636
C,COMPRESSION_BREAKOUT,2012,904,-1.1662057522123894,-1054.25,0.336283185840708
C,COMPRESSION_BREAKOUT,2013,1766,-0.8774065685164213,-1549.5,0.3380520951302378
C,COMPRESSION_BREAKOUT,2014,1943,-1.175887802367473,-2284.75,0.34637159032424086
