catalog,from_state,to_state,transition,split,n_transition,n_stay_baseline,median_hl_range_trans,median_hl_range_stay,delta_hl_range,rel_gap,median_abs_net_trans,median_abs_net_stay,median_net_trans,median_abs_max_trans
C,CHOP_RANGE,COMPRESSION,CHOP_RANGE->COMPRESSION,IS,22817,247000,9.75,9.0,0.75,0.08333333333333333,4.0,3.75,0.25,7.5
C,CHOP_RANGE,COMPRESSION,CHOP_RANGE->COMPRESSION,Validation,8179,76543,38.75,36.25,2.5,0.06896551724137931,16.5,15.0,1.0,29.5
C,CHOP_RANGE,COMPRESSION,CHOP_RANGE->COMPRESSION,OOS,4496,42882,50.75,48.25,2.5,0.05181347150259067,20.5,19.5,0.5,38.0
C,CHOP_RANGE,COMPRESSION,CHOP_RANGE->COMPRESSION,ALL,35492,366425,19.0,16.25,2.75,0.16923076923076924,6.75,5.75,0.25,14.0
C,CHOP_RANGE,EXPANSION,CHOP_RANGE->EXPANSION,IS,6676,247000,8.75,9.0,-0.25,-0.027777777777777776,3.5,3.75,0.25,6.75
C,CHOP_RANGE,EXPANSION,CHOP_RANGE->EXPANSION,Validation,1645,76543,35.0,36.25,-1.25,-0.034482758620689655,13.0,15.0,0.75,26.5
C,CHOP_RANGE,EXPANSION,CHOP_RANGE->EXPANSION,OOS,927,42882,48.25,48.25,0.0,0.0,18.5,19.5,1.25,36.5
C,CHOP_RANGE,EXPANSION,CHOP_RANGE->EXPANSION,ALL,9248,366425,13.75,16.25,-2.5,-0.15384615384615385,5.0,5.75,0.25,10.25
C,CHOP_RANGE,HIGH_ACTIVITY,CHOP_RANGE->HIGH_ACTIVITY,IS,7397,247000,15.25,9.0,6.25,0.6944444444444444,6.25,3.75,0.25,11.5
C,CHOP_RANGE,HIGH_ACTIVITY,CHOP_RANGE->HIGH_ACTIVITY,Validation,2994,76543,44.25,36.25,8.0,0.2206896551724138,18.5,15.0,1.25,33.25
C,CHOP_RANGE,HIGH_ACTIVITY,CHOP_RANGE->HIGH_ACTIVITY,OOS,1468,42882,69.0,48.25,20.75,0.43005181347150256,28.25,19.5,0.5,50.75
C,CHOP_RANGE,HIGH_ACTIVITY,CHOP_RANGE->HIGH_ACTIVITY,ALL,11859,366425,28.0,16.25,11.75,0.7230769230769231,10.0,5.75,0.5,20.5
C,CHOP_RANGE,LOW_ACTIVITY,CHOP_RANGE->LOW_ACTIVITY,IS,4028,247000,5.0,9.0,-4.0,-0.4444444444444444,2.25,3.75,0.25,4.0
