catalog,from_state,to_state,transition,split,n_transition,n_stay_baseline,median_hl_range_trans,median_hl_range_stay,delta_hl_range,rel_gap,median_abs_net_trans,median_abs_net_stay,median_net_trans,median_abs_max_trans
R,COMPRESSION,EXPANSION,COMPRESSION->EXPANSION,IS,120,277014,15.875,10.0,5.875,0.5875,5.5,4.0,0.75,12.0
R,COMPRESSION,EXPANSION,COMPRESSION->EXPANSION,Validation,22,100159,67.5,38.25,29.25,0.7647058823529411,26.625,16.25,0.125,59.875
R,COMPRESSION,EXPANSION,COMPRESSION->EXPANSION,OOS,16,53863,148.5,50.75,97.75,1.9261083743842364,83.375,20.25,-14.0,118.0
R,COMPRESSION,EXPANSION,COMPRESSION->EXPANSION,ALL,158,431036,20.75,19.25,1.5,0.07792207792207792,7.25,6.75,0.75,16.75
R,COMPRESSION,NORMAL_RANGE,COMPRESSION->NORMAL_RANGE,IS,15744,277014,9.75,10.0,-0.25,-0.025,4.0,4.0,0.25,7.5
R,COMPRESSION,NORMAL_RANGE,COMPRESSION->NORMAL_RANGE,Validation,4776,100159,37.75,38.25,-0.5,-0.013071895424836602,15.5,16.25,1.25,29.0
R,COMPRESSION,NORMAL_RANGE,COMPRESSION->NORMAL_RANGE,OOS,2654,53863,51.5,50.75,0.75,0.014778325123152709,20.75,20.25,-0.25,38.75
R,COMPRESSION,NORMAL_RANGE,COMPRESSION->NORMAL_RANGE,ALL,23174,431036,17.0,19.25,-2.25,-0.11688311688311688,6.25,6.75,0.25,12.75
R,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,IS,101,283369,8.5,9.5,-1.0,-0.10526315789473684,3.0,3.75,0.0,6.25
R,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,Validation,21,85169,42.0,37.75,4.25,0.11258278145695365,17.75,15.25,7.0,35.25
R,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,OOS,15,42915,45.5,52.25,-6.75,-0.1291866028708134,25.75,20.25,-12.75,34.75
R,EXPANSION,COMPRESSION,EXPANSION->COMPRESSION,ALL,137,411453,12.75,16.25,-3.5,-0.2153846153846154,5.0,5.75,0.0,9.75
R,EXPANSION,NORMAL_RANGE,EXPANSION->NORMAL_RANGE,IS,14589,283369,9.75,9.5,0.25,0.02631578947368421,4.0,3.75,0.25,7.5
R,EXPANSION,NORMAL_RANGE,EXPANSION->NORMAL_RANGE,Validation,4210,85169,38.5,37.75,0.75,0.019867549668874173,16.25,15.25,1.25,29.0
R,EXPANSION,NORMAL_RANGE,EXPANSION->NORMAL_RANGE,OOS,2247,42915,53.75,52.25,1.5,0.028708133971291867,22.0,20.25,0.75,41.5
R,EXPANSION,NORMAL_RANGE,EXPANSION->NORMAL_RANGE,ALL,21046,411453,16.5,16.25,0.25,0.015384615384615385,6.0,5.75,0.25,12.5
R,NORMAL_RANGE,COMPRESSION,NORMAL_RANGE->COMPRESSION,IS,16051,265066,10.0,9.5,0.5,0.05263157894736842,4.0,4.0,0.25,7.75
R,NORMAL_RANGE,COMPRESSION,NORMAL_RANGE->COMPRESSION,Validation,4926,82047,38.375,36.75,1.625,0.04421768707482993,16.25,15.25,1.75,29.5
R,NORMAL_RANGE,COMPRESSION,NORMAL_RANGE->COMPRESSION,OOS,2716,45193,51.75,50.5,1.25,0.024752475247524754,20.75,20.5,0.5,38.75
R,NORMAL_RANGE,COMPRESSION,NORMAL_RANGE->COMPRESSION,ALL,23693,392306,17.5,17.0,0.5,0.029411764705882353,6.25,6.0,0.5,13.25
R,NORMAL_RANGE,EXPANSION,NORMAL_RANGE->EXPANSION,IS,14323,265066,9.5,9.5,0.0,0.0,4.0,4.0,0.25,7.25
R,NORMAL_RANGE,EXPANSION,NORMAL_RANGE->EXPANSION,Validation,4102,82047,38.0,36.75,1.25,0.034013605442176874,15.5,15.25,1.0,28.75
R,NORMAL_RANGE,EXPANSION,NORMAL_RANGE->EXPANSION,OOS,2193,45193,53.0,50.5,2.5,0.04950495049504951,21.5,20.5,0.5,40.25
R,NORMAL_RANGE,EXPANSION,NORMAL_RANGE->EXPANSION,ALL,20618,392306,16.25,17.0,-0.75,-0.04411764705882353,6.0,6.0,0.25,12.25
