from_state,split,horizon,n_stay,median_hl_range_stay,median_abs_net_stay
CHOP_RANGE,IS,5,254165,5.0,2.0
CHOP_RANGE,OOS,5,44035,28.25,11.25
CHOP_RANGE,Validation,5,79025,20.75,8.75
COMPRESSION,IS,5,71674,6.0,2.5
COMPRESSION,OOS,5,14367,30.0,12.25
COMPRESSION,Validation,5,28080,22.0,9.0
EXPANSION,IS,5,47478,4.75,2.0
EXPANSION,OOS,5,6559,27.5,10.75
EXPANSION,Validation,5,11988,20.5,8.25
HIGH_ACTIVITY,IS,5,37398,8.75,3.5
HIGH_ACTIVITY,OOS,5,7542,39.5,16.5
HIGH_ACTIVITY,Validation,5,15583,25.25,10.5
LOW_ACTIVITY,IS,5,17761,2.75,1.25
LOW_ACTIVITY,OOS,5,1694,14.0,5.5
LOW_ACTIVITY,Validation,5,1871,11.0,4.0
TRANSITION_MIXED,IS,5,27871,4.25,1.75
TRANSITION_MIXED,OOS,5,4444,20.75,8.25
TRANSITION_MIXED,Validation,5,7492,15.75,6.5
TRENDING,IS,5,268817,6.0,2.5
TRENDING,OOS,5,45881,32.25,13.0
TRENDING,Validation,5,91424,22.5,9.25
CHOP_RANGE,ALL,5,377225,9.25,3.25
COMPRESSION,ALL,5,114121,11.5,4.0
EXPANSION,ALL,5,66025,7.75,2.75
HIGH_ACTIVITY,ALL,5,60523,16.0,5.5
LOW_ACTIVITY,ALL,5,21326,3.25,1.5
TRANSITION_MIXED,ALL,5,39807,6.75,2.5
TRENDING,ALL,5,406122,11.0,4.0
CHOP_RANGE,IS,15,247000,9.0,3.75
CHOP_RANGE,OOS,15,42882,48.25,19.5
CHOP_RANGE,Validation,15,76543,36.25,15.0
COMPRESSION,IS,15,69346,10.5,4.25
COMPRESSION,OOS,15,13934,51.5,20.75
COMPRESSION,Validation,15,27203,38.5,16.25
EXPANSION,IS,15,46671,8.5,3.5
EXPANSION,OOS,15,6412,47.5,18.0
EXPANSION,Validation,15,11785,35.75,14.5
HIGH_ACTIVITY,IS,15,36514,15.5,6.25
HIGH_ACTIVITY,OOS,15,7384,68.0,29.25
HIGH_ACTIVITY,Validation,15,15313,43.75,18.5
LOW_ACTIVITY,IS,15,17291,5.0,2.0
LOW_ACTIVITY,OOS,15,1624,24.5,9.75
LOW_ACTIVITY,Validation,15,1822,19.75,8.0
TRANSITION_MIXED,IS,15,27118,7.5,3.25
TRANSITION_MIXED,OOS,15,4372,35.0,14.5
TRANSITION_MIXED,Validation,15,7292,27.0,11.75
TRENDING,IS,15,262188,10.5,4.25
TRENDING,OOS,15,44794,55.5,22.0
TRENDING,Validation,15,89517,39.25,16.0
CHOP_RANGE,ALL,15,366425,16.25,5.75
COMPRESSION,ALL,15,110483,20.5,7.25
EXPANSION,ALL,15,64868,13.5,5.0
HIGH_ACTIVITY,ALL,15,59211,28.25,10.25
LOW_ACTIVITY,ALL,15,20737,6.0,2.5
TRANSITION_MIXED,ALL,15,38782,12.0,4.5
TRENDING,ALL,15,396499,19.0,6.75
CHOP_RANGE,IS,30,236106,12.75,5.25
CHOP_RANGE,OOS,30,41001,68.5,28.0
CHOP_RANGE,Validation,30,73080,51.5,22.0
COMPRESSION,IS,30,65902,14.75,6.0
COMPRESSION,OOS,30,13291,72.25,28.5
COMPRESSION,Validation,30,25837,54.0,23.5
EXPANSION,IS,30,45437,11.75,5.0
EXPANSION,OOS,30,6157,66.75,26.75
EXPANSION,Validation,30,11429,50.75,21.0
HIGH_ACTIVITY,IS,30,35018,21.75,8.75
HIGH_ACTIVITY,OOS,30,7119,95.25,41.5
HIGH_ACTIVITY,Validation,30,14876,61.75,27.5
LOW_ACTIVITY,IS,30,16416,7.25,3.0
LOW_ACTIVITY,OOS,30,1504,34.75,13.0
LOW_ACTIVITY,Validation,30,1672,28.25,10.375
TRANSITION_MIXED,IS,30,25887,10.75,4.5
TRANSITION_MIXED,OOS,30,4152,50.25,19.5
TRANSITION_MIXED,Validation,30,6919,38.5,16.75
TRENDING,IS,30,252596,14.5,5.75
TRENDING,OOS,30,43326,77.75,30.25
TRENDING,Validation,30,86439,55.5,23.0
CHOP_RANGE,ALL,30,350187,23.0,8.25
COMPRESSION,ALL,30,105030,28.75,10.25
EXPANSION,ALL,30,63023,19.25,7.25
HIGH_ACTIVITY,ALL,30,57013,40.25,14.5
LOW_ACTIVITY,ALL,30,19592,8.5,3.5
TRANSITION_MIXED,ALL,30,36958,16.75,6.5
TRENDING,ALL,30,382361,26.75,9.25
