from_state,split,horizon,n_stay,median_hl_range_stay,median_abs_net_stay
COMPRESSION,IS,5,286245,5.75,2.25
COMPRESSION,OOS,5,55648,29.75,12.0
COMPRESSION,Validation,5,103743,22.0,9.25
EXPANSION,IS,5,289382,5.5,2.25
EXPANSION,OOS,5,43803,30.5,12.25
EXPANSION,Validation,5,86838,21.75,8.75
NORMAL_RANGE,IS,5,272219,5.5,2.25
NORMAL_RANGE,OOS,5,46312,29.25,11.75
NORMAL_RANGE,Validation,5,83970,21.25,8.75
COMPRESSION,ALL,5,445636,11.0,3.75
EXPANSION,ALL,5,420023,9.25,3.5
NORMAL_RANGE,ALL,5,402501,9.75,3.5
COMPRESSION,IS,15,277014,10.0,4.0
COMPRESSION,OOS,15,53863,50.75,20.25
COMPRESSION,Validation,15,100159,38.25,16.25
EXPANSION,IS,15,283369,9.5,3.75
EXPANSION,OOS,15,42915,52.25,20.25
EXPANSION,Validation,15,85169,37.75,15.25
NORMAL_RANGE,IS,15,265066,9.5,4.0
NORMAL_RANGE,OOS,15,45193,50.5,20.5
NORMAL_RANGE,Validation,15,82047,36.75,15.25
COMPRESSION,ALL,15,431036,19.25,6.75
EXPANSION,ALL,15,411453,16.25,5.75
NORMAL_RANGE,ALL,15,392306,17.0,6.0
COMPRESSION,IS,30,263336,14.0,5.75
COMPRESSION,OOS,30,51294,71.75,28.75
COMPRESSION,Validation,30,95162,54.25,23.25
EXPANSION,IS,30,274582,13.0,5.25
EXPANSION,OOS,30,41452,73.25,28.5
EXPANSION,Validation,30,82379,53.25,22.25
NORMAL_RANGE,IS,30,253829,13.5,5.5
NORMAL_RANGE,OOS,30,43394,70.75,28.0
NORMAL_RANGE,Validation,30,78858,52.25,22.25
COMPRESSION,ALL,30,409792,27.0,9.5
EXPANSION,ALL,30,398413,22.75,8.0
NORMAL_RANGE,ALL,30,376081,24.25,8.75
