horizon,split,n_valid,p_origin,p_impulse_end,p_extension,delta_ext_minus_origin
5,IS,53427,0.47273850300409903,0.5119696033840567,0.19555655380238457,-0.27718194920171446
5,Validation,16460,0.4738153098420413,0.47600243013365734,0.18335358444714459,-0.2904617253948967
5,OOS,9155,0.4647733478973239,0.488803932277444,0.17684325505188422,-0.2879300928454397
5,ALL,79042,0.4720401811695048,0.5017965132461223,0.1908479036461628,-0.28119227752334197
15,IS,51584,0.6650511786600496,0.689942617866005,0.4145665322580645,-0.2504846464019851
15,Validation,15728,0.6665818921668362,0.6630849440488301,0.40062309257375384,-0.26595879959308233
15,OOS,8778,0.657552973342447,0.6737297789929368,0.39371155160628846,-0.26384142173615854
15,ALL,76090,0.6645025627546327,0.6825206991720332,0.409278486003417,-0.2552240767512157
30,IS,49024,0.7564050261096605,0.7690722911227154,0.5447127937336814,-0.21169223237597912
30,Validation,14887,0.7596560757708067,0.74769933499026,0.5356351178880903,-0.22402095788271648
30,OOS,8325,0.7429429429429429,0.7577177177177177,0.5317717717717718,-0.21117117117117112
30,ALL,72236,0.7555235616590066,0.7633589899772967,0.5413505731214353,-0.21417298853757127
60,IS,44034,0.8183449152927283,0.826202479901894,0.6492483081255394,-0.169096607167189
60,Validation,13495,0.8247499073731012,0.8064468321600593,0.639866617265654,-0.1848832901074472
60,OOS,7493,0.8067529694381422,0.8175630588549313,0.6427332176698252,-0.16401975176831707
60,ALL,65022,0.8183384085386485,0.821106702346898,0.6465503983267202,-0.17178801021192824
