horizon,split,n_valid,p_opposite,p_mid,p_rebreak,delta_opp_minus_rebreak
5,IS,40094,0.003367087344739861,0.028732478675113485,0.21611712475682146,-0.2127500374120816
5,Validation,14578,0.0032240362189600766,0.03512141583207573,0.1961174372341885,-0.19289340101522842
5,OOS,7570,0.0033025099075297227,0.041215323645970935,0.2023778071334214,-0.19907529722589168
5,ALL,62242,0.0033257286076925547,0.03174705182995405,0.20976189711127535,-0.2064361685035828
15,IS,38444,0.015216938924149413,0.11785974404328374,0.4222505462490896,-0.40703360732494015
15,Validation,14012,0.01534399086497288,0.12475021410219811,0.390165572366543,-0.3748215815015701
15,OOS,7230,0.01715076071922545,0.14605809128630706,0.3929460580912863,-0.37579529737206085
15,ALL,59686,0.015481017323995577,0.12289314077002983,0.4111684482123111,-0.3956874308883155
30,IS,36201,0.043783320902737496,0.24195464213695755,0.5513383608187619,-0.5075550399160244
30,Validation,13316,0.04813757885250826,0.2401622108741364,0.5271853409432262,-0.479047762090718
30,OOS,6867,0.05169651958642784,0.2637250618901995,0.5261395077908839,-0.4744429882044561
30,ALL,56384,0.04577539727582293,0.2441827468785471,0.5425652667423383,-0.4967898694665154
60,IS,31883,0.1108114041965938,0.3856914343066838,0.6574036320296083,-0.5465922278330144
60,Validation,11851,0.10977976542063961,0.3713610665766602,0.6525187747869378,-0.5427390093662982
60,OOS,6129,0.11274269864578235,0.38505465818241147,0.635503344754446,-0.5227606461086637
60,ALL,49863,0.11080360186912139,0.382207247859134,0.653550728997453,-0.5427471271283316
