split,horizon,n,med,mean,p_pos,p_hit_rebreak,med_mfe,med_mae
IS,5,40094,-0.0039004288190748453,0.0009439718187941697,0.463435925574899,0.21611712475682146,0.1140812003980912,0.11403508771929824
IS,15,38444,-0.009720548980700634,0.0014603710382200096,0.47383206742274475,0.4222505462490896,0.1979780601642081,0.19414620217018846
IS,30,36201,-0.015384615384615385,-0.0009728266759078423,0.47855031628960526,0.5513383608187619,0.27692307692307694,0.27472527472527475
IS,60,31883,-0.013513513513513514,0.0036637718146817874,0.48323558008970297,0.6574036320296083,0.38181818181818183,0.3793103448275862
Validation,5,14578,-0.0022271714922048997,-0.0006641197605348522,0.4901221017972287,0.1961174372341885,0.10660035957956851,0.1111111111111111
Validation,15,14012,0.0026277311851688368,0.0015521908995894211,0.5014273479874394,0.390165572366543,0.1853346840177667,0.18579234972677597
Validation,30,13316,0.007490648379052368,0.004620216949174658,0.5066085911685191,0.5271853409432262,0.2635338651904917,0.26214307162160233
Validation,60,11851,0.02727272727272727,0.02935782643286134,0.518521643743144,0.6525187747869378,0.3716577540106952,0.3583959899749373
OOS,5,7570,0.0008404811199842256,-0.0036213925008677806,0.5002642007926024,0.2023778071334214,0.11418477175938249,0.11977828540031238
OOS,15,7230,-0.004804806537999815,-0.004959259108830635,0.4926694329183956,0.3929460580912863,0.18988863193768257,0.1996970153615723
OOS,30,6867,0.0,-0.008317764541046243,0.49774282801805736,0.5261395077908839,0.26392961876832843,0.275
OOS,60,6129,0.0025252525252525255,-0.0006427645415857764,0.5013868494044705,0.635503344754446,0.35185185185185186,0.37083333333333335
ALL,5,62242,-0.0018850158121024767,1.2083914432172337e-05,0.4741653545837216,0.20976189711127535,0.11204739306212708,0.11389906632057249
ALL,15,59686,-0.004780879529454789,0.0007042917890549128,0.4825922326843816,0.4111684482123111,0.193717277486911,0.1926757901795239
ALL,30,56384,-0.006359445140939054,-0.0005464773464581198,0.4875141884222474,0.5425652667423383,0.2722057856673241,0.2721871428634464
ALL,60,49863,0.0,0.009241163466858392,0.4938531576519664,0.653550728997453,0.37610619469026546,0.37404580152671757
