horizon,split,n_valid,p_anchor,p_extreme,p_through,delta_anchor_minus_extreme
5,IS,47537,0.3797673391253129,0.4138460567557902,0.20192692008330354,-0.03407871763047732
5,Validation,14393,0.37094420899048147,0.38386715764607793,0.19697074966997846,-0.012922948655596456
5,OOS,8094,0.3669384729429207,0.3931307141092167,0.19335310106251544,-0.026192241166295982
5,ALL,70024,0.3764709242545413,0.40528961498914656,0.19991717125556951,-0.028818690734605246
15,IS,45869,0.591706817240402,0.6196123743704899,0.42028385183893263,-0.02790555713008791
15,Validation,13756,0.5873800523407967,0.5923233498109916,0.4153823785984298,-0.004943297470194841
15,OOS,7756,0.5765858690046416,0.6093347086126869,0.40845796802475504,-0.03274883960804531
15,ALL,67381,0.5890829759130912,0.6128582241284635,0.4179219661328861,-0.023775248215372247
30,IS,43605,0.7003783969728242,0.7148033482398808,0.5576654053434239,-0.014424951267056563
30,Validation,13044,0.7049218031278749,0.692425636307881,0.5595676172953082,0.012496166819993881
30,OOS,7359,0.682429677945373,0.706345970919962,0.5364859355890746,-0.02391629297458897
30,ALL,64008,0.6992407199100112,0.70927071616048,0.555618047744032,-0.010029996250468742
60,IS,39142,0.7762761228348066,0.7855755965459098,0.6644525062592611,-0.009299473711103179
60,Validation,11762,0.7846454684577453,0.7625403842883863,0.6782860057813297,0.02210508416935897
60,OOS,6615,0.7573696145124716,0.7765684051398337,0.636885865457294,-0.019198790627362072
60,ALL,57519,0.7758132095481493,0.7798292738051774,0.6641109894121943,-0.004016064257028162
