study,group,period,metric,N,mean,median,std,p25,p75,positive_fraction,mean_MFE,median_MFE,mean_MAE,median_MAE,ci_low,ci_high
first_touch,poc|from_below,all,ret_1m,22,-1.4545454545454546,-2.75,14.963971884010427,-8.8125,3.125,0.36363636363636365,12.977272727272727,5.625,10.443181818181818,7.0,-6.695454545454545,5.579545454545454
first_touch,poc|from_below,all,ret_5m,22,7.829545454545454,0.125,31.029688775394373,-6.25,9.625,0.5,21.477272727272727,11.25,16.96590909090909,13.25,-3.6255681818181817,22.489488636363635
first_touch,poc|from_below,all,ret_15m,22,26.056818181818183,0.75,66.64872966219548,-8.6875,19.125,0.5,42.90909090909091,15.125,24.704545454545453,18.75,3.110795454545455,55.12642045454545
first_touch,poc|from_below,all,ret_30m,22,17.431818181818183,-4.875,77.91674363956659,-28.0,32.3125,0.36363636363636365,53.22727272727273,16.75,30.40909090909091,25.875,-11.128409090909091,51.20710227272727
first_touch,poc|from_below,all,ret_60m,22,2.4318181818181817,-10.75,105.55048954957928,-31.9375,24.0625,0.4090909090909091,56.69318181818182,16.75,48.70454545454545,37.75,-38.580681818181816,47.17301136363635
first_touch,poc|from_above,all,ret_1m,28,-1.7946428571428572,1.375,11.745577097325034,-9.25,5.1875,0.5357142857142857,13.491071428571429,9.5,8.901785714285714,7.0,-5.991294642857143,2.321875
first_touch,poc|from_above,all,ret_5m,28,-14.026785714285714,-10.25,46.37869179104427,-15.875,4.6875,0.35714285714285715,32.517857142857146,20.375,15.035714285714286,9.375,-31.60267857142857,0.39308035714285694
first_touch,poc|from_above,all,ret_15m,28,-17.267857142857142,1.375,87.45233962764635,-25.9375,24.625,0.5357142857142857,52.49107142857143,27.25,29.919642857142858,23.75,-51.73459821428571,8.36495535714285
first_touch,poc|from_above,all,ret_30m,28,-13.857142857142858,0.25,77.2613838121699,-50.3125,34.3125,0.5,67.33035714285714,34.125,38.767857142857146,24.5,-43.284375,12.647991071428565
first_touch,poc|from_above,all,ret_60m,28,-9.919642857142858,-3.625,74.89502077511402,-46.9375,24.125,0.42857142857142855,80.0,34.125,47.214285714285715,33.25,-37.29107142857143,15.913392857142856
first_touch,vah|from_below,all,ret_1m,39,-0.7756410256410257,0.25,18.03558205251523,-8.0,4.25,0.5128205128205128,10.51923076923077,5.25,11.012820512820513,7.5,-6.532211538461539,4.615544871794871
first_touch,vah|from_below,all,ret_5m,39,3.9166666666666665,-0.25,32.6950791672751,-10.0,9.5,0.4358974358974359,20.42948717948718,8.75,19.647435897435898,15.0,-5.527243589743589,14.82532051282051
first_touch,vah|from_below,all,ret_15m,39,4.666666666666667,-2.0,70.29082755663424,-25.125,10.75,0.4358974358974359,36.57692307692308,13.75,32.86538461538461,22.75,-16.257371794871794,27.977083333333326
first_touch,vah|from_below,all,ret_30m,39,4.589743589743589,-1.0,83.42319362229578,-20.375,21.25,0.4358974358974359,47.23076923076923,17.5,44.64102564102564,24.75,-19.2125,33.109935897435896
first_touch,vah|from_below,all,ret_60m,38,5.605263157894737,0.375,92.94844966902257,-38.4375,28.3125,0.5,54.94736842105263,28.125,59.38815789473684,31.0,-22.783223684210526,34.5205592105263
first_touch,vah|from_above,all,ret_1m,7,-12.178571428571429,-4.75,24.500303691023525,-13.625,1.0,0.2857142857142857,15.785714285714286,8.5,10.785714285714286,9.25,-29.607142857142858,1.2562499999999943
first_touch,vah|from_above,all,ret_5m,7,-34.357142857142854,-1.25,96.09520638656326,-10.25,6.625,0.2857142857142857,64.14285714285714,17.25,12.964285714285714,12.75,-108.19285714285715,7.857142857142857
first_touch,vah|from_above,all,ret_15m,7,-59.42857142857143,2.5,192.325609009701,-19.25,16.625,0.5714285714285714,107.67857142857143,31.0,23.535714285714285,13.75,-208.78571428571428,31.826785714285712
first_touch,vah|from_above,all,ret_30m,7,-34.42857142857143,-0.75,107.9152555524583,-68.125,4.25,0.42857142857142855,129.07142857142858,55.5,31.535714285714285,13.75,-113.73035714285713,36.21964285714282
first_touch,vah|from_above,all,ret_60m,7,-25.714285714285715,-27.75,109.43609518148676,-34.125,15.25,0.42857142857142855,141.75,63.25,40.142857142857146,13.75,-106.45803571428571,48.07410714285714
cross,vah,all,time_to_cross_sec,46,201.07568698391296,0.440175632,1005.67545070492,0.0056394015,20.0314391855,1.0,,,,,17.768119290979346,510.0119207845391
cross,vah,all,excursion_after_cross,46,57.88586956521739,29.875,76.95606081325708,12.1875,59.4375,1.0,,,,,38.94388586956522,84.6226902173913
first_touch,val|from_below,all,ret_1m,11,1.1136363636363635,1.5,12.971296984285937,-4.5,5.75,0.5454545454545454,10.931818181818182,12.0,12.227272727272727,7.0,-5.889204545454546,8.869318181818176
first_touch,val|from_below,all,ret_5m,11,5.2272727272727275,7.0,30.544118612560776,-3.875,13.5,0.7272727272727273,21.75,14.75,20.772727272727273,13.0,-12.029545454545454,22.82329545454545
first_touch,val|from_below,all,ret_15m,11,6.909090909090909,3.0,42.7674339783311,-11.375,28.5,0.6363636363636364,40.52272727272727,48.0,29.40909090909091,16.75,-15.389204545454545,32.34318181818182
first_touch,val|from_below,all,ret_30m,11,10.772727272727273,8.5,39.769406354862554,-10.125,20.25,0.6363636363636364,45.45454545454545,48.0,37.11363636363637,26.75,-12.113636363636363,34.90965909090909
first_touch,val|from_below,all,ret_60m,11,-1.3181818181818181,-10.0,58.65599829824428,-18.875,32.125,0.45454545454545453,51.59090909090909,60.25,45.22727272727273,35.0,-33.42159090909091,32.88579545454544
