study,group,period,metric,N,mean,median,std,p25,p75,positive_fraction,mean_MFE,median_MFE,mean_MAE,median_MAE,ci_low,ci_high
first_touch,poc|from_below,April,ret_5m,2,4.625,4.625,76.89786245403704,-22.5625,31.8125,0.5,44.25,44.25,34.375,34.375,-49.75,59.0
first_touch,poc|from_below,August,ret_5m,4,4.125,6.125,6.437196594791867,1.4375,8.8125,0.75,8.75,8.75,13.0,12.75,-2.6875,8.875
first_touch,poc|from_below,July,ret_5m,5,5.5,1.25,27.756193002643574,-14.25,30.5,0.6,20.0,19.5,26.5,20.5,-15.7,27.25
first_touch,poc|from_below,June,ret_5m,2,51.5,51.5,77.78174593052023,24.0,79.0,0.5,77.875,77.875,23.0,23.0,-3.5,106.5
first_touch,poc|from_below,March,ret_5m,1,22.25,22.25,,22.25,22.25,1.0,37.5,37.5,3.75,3.75,22.25,22.25
first_touch,poc|from_below,May,ret_5m,3,4.083333333333333,9.25,9.385272150200725,1.25,9.5,0.6666666666666666,9.333333333333334,13.25,7.333333333333333,1.5,-6.75,9.75
first_touch,poc|from_below,September,ret_5m,5,-3.7,-2.0,3.271085446759225,-7.0,-1.0,0.0,5.55,2.5,9.65,10.75,-6.2,-1.2
first_touch,poc|from_below,early,ret_5m,7,21.464285714285715,9.75,49.656408736148336,1.25,40.625,0.7142857142857143,44.142857142857146,23.5,16.321428571428573,7.75,-8.949107142857143,54.966071428571425
first_touch,poc|from_below,late,ret_5m,15,1.4666666666666666,-1.0,15.848576622283181,-5.875,6.125,0.4,10.9,8.0,17.266666666666666,13.5,-5.950833333333334,9.735416666666664
first_touch,poc|from_above,April,ret_5m,5,-26.95,-23.75,36.97947065602751,-33.0,-13.25,0.2,57.5,45.75,12.2,9.0,-59.2,-0.55
first_touch,poc|from_above,August,ret_5m,6,-4.083333333333333,-10.25,12.129165950990474,-12.5625,3.5,0.3333333333333333,13.458333333333334,14.0,12.583333333333334,10.0,-12.25,5.166666666666667
first_touch,poc|from_above,July,ret_5m,5,3.55,4.0,25.663324998916256,-1.25,13.25,0.6,11.1,5.75,17.75,16.75,-18.3,22.45
first_touch,poc|from_above,June,ret_5m,5,-50.15,-11.75,93.89332377757216,-26.5,0.0,0.2,65.2,28.75,11.3,9.5,-135.35,-0.65
first_touch,poc|from_above,May,ret_5m,5,4.45,1.0,26.207346298318722,-15.5,6.0,0.6,26.65,21.75,25.25,14.0,-12.8,26.75
first_touch,poc|from_above,September,ret_5m,2,-11.375,-11.375,2.6516504294495533,-12.3125,-10.4375,0.0,13.75,13.75,6.5,6.5,-13.25,-9.5
first_touch,poc|from_above,early,ret_5m,13,-9.23076923076923,-11.75,30.271249688314942,-17.0,4.25,0.38461538461538464,37.63461538461539,28.75,17.0,9.5,-26.212980769230768,6.577884615384614
first_touch,poc|from_above,late,ret_5m,15,-18.183333333333334,-10.0,57.645581749498334,-13.25,6.0,0.3333333333333333,28.083333333333332,12.25,13.333333333333334,9.0,-49.080000000000005,2.5337499999999995
first_touch,vah|from_below,April,ret_5m,9,-3.0833333333333335,1.0,34.98772106039489,-5.25,4.25,0.5555555555555556,15.555555555555555,12.0,24.666666666666668,16.0,-28.14375,16.559027777777775
first_touch,vah|from_below,August,ret_5m,9,13.61111111111111,-0.25,37.19965370955906,-6.75,22.5,0.4444444444444444,25.72222222222222,9.25,12.277777777777779,13.0,-7.361111111111111,39.916666666666664
first_touch,vah|from_below,July,ret_5m,6,1.875,-11.0,41.59229195415901,-17.3125,5.8125,0.3333333333333333,23.875,10.125,27.0,24.125,-22.833333333333332,35.728124999999984
first_touch,vah|from_below,June,ret_5m,3,38.416666666666664,35.0,39.48602073308139,17.875,57.25,1.0,70.66666666666667,93.0,32.916666666666664,21.0,0.75,79.5
first_touch,vah|from_below,March,ret_5m,1,-11.25,-11.25,,-11.25,-11.25,0.0,4.5,4.5,14.0,14.0,-11.25,-11.25
first_touch,vah|from_below,May,ret_5m,6,-8.583333333333334,-8.5,18.092585958526403,-19.6875,1.9375,0.3333333333333333,6.833333333333333,5.375,18.333333333333332,15.875,-22.583333333333332,5.666666666666667
first_touch,vah|from_below,September,ret_5m,5,-1.15,-0.25,6.5968742598294225,-4.25,-0.25,0.2,4.9,3.5,9.8,7.25,-6.6,4.2
first_touch,vah|from_below,early,ret_5m,18,1.3333333333333333,-0.5,33.95260537520951,-10.125,10.375,0.5,21.36111111111111,10.375,23.541666666666668,15.25,-13.252083333333333,16.946874999999995
first_touch,vah|from_below,late,ret_5m,21,6.130952380952381,-0.25,32.249381684733414,-9.5,8.5,0.38095238095238093,19.63095238095238,8.75,16.30952380952381,15.0,-6.286904761904761,20.9797619047619
first_touch,vah|from_above,April,ret_5m,1,-1.25,-1.25,,-1.25,-1.25,0.0,16.5,16.5,12.25,12.25,-1.25,-1.25
first_touch,vah|from_above,August,ret_5m,1,-13.25,-13.25,,-13.25,-13.25,0.0,31.0,31.0,13.75,13.75,-13.25,-13.25
first_touch,vah|from_above,July,ret_5m,1,18.75,18.75,,18.75,18.75,1.0,64.75,64.75,28.5,28.5,18.75,18.75
first_touch,vah|from_above,June,ret_5m,2,-126.0,-126.0,176.4231419060436,-188.375,-63.625,0.0,159.5,159.5,8.0,8.0,-250.75,-1.25
first_touch,vah|from_above,May,ret_5m,2,3.625,3.625,15.379572490807409,-1.8125,9.0625,0.5,8.875,8.875,10.125,10.125,-7.25,14.5
first_touch,vah|from_above,early,ret_5m,4,1.1875,-1.25,9.314806761280666,-2.75,2.6875,0.25,10.9375,13.0,11.3125,12.5,-5.75,9.0625
first_touch,vah|from_above,late,ret_5m,3,-81.75,-13.25,147.23026183499098,-132.0,2.75,0.3333333333333333,135.08333333333334,64.75,15.166666666666666,13.75,-250.75,18.75
first_touch,val|from_below,August,ret_5m,2,8.625,8.625,3.3587572106361008,7.4375,9.8125,1.0,15.25,15.25,10.125,10.125,6.25,11.0
first_touch,val|from_below,July,ret_5m,5,6.65,16.0,47.59779406653212,-37.5,47.0,0.6,29.8,23.25,36.15,40.75,-31.0,44.3
first_touch,val|from_below,June,ret_5m,2,-0.875,-0.875,11.136931803688123,-4.8125,3.0625,0.5,19.125,19.125,8.0,8.0,-8.75,7.0
first_touch,val|from_below,March,ret_5m,1,7.75,7.75,,7.75,7.75,1.0,9.5,9.5,9.25,9.25,7.75,7.75
first_touch,val|from_below,May,ret_5m,1,1.0,1.0,,1.0,1.0,1.0,12.0,12.0,2.25,2.25,1.0,1.0
first_touch,val|from_below,early,ret_5m,4,1.75,4.0,7.623975340988453,-1.4375,7.1875,0.75,14.9375,13.375,6.875,6.125,-4.8125,7.375
first_touch,val|from_below,late,ret_5m,7,7.214285714285714,11.0,38.89955777689632,-15.625,31.5,0.7142857142857143,25.642857142857142,20.0,28.714285714285715,24.0,-21.071428571428573,34.25982142857142
first_touch,val|from_above,April,ret_5m,4,26.8125,5.875,81.00009645055987,-11.6875,44.375,0.5,26.3125,17.25,55.9375,19.625,-32.125,106.6875
first_touch,val|from_above,August,ret_5m,6,6.958333333333333,5.375,18.071674428969406,-3.0,15.0625,0.6666666666666666,15.416666666666666,14.875,23.791666666666668,21.375,-5.458333333333333,20.167708333333334
first_touch,val|from_above,July,ret_5m,6,3.2083333333333335,9.75,26.987226916944742,3.375,19.3125,0.8333333333333334,16.625,13.5,22.0,20.125,-19.291666666666668,18.625
first_touch,val|from_above,June,ret_5m,8,4.21875,16.375,56.817602513280534,-10.5625,25.375,0.75,40.25,4.25,41.59375,37.625,-31.63671875,41.53984374999999
