study,group,period,metric,N,mean,median,std,p25,p75,positive_fraction,mean_MFE,median_MFE,mean_MAE,median_MAE,ci_low,ci_high
first_touch,poc|from_below,all,ret_1m,22,-1.4545454545454546,-2.75,14.963971884010427,-8.8125,3.125,0.36363636363636365,12.977272727272727,5.625,10.443181818181818,7.0,-6.695454545454545,5.579545454545454
first_touch,poc|from_below,all,ret_5m,22,7.829545454545454,0.125,31.029688775394373,-6.25,9.625,0.5,21.477272727272727,11.25,16.96590909090909,13.25,-3.6255681818181817,22.489488636363635
first_touch,poc|from_below,all,ret_15m,22,26.056818181818183,0.75,66.64872966219548,-8.6875,19.125,0.5,42.90909090909091,15.125,24.704545454545453,18.75,3.110795454545455,55.12642045454545
first_touch,poc|from_below,all,ret_30m,22,17.431818181818183,-4.875,77.91674363956659,-28.0,32.3125,0.36363636363636365,53.22727272727273,16.75,30.40909090909091,25.875,-11.128409090909091,51.20710227272727
first_touch,poc|from_below,all,ret_60m,22,2.4318181818181817,-10.75,105.55048954957928,-31.9375,24.0625,0.4090909090909091,56.69318181818182,16.75,48.70454545454545,37.75,-38.580681818181816,47.17301136363635
first_touch,poc|from_above,all,ret_1m,28,-1.7946428571428572,1.375,11.745577097325034,-9.25,5.1875,0.5357142857142857,13.491071428571429,9.5,8.901785714285714,7.0,-5.991294642857143,2.321875
first_touch,poc|from_above,all,ret_5m,28,-14.026785714285714,-10.25,46.37869179104427,-15.875,4.6875,0.35714285714285715,32.517857142857146,20.375,15.035714285714286,9.375,-31.60267857142857,0.39308035714285694
first_touch,poc|from_above,all,ret_15m,28,-17.267857142857142,1.375,87.45233962764635,-25.9375,24.625,0.5357142857142857,52.49107142857143,27.25,29.919642857142858,23.75,-51.73459821428571,8.36495535714285
first_touch,poc|from_above,all,ret_30m,28,-13.857142857142858,0.25,77.2613838121699,-50.3125,34.3125,0.5,67.33035714285714,34.125,38.767857142857146,24.5,-43.284375,12.647991071428565
first_touch,poc|from_above,all,ret_60m,28,-9.919642857142858,-3.625,74.89502077511402,-46.9375,24.125,0.42857142857142855,80.0,34.125,47.214285714285715,33.25,-37.29107142857143,15.913392857142856
