study,group,horizon,N,mean,median,std,p25,p75,positive_fraction,ci_low,ci_high,continuation_fraction,median_mfe,median_mae,continuation_share,reversal_share,unresolved_share,continuation_n,reversal_n,reached_fraction
direction,first|from_above,1,28,-1.7946428571428572,1.375,11.745577097325034,-9.25,5.1875,0.5357142857142857,-5.991294642857143,2.321875,0.4642857142857143,9.5,7.0,,,,,,
direction,first|from_above,3,28,-11.678571428571429,-4.0,38.550163156140854,-18.125,5.375,0.35714285714285715,-26.25892857142857,0.8513392857142829,0.6071428571428571,18.875,8.0,,,,,,
direction,first|from_above,5,28,-14.026785714285714,-10.25,46.37869179104427,-15.875,4.6875,0.35714285714285715,-31.60267857142857,0.39308035714285694,0.6071428571428571,20.375,9.375,,,,,,
direction_half,first|from_above|early,5,13,-9.23076923076923,-11.75,30.271249688314942,-17.0,4.25,0.38461538461538464,-26.212980769230768,6.577884615384614,0.5384615384615384,,,,,,,,
direction_half,first|from_above|late,5,15,-18.183333333333334,-10.0,57.645581749498334,-13.25,6.0,0.3333333333333333,-49.080000000000005,2.5337499999999995,0.6666666666666666,,,,,,,,
direction,first|from_above,10,28,-2.8035714285714284,0.25,58.36992333158789,-11.3125,22.4375,0.5,-26.30803571428571,14.744642857142853,0.5,24.875,19.25,,,,,,
direction,first|from_above,15,28,-17.267857142857142,1.375,87.45233962764635,-25.9375,24.625,0.5357142857142857,-51.73459821428571,8.36495535714285,0.4642857142857143,27.25,23.75,,,,,,
direction,first|from_above,30,28,-13.857142857142858,0.25,77.2613838121699,-50.3125,34.3125,0.5,-43.284375,12.647991071428565,0.5,34.125,24.5,,,,,,
direction,first|from_below,1,22,-1.4545454545454546,-2.75,14.963971884010427,-8.8125,3.125,0.36363636363636365,-6.695454545454545,5.579545454545454,0.36363636363636365,5.625,7.0,,,,,,
direction,first|from_below,3,22,2.2954545454545454,-2.5,19.970161724617036,-7.25,8.875,0.36363636363636365,-4.602556818181818,12.388352272727271,0.36363636363636365,8.875,11.0,,,,,,
direction,first|from_below,5,22,7.829545454545454,0.125,31.029688775394373,-6.25,9.625,0.5,-3.6255681818181817,22.489488636363635,0.5,11.25,13.25,,,,,,
direction_half,first|from_below|early,5,7,21.464285714285715,9.75,49.656408736148336,1.25,40.625,0.7142857142857143,-8.949107142857143,54.966071428571425,0.7142857142857143,,,,,,,,
direction_half,first|from_below|late,5,15,1.4666666666666666,-1.0,15.848576622283181,-5.875,6.125,0.4,-5.950833333333334,9.735416666666664,0.4,,,,,,,,
direction,first|from_below,10,22,9.647727272727273,-3.0,38.42840119492701,-13.5625,15.5625,0.45454545454545453,-4.535511363636363,25.9184659090909,0.45454545454545453,14.125,16.375,,,,,,
direction,first|from_below,15,22,26.056818181818183,0.75,66.64872966219548,-8.6875,19.125,0.5,3.110795454545455,55.12642045454545,0.5,15.125,18.75,,,,,,
direction,first|from_below,30,22,17.431818181818183,-4.875,77.91674363956659,-28.0,32.3125,0.36363636363636365,-11.128409090909091,51.20710227272727,0.36363636363636365,16.75,25.875,,,,,,
touch_order,first|from_above,1,28,-1.7946428571428572,1.375,11.745577097325034,-9.25,5.1875,0.5357142857142857,-5.991294642857143,2.321875,0.4642857142857143,,,,,,,,
touch_order,first|from_above,3,28,-11.678571428571429,-4.0,38.550163156140854,-18.125,5.375,0.35714285714285715,-26.25892857142857,0.8513392857142829,0.6071428571428571,,,,,,,,
touch_order,first|from_above,5,28,-14.026785714285714,-10.25,46.37869179104427,-15.875,4.6875,0.35714285714285715,-31.60267857142857,0.39308035714285694,0.6071428571428571,,,,,,,,
touch_order,first|from_above,10,28,-2.8035714285714284,0.25,58.36992333158789,-11.3125,22.4375,0.5,-26.30803571428571,14.744642857142853,0.5,,,,,,,,
touch_order,first|from_above,15,28,-17.267857142857142,1.375,87.45233962764635,-25.9375,24.625,0.5357142857142857,-51.73459821428571,8.36495535714285,0.4642857142857143,,,,,,,,
touch_order,first|from_above,30,28,-13.857142857142858,0.25,77.2613838121699,-50.3125,34.3125,0.5,-43.284375,12.647991071428565,0.5,,,,,,,,
touch_order,first|from_below,1,22,-1.4545454545454546,-2.75,14.963971884010427,-8.8125,3.125,0.36363636363636365,-6.695454545454545,5.579545454545454,0.36363636363636365,,,,,,,,
touch_order,first|from_below,3,22,2.2954545454545454,-2.5,19.970161724617036,-7.25,8.875,0.36363636363636365,-4.602556818181818,12.388352272727271,0.36363636363636365,,,,,,,,
touch_order,first|from_below,5,22,7.829545454545454,0.125,31.029688775394373,-6.25,9.625,0.5,-3.6255681818181817,22.489488636363635,0.5,,,,,,,,
touch_order,first|from_below,10,22,9.647727272727273,-3.0,38.42840119492701,-13.5625,15.5625,0.45454545454545453,-4.535511363636363,25.9184659090909,0.45454545454545453,,,,,,,,
touch_order,first|from_below,15,22,26.056818181818183,0.75,66.64872966219548,-8.6875,19.125,0.5,3.110795454545455,55.12642045454545,0.5,,,,,,,,
touch_order,first|from_below,30,22,17.431818181818183,-4.875,77.91674363956659,-28.0,32.3125,0.36363636363636365,-11.128409090909091,51.20710227272727,0.36363636363636365,,,,,,,,
touch_order,subsequent|from_above,1,6742,-0.058550875111242955,-0.5,16.684600718436958,-8.0,6.5,0.47656481756155444,-0.458456318599822,0.3327703203797092,0.5118659151587066,,,,,,,,
touch_order,subsequent|from_above,3,6726,-2.4258102884329467,0.0,29.89395347183187,-13.0,11.5,0.49643175735950046,-3.1180605114481117,-1.7024921944692242,0.49628308058281295,,,,,,,,
touch_order,subsequent|from_above,5,6726,-1.6166369313113291,-0.5,36.231753512306895,-13.75,16.25,0.4846862920011894,-2.43860299583705,-0.7485336752899199,0.5092179601546238,,,,,,,,
touch_order,subsequent|from_above,10,6726,0.9342848647041332,2.0,51.29600295146841,-18.75,24.75,0.5257210823669343,-0.48283526613143024,2.1590581326196845,0.471900089206066,,,,,,,,
