study,group,period,metric,N,mean,median,std,p25,p75,positive_fraction,mean_MFE,median_MFE,mean_MAE,median_MAE,ci_low,ci_high
first_touch,vah|from_below,all,ret_1m,39,-0.7756410256410257,0.25,18.03558205251523,-8.0,4.25,0.5128205128205128,10.51923076923077,5.25,11.012820512820513,7.5,-6.532211538461539,4.615544871794871
first_touch,vah|from_below,all,ret_5m,39,3.9166666666666665,-0.25,32.6950791672751,-10.0,9.5,0.4358974358974359,20.42948717948718,8.75,19.647435897435898,15.0,-5.527243589743589,14.82532051282051
first_touch,vah|from_below,all,ret_15m,39,4.666666666666667,-2.0,70.29082755663424,-25.125,10.75,0.4358974358974359,36.57692307692308,13.75,32.86538461538461,22.75,-16.257371794871794,27.977083333333326
first_touch,vah|from_below,all,ret_30m,39,4.589743589743589,-1.0,83.42319362229578,-20.375,21.25,0.4358974358974359,47.23076923076923,17.5,44.64102564102564,24.75,-19.2125,33.109935897435896
first_touch,vah|from_below,all,ret_60m,38,5.605263157894737,0.375,92.94844966902257,-38.4375,28.3125,0.5,54.94736842105263,28.125,59.38815789473684,31.0,-22.783223684210526,34.5205592105263
first_touch,vah|from_above,all,ret_1m,7,-12.178571428571429,-4.75,24.500303691023525,-13.625,1.0,0.2857142857142857,15.785714285714286,8.5,10.785714285714286,9.25,-29.607142857142858,1.2562499999999943
first_touch,vah|from_above,all,ret_5m,7,-34.357142857142854,-1.25,96.09520638656326,-10.25,6.625,0.2857142857142857,64.14285714285714,17.25,12.964285714285714,12.75,-108.19285714285715,7.857142857142857
first_touch,vah|from_above,all,ret_15m,7,-59.42857142857143,2.5,192.325609009701,-19.25,16.625,0.5714285714285714,107.67857142857143,31.0,23.535714285714285,13.75,-208.78571428571428,31.826785714285712
first_touch,vah|from_above,all,ret_30m,7,-34.42857142857143,-0.75,107.9152555524583,-68.125,4.25,0.42857142857142855,129.07142857142858,55.5,31.535714285714285,13.75,-113.73035714285713,36.21964285714282
first_touch,vah|from_above,all,ret_60m,7,-25.714285714285715,-27.75,109.43609518148676,-34.125,15.25,0.42857142857142855,141.75,63.25,40.142857142857146,13.75,-106.45803571428571,48.07410714285714
