study,group,period,metric,N,mean,median,std,p25,p75,positive_fraction,mean_MFE,median_MFE,mean_MAE,median_MAE,ci_low,ci_high
profile_location,above_vah,all,poc_ret_5m,6,-31.625,-6.625,93.53030925854998,-14.9375,6.0,0.3333333333333333,101.45833333333333,26.125,69.5,46.375,-108.325,21.69062499999998
profile_location,below_val,all,poc_ret_5m,6,24.875,19.75,46.44237020221944,-2.8125,35.375,0.6666666666666666,114.83333333333333,66.25,74.54166666666667,47.0,-4.875,61.333333333333336
profile_location,inside_value,all,poc_ret_5m,38,-4.7368421052631575,-2.75,23.28654838536886,-13.25,5.5625,0.39473684210526316,57.61842105263158,24.875,40.24342105263158,27.125,-12.533388157894736,2.2243421052631573
distance_from_poc,0-25%,all,poc_ret_5m,43,-3.604651162790698,-3.5,23.51596674894145,-13.25,8.375,0.3953488372093023,50.55813953488372,23.0,43.80813953488372,36.5,-10.506976744186048,2.9970930232558115
distance_from_poc,25-50%,all,poc_ret_5m,5,-29.0,4.25,106.17541499801166,0.0,30.5,0.6,154.9,70.0,83.15,21.5,-123.95,28.3
distance_from_poc,50-75%,all,poc_ret_5m,1,-27.0,-27.0,,-27.0,-27.0,0.0,346.5,346.5,52.5,52.5,-27.0,-27.0
distance_from_poc,75-100%,all,poc_ret_5m,1,106.5,106.5,,106.5,106.5,1.0,192.25,192.25,41.5,41.5,106.5,106.5
profile_location,above_vah,all,time_to_value_sec,7,18193.81602857143,3109.676881,26897.467904498124,291.54335149999997,32805.248263500005,1.0,,,,,1906.9608007142854,35417.254052639284
profile_location,above_vah,all,time_to_poc_sec,6,28815.866020166664,20677.649429,29949.195774941236,3647.0772932500004,51541.3069215,1.0,,,,,8531.760957333334,51927.583553666664
profile_location,below_val,all,time_to_value_sec,10,11913.096808400001,2446.1955055,22431.079733769326,54.78306375,10557.05768,1.0,,,,,2015.373867625,26781.392810057492
profile_location,below_val,all,time_to_poc_sec,6,35731.808464166665,39109.6441085,27921.385453936964,12915.715184499999,55165.1920215,1.0,,,,,15749.105895833332,56932.74220850001
profile_location,inside_value,all,time_to_value_sec,44,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0
profile_location,inside_value,all,time_to_poc_sec,38,10327.818881736841,1239.891447,17961.676107294308,74.17135325,10907.7945395,1.0,,,,,5073.789388880265,16510.760559136837
